key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,396,119,277,30.050505,-396.748002,419.762690,816.510691,0.000000,-1.001889,121.085016,-2.796927,6.949495
passed:15m_trend_bullish,604,169,435,27.980132,-1066.866890,200.822815,1267.689705,0.000000,-1.766336,108.432561,-7.708555,6.880795
passed:1m_ema_alignment_long,604,169,435,27.980132,-1066.866890,200.822815,1267.689705,0.000000,-1.766336,108.432561,-7.708555,6.880795
passed:1m_ema_alignment_short,396,119,277,30.050505,-396.748002,419.762690,816.510691,0.000000,-1.001889,121.085016,-2.796927,6.949495
passed:5m_confirmation_bearish,396,119,277,30.050505,-396.748002,419.762690,816.510691,0.000000,-1.001889,121.085016,-2.796927,6.949495
passed:5m_confirmation_bullish,604,169,435,27.980132,-1066.866890,200.822815,1267.689705,0.000000,-1.766336,108.432561,-7.708555,6.880795
passed:atr_bps_in_range,1000,288,712,28.800000,-1463.614892,620.585505,2084.200396,0.000000,-1.463615,113.442934,-5.763550,6.908000
passed:close_reclaim_long,604,169,435,27.980132,-1066.866890,200.822815,1267.689705,0.000000,-1.766336,108.432561,-7.708555,6.880795
passed:close_reclaim_short,396,119,277,30.050505,-396.748002,419.762690,816.510691,0.000000,-1.001889,121.085016,-2.796927,6.949495
passed:confidence_ok,1000,288,712,28.800000,-1463.614892,620.585505,2084.200396,0.000000,-1.463615,113.442934,-5.763550,6.908000
passed:direction_enabled,1000,288,712,28.800000,-1463.614892,620.585505,2084.200396,0.000000,-1.463615,113.442934,-5.763550,6.908000
passed:expected_net_edge_ok,1000,288,712,28.800000,-1463.614892,620.585505,2084.200396,0.000000,-1.463615,113.442934,-5.763550,6.908000
passed:expected_reward_ok,1000,288,712,28.800000,-1463.614892,620.585505,2084.200396,0.000000,-1.463615,113.442934,-5.763550,6.908000
passed:pullback_near_ema21,993,285,708,28.700906,-1470.170645,602.853457,2073.024102,0.000000,-1.480534,113.275059,-5.703764,6.904330
passed:pullback_near_vwap,7,3,4,42.857143,6.555753,17.732048,11.176295,0.000000,0.936536,137.257200,-14.244634,7.428571
passed:reward_risk_ok,1000,288,712,28.800000,-1463.614892,620.585505,2084.200396,0.000000,-1.463615,113.442934,-5.763550,6.908000
passed:volume_ratio_ok,1000,288,712,28.800000,-1463.614892,620.585505,2084.200396,0.000000,-1.463615,113.442934,-5.763550,6.908000
