month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,27,7,20,25.925926,-2.389949,56.424337,0.000000,56.424337,-58.814286,0.983996,18.569611,-9.440078,-2.178307,5,3.000000,108.006173,-15.774719,-123.780893,9.994277,6,20,1,0
2020-02,19,3,16,15.789474,-49.927914,39.942642,0.000000,39.942642,-89.870555,0.504672,14.985530,-8.426697,-4.730029,9,3.000000,98.371874,-20.691076,-119.062950,9.990375,2,14,3,0
2020-03,8,4,4,50.000000,44.140682,12.519440,0.000000,12.519440,31.621241,2.515026,16.691185,-8.785875,3.952655,2,3.000000,158.358952,22.986367,-135.372585,9.983515,3,4,1,0
2020-04,10,3,7,30.000000,14.362401,20.809389,0.000000,20.809389,-6.446988,1.281206,19.556143,-9.302202,-0.644699,5,3.000000,100.563046,-7.310795,-107.873841,10.011763,3,7,0,0
2020-05,14,4,10,28.571429,11.539185,24.338631,0.000000,24.338631,-12.799446,1.172251,17.818519,-8.407352,-0.914246,5,3.000000,120.273986,-6.808508,-127.082494,10.001597,3,9,2,0
2020-06,13,2,11,15.384615,-36.216475,40.176764,0.000000,40.176764,-76.393239,0.546998,18.931962,-10.387015,-5.876403,8,3.000000,63.949325,-18.789383,-82.738708,10.004571,2,11,0,0
2020-07,15,5,10,33.333333,7.354127,55.090067,0.000000,55.090067,-47.735940,1.103438,13.799194,-11.673191,-3.182396,6,3.000000,76.018183,14.378378,-61.639806,10.018070,3,10,2,0
2020-08,10,2,8,20.000000,-14.312176,20.792321,0.000000,20.792321,-35.104498,0.747685,19.504429,-9.264169,-3.510450,6,3.000000,98.747486,-11.532336,-110.279822,9.999233,2,8,0,0
2020-09,4,0,4,0.000000,-28.151871,6.222568,0.000000,6.222568,-34.374439,0.000000,0.000000,-8.593610,-8.593610,4,3.000000,136.949097,-59.007524,-195.956621,10.024492,0,4,0,0
2020-10,25,11,14,44.000000,91.842287,75.073822,0.000000,75.073822,16.768465,1.939014,14.273918,-10.017474,0.670739,7,3.000000,75.150282,3.049924,-72.100359,10.005768,8,14,3,0
