trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1577893440000,1577893620000,180000,7231.970000,7225.748804,7225.748804,7250.633588,1.205556,-7.500000,8.714795,0.000000,8.714795,-16.214795,3.000000,4,stop_loss,15.807060,-18.598052,-34.405112,9.995699,0.000000,9.995699,-18.598052,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1577988720000,1577989380000,660000,6961.340000,6968.599041,6968.599041,6939.562878,1.029844,-7.475678,7.172831,0.000000,7.172831,-14.648508,3.000000,12,stop_loss,21.282945,-20.432862,-41.715807,10.005214,0.000000,10.005214,-20.432862,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578044580000,1578045120000,540000,7303.580000,7327.597761,7295.574080,7327.597761,0.931024,22.361115,6.810990,0.000000,6.810990,15.550125,3.000000,10,take_profit,22.884915,22.868473,-0.016442,10.016442,0.000000,10.016442,22.868473,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578050760000,1578050760000,0,7332.210000,7325.108861,7325.108861,7353.513418,1.052934,-7.477030,7.716594,0.000000,7.716594,-15.193624,3.000000,1,stop_loss,19.054565,-19.680013,-38.734578,9.995158,0.000000,9.995158,-19.680013,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578053280000,1578054840000,1560000,7330.920000,7324.235725,7324.235725,7350.972824,1.115191,-7.454240,8.171645,0.000000,8.171645,-15.625885,3.000000,27,stop_loss,17.353762,-19.113362,-36.467123,9.995441,0.000000,9.995441,-19.113362,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578068460000,1578072000000,3540000,7342.940000,7345.920000,7321.787170,7406.398489,0.351291,1.046848,2.580033,0.000000,2.580033,-1.533185,3.000000,60,time_exit,76.421091,-5.943709,-82.364800,10.002029,0.000000,10.002029,-5.943709,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578073680000,1578073740000,60000,7369.000000,7361.131353,7361.131353,7392.605940,0.944063,-7.428501,6.953089,0.000000,6.953089,-14.381590,3.000000,2,stop_loss,22.034115,-20.672699,-42.706815,9.994661,0.000000,9.994661,-20.672699,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578183840000,1578184260000,420000,7376.630000,7369.402912,7369.402912,7398.311263,1.024884,-7.406929,7.556489,0.000000,7.556489,-14.963418,3.000000,8,stop_loss,19.391827,-19.792377,-39.184204,9.995101,0.000000,9.995101,-19.792377,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578186060000,1578187020000,960000,7381.920000,7400.681881,7375.666040,7400.681881,1.180769,22.153451,8.727420,0.000000,8.727420,13.426031,3.000000,17,take_profit,15.415991,15.403283,-0.012708,10.012708,0.000000,10.012708,15.403283,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578187740000,1578191280000,3540000,7440.910000,7448.200000,7424.393484,7490.459548,0.448316,3.268226,3.337515,0.000000,3.337515,-0.069290,3.000000,60,time_exit,56.590710,-0.207710,-56.798420,10.004899,0.000000,10.004899,-0.207710,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
