trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,ema_trend_pullback_v1,bullish,long,1577893440000,1577893620000,7231.970000,7225.748804,7225.748804,7250.633588,1.20555597,8718.544589,8718.544589,8711.044589,8714.794589,17429.589178,5.000000,9.995699,5000.000000,7.500000,6.221196,8.602353,0.150000,1.743709,-7.500000,8.714795,0.000000,-16.214795,3.000000,4,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,15.807060,-18.598052
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,ema_trend_pullback_v1,bearish,short,1577988720000,1577989380000,6961.340000,6968.599041,6968.599041,6939.562878,1.02984378,7169.092699,7169.092699,7176.568377,7172.830538,14345.661076,5.000000,10.005214,4983.785205,7.475678,7.259041,10.427648,0.150000,1.438483,-7.475678,7.172831,0.000000,-14.648508,3.000000,12,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,21.282945,-20.432862
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578044580000,1578045120000,7303.580000,7327.597761,7295.574080,7327.597761,0.93102414,6799.809268,6799.809268,6822.170383,6810.989826,13621.979652,5.000000,10.016442,4969.136697,7.453705,8.005920,10.961638,0.150000,1.368409,22.361115,6.810990,0.000000,15.550125,3.000000,10,take_profit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,22.884915,22.868473
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578050760000,1578050760000,7332.210000,7325.108861,7325.108861,7353.513418,1.05293391,7720.332545,7720.332545,7712.855515,7716.594030,15433.188060,5.000000,9.995158,4984.686822,7.477030,7.101139,9.684855,0.150000,1.548810,-7.477030,7.716594,0.000000,-15.193624,3.000000,1,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,19.054565,-19.680013
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578053280000,1578054840000,7330.920000,7324.235725,7324.235725,7350.972824,1.11519054,8175.372618,8175.372618,8167.918378,8171.645498,16343.290996,5.000000,9.995441,4969.493198,7.454240,6.684275,9.117921,0.150000,1.645112,-7.454240,8.171645,0.000000,-15.625885,3.000000,27,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,17.353762,-19.113362
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578068460000,1578072000000,7342.940000,7345.920000,7321.787170,7406.398489,0.35129111,2579.509543,2579.509543,2580.556390,2580.032967,5160.065933,5.000000,10.002029,4953.867313,7.430801,21.152830,28.807030,0.150000,0.520706,1.046848,2.580033,0.000000,-1.533185,3.000000,60,time_exit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,76.421091,-5.943709
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578073680000,1578073740000,7369.000000,7361.131353,7361.131353,7392.605940,0.94406340,6956.803163,6956.803163,6949.374662,6953.088913,13906.177825,5.000000,9.994661,4952.334127,7.428501,7.868647,10.678038,0.150000,1.404752,-7.428501,6.953089,0.000000,-14.381590,3.000000,2,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,22.034115,-20.672699
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578183840000,1578184260000,7376.630000,7369.402912,7369.402912,7398.311263,1.02488430,7560.192254,7560.192254,7552.785325,7556.488790,15112.977579,5.000000,9.995101,4937.952537,7.406929,7.227088,9.797276,0.150000,1.531038,-7.406929,7.556489,0.000000,-14.963418,3.000000,8,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,19.391827,-19.792377
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578186060000,1578187020000,7381.920000,7400.681881,7375.666040,7400.681881,1.18076919,8716.343710,8716.343710,8738.497161,8727.420436,17454.840871,5.000000,10.012708,4922.989120,7.384484,6.253960,8.471997,0.150000,1.770539,22.153451,8.727420,0.000000,13.426031,3.000000,17,take_profit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,15.415991,15.403283
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578187740000,1578191280000,7440.910000,7448.200000,7424.393484,7490.459548,0.44831626,3335.880940,3335.880940,3339.149166,3337.515053,6675.030106,5.000000,10.004899,4936.415150,7.404623,16.516516,22.196903,0.150000,0.675770,3.268226,3.337515,0.000000,-0.069290,3.000000,60,time_exit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,56.590710,-0.207710
