strategy_id,timeframe,total_trades,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,profit_factor,expectancy,max_drawdown,max_consecutive_losses,reports_dir
screened_vwap_scalp,1m,27334,40.177069,-5000.0,112.944068,5112.944068,0.0,0.192582,-0.182922,100.0,18,reports/btc_base_tf_matrix/screened_vwap_scalp_1m
screened_vwap_scalp,5m,30902,40.078312,-5000.0,94.285984,5094.285984,0.0,0.414559,-0.161802,100.0,18,reports/btc_base_tf_matrix/screened_vwap_scalp_5m
screened_vwap_scalp,15m,9098,39.503188,-4983.771004,-106.286898,4877.484106,0.0,0.589437,-0.547788,99.675986,17,reports/btc_base_tf_matrix/screened_vwap_scalp_15m
screened_vwap_scalp_v2,1m,1308,43.883792,-3097.711309,-279.574642,2818.136667,0.0,0.393469,-2.368281,62.043644,12,reports/btc_base_tf_matrix/screened_vwap_scalp_v2_1m
screened_vwap_scalp_v2,5m,2035,45.503686,-3514.86869,-70.091193,3444.777497,0.0,0.478818,-1.727208,70.401264,10,reports/btc_base_tf_matrix/screened_vwap_scalp_v2_5m
screened_vwap_scalp_v2,15m,1394,48.063128,-1985.271448,493.485976,2478.757424,0.0,0.650002,-1.424155,40.785343,13,reports/btc_base_tf_matrix/screened_vwap_scalp_v2_15m
ema_trend_pullback_v1,1m,4951,28.115532,-4955.085789,1502.071833,6457.157623,0.0,0.543923,-1.000825,99.106647,24,reports/btc_base_tf_matrix/ema_trend_pullback_v1_1m
ema_trend_pullback_v1,5m,2348,26.831346,-3955.891238,384.041716,4339.932954,0.0,0.597433,-1.684792,79.129816,23,reports/btc_base_tf_matrix/ema_trend_pullback_v1_5m
ema_trend_pullback_v1,15m,1000,28.8,-1463.614892,620.585505,2084.200396,0.0,0.761089,-1.463615,29.697342,14,reports/btc_base_tf_matrix/ema_trend_pullback_v1_15m
vwap_reclaim_short_v1,1m,305,28.52459,-1241.66048,-24.941742,1216.718737,0.0,0.463106,-4.071018,25.071286,11,reports/btc_base_tf_matrix/vwap_reclaim_short_v1_1m
vwap_reclaim_short_v1,5m,117,23.076923,-554.041746,-160.847098,393.194648,0.0,0.413795,-4.7354,11.282756,22,reports/btc_base_tf_matrix/vwap_reclaim_short_v1_5m
vwap_reclaim_short_v1,15m,37,21.621622,-187.652304,-74.306064,113.34624,0.0,0.368289,-5.071684,3.753046,10,reports/btc_base_tf_matrix/vwap_reclaim_short_v1_15m
vwap_reclaim_short_v2,1m,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,reports/btc_base_tf_matrix/vwap_reclaim_short_v2_1m
vwap_reclaim_short_v2,5m,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,reports/btc_base_tf_matrix/vwap_reclaim_short_v2_5m
vwap_reclaim_short_v2,15m,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,reports/btc_base_tf_matrix/vwap_reclaim_short_v2_15m
mean_revert_v1,1m,87,24.137931,-557.021859,-78.546587,478.475272,0.0,0.326684,-6.40255,11.227448,15,reports/btc_base_tf_matrix/mean_revert_v1_1m
mean_revert_v1,5m,104,22.115385,-535.53668,-210.204462,325.332217,0.0,0.350698,-5.149391,10.710734,14,reports/btc_base_tf_matrix/mean_revert_v1_5m
mean_revert_v1,15m,63,30.15873,-148.152318,-16.214757,131.937561,0.0,0.62958,-2.351624,3.107301,7,reports/btc_base_tf_matrix/mean_revert_v1_15m
