month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,4,0,4,0.000000,-29.920158,6.280226,0.000000,6.280226,-36.200385,0.000000,0.000000,-9.050096,-9.050096,4,2.939792,131.198418,-60.557075,-191.755494,10.025266,0,4,0,0
2020-02,3,1,2,33.333333,-5.397747,3.605060,0.000000,3.605060,-9.002808,0.637214,8.312330,-8.657569,-3.000936,2,1.985353,119.653858,-24.079013,-143.732871,10.015876,1,2,0,0
2020-03,4,1,3,25.000000,-10.276743,11.027550,0.000000,11.027550,-21.304293,0.538764,9.634938,-10.313077,-5.326073,2,2.671583,66.857097,-17.631387,-84.488484,10.007423,1,3,0,0
2020-04,4,1,3,25.000000,4.334630,4.974529,0.000000,4.974529,-0.639899,1.298677,17.756336,-6.132078,-0.159975,2,3.157750,178.303339,1.964795,-176.338544,10.005985,1,2,1,0
2021-06,1,0,1,0.000000,-7.399279,0.401172,0.000000,0.401172,-7.800451,0.000000,0.000000,-7.800451,-7.800451,1,2.606593,475.239381,-196.251553,-671.490934,10.093079,0,1,0,0
2022-01,2,0,2,0.000000,-14.763106,1.266282,0.000000,1.266282,-16.029388,0.000000,0.000000,-8.014694,-8.014694,2,2.404855,269.405125,-127.374859,-396.779984,10.058658,0,2,0,0
2022-02,1,0,1,0.000000,-7.363534,0.776217,0.000000,0.776217,-8.139752,0.000000,0.000000,-8.139752,-8.139752,1,3.709276,343.554929,-105.364096,-448.919025,10.047658,0,1,0,0
2022-05,4,2,2,50.000000,11.127372,4.203759,0.000000,4.203759,6.923613,1.756397,11.928482,-8.466675,1.730903,1,2.159682,159.512946,35.038055,-124.474891,10.037186,2,2,0,0
2022-06,1,0,1,0.000000,-7.361710,1.409311,0.000000,1.409311,-8.771021,0.000000,0.000000,-8.771021,-8.771021,1,1.855035,86.647629,-62.074115,-148.721744,9.973950,0,1,0,0
2023-03,14,8,6,57.142857,92.891789,26.059375,0.000000,26.059375,66.832415,3.302280,14.753510,-8.532611,4.773744,2,2.301616,89.311541,29.121149,-60.190392,10.019570,7,5,2,0
2023-04,13,3,10,23.076923,-32.156532,38.911912,0.000000,38.911912,-71.068445,0.565739,11.670031,-10.607854,-5.466803,7,2.261661,51.575176,-17.292728,-68.867904,9.996352,3,10,0,0
2023-05,6,1,5,16.666667,-27.765232,13.819754,0.000000,13.819754,-41.584985,0.241752,7.525014,-9.822000,-6.930831,4,2.072911,56.915745,-26.901997,-83.817742,9.990091,1,5,0,0
2023-07,1,0,1,0.000000,-7.279822,1.299838,0.000000,1.299838,-8.579660,0.000000,0.000000,-8.579660,-8.579660,1,3.278770,174.145185,-66.190969,-240.336153,10.028081,0,1,0,0
2023-08,1,1,0,100.000000,14.543080,2.822987,0.000000,2.822987,11.720093,inf,11.720093,0.000000,11.720093,0,2.001263,41.384275,41.409967,0.025692,9.974308,1,0,0,0
2023-09,1,0,1,0.000000,-7.284533,1.474712,0.000000,1.474712,-8.759244,0.000000,0.000000,-8.759244,-8.759244,1,1.722146,74.858109,-59.249982,-134.108091,9.975363,0,1,0,0
2023-10,3,1,2,33.333333,17.856768,13.604877,0.000000,13.604877,4.251891,5.635205,19.961563,-7.854836,1.417297,2,3.231154,59.165158,29.360435,-29.804722,10.019690,1,1,1,0
