trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,mean_revert_v1,neutral,short,1578028980000,1578029160000,180000,7168.050000,7182.466248,7182.466248,7142.746677,0.520246,-7.500000,3.732902,0.000000,3.732902,-11.232902,1.755195,4,stop_loss,25.300148,-30.121869,-55.422017,10.010056,0.000000,10.010056,-30.121869,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=1.76, wick=0.50, close_location=0.91, reversal_progress_atr=0.24, vol=0.94, atr_bps=20.1"
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1578635940000,1578637020000,1080000,7755.000000,7731.708566,7762.211532,7731.708566,1.037664,24.168692,8.035003,0.000000,8.035003,16.133689,3.229748,19,take_profit,20.034086,20.049103,0.015017,9.984983,0.000000,9.984983,20.049103,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=3.23, wick=0.56, close_location=1.00, reversal_progress_atr=0.44, vol=0.89, atr_bps=9.3"
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1578647760000,1578648300000,540000,7723.000000,7730.456217,7730.456217,7702.515879,1.006858,-7.507351,7.779718,0.000000,7.779718,-15.287069,2.747254,10,stop_loss,16.523528,-19.659387,-36.182915,10.004827,0.000000,10.004827,-19.659387,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=2.75, wick=0.46, close_location=0.93, reversal_progress_atr=0.81, vol=1.98, atr_bps=9.7"
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1578648840000,1578649440000,600000,7732.180000,7739.476068,7739.476068,7713.284911,1.025816,-7.484421,7.935534,0.000000,7.935534,-15.419954,2.589763,11,stop_loss,14.436950,-19.440695,-33.877645,10.004718,0.000000,10.004718,-19.440695,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=2.59, wick=0.53, close_location=1.00, reversal_progress_atr=0.39, vol=0.82, atr_bps=9.4"
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1579917180000,1579917360000,180000,8279.290000,8288.053520,8288.053520,8256.815990,0.851403,-7.461291,7.052746,0.000000,7.052746,-14.514037,2.564496,4,stop_loss,17.144852,-20.590162,-37.735014,10.005292,0.000000,10.005292,-20.590162,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=2.56, wick=0.46, close_location=0.61, reversal_progress_atr=0.37, vol=2.63, atr_bps=10.6"
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-02,BTCUSDT,mean_revert_v1,bearish,short,1582725360000,1582725360000,0,9111.300000,9077.701886,9128.416643,9077.701886,0.434637,14.602970,3.952803,0.000000,3.952803,10.650167,1.962892,1,take_profit,26.875215,26.893652,0.018438,9.981562,0.000000,9.981562,26.893652,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=1.96, wick=0.71, close_location=0.97, reversal_progress_atr=0.31, vol=1.05, atr_bps=18.8"
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-02,BTCUSDT,mean_revert_v1,neutral,long,1582805400000,1582805460000,60000,8892.350000,8881.304147,8881.304147,8916.890423,0.674959,-7.455495,5.998242,0.000000,5.998242,-13.453737,2.221687,2,stop_loss,17.597230,-22.415537,-40.012767,9.993789,0.000000,9.993789,-22.415537,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.22, wick=0.57, close_location=0.77, reversal_progress_atr=0.25, vol=1.45, atr_bps=12.4"
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-02,BTCUSDT,mean_revert_v1,neutral,long,1582825980000,1582826160000,180000,8932.900000,8924.134775,8924.134775,8955.415753,0.848274,-7.435314,7.573831,0.000000,7.573831,-15.009145,2.568759,4,stop_loss,15.205423,-19.807389,-35.012812,9.995094,0.000000,9.995094,-19.807389,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.57, wick=0.52, close_location=0.74, reversal_progress_atr=0.25, vol=0.83, atr_bps=9.8"
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-02,BTCUSDT,mean_revert_v1,neutral,long,1582828140000,1582828140000,0,8930.710000,8922.491450,8922.491450,8954.729237,0.901960,-7.412801,8.051433,0.000000,8.051433,-15.464234,2.922564,1,stop_loss,16.895104,-19.197971,-36.093074,9.995399,0.000000,9.995399,-19.197971,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.92, wick=0.45, close_location=0.66, reversal_progress_atr=0.32, vol=2.21, atr_bps=9.2"
TRD-SIG-BT-00000010,SIG-BT-00000010,2020-02,BTCUSDT,mean_revert_v1,bearish,long,1582849680000,1582849800000,120000,8882.700000,8870.572937,8870.572937,8909.103724,0.609348,-7.389604,5.408963,0.000000,5.408963,-12.798567,2.177256,3,stop_loss,19.724885,-23.645625,-43.370510,9.993174,0.000000,9.993174,-23.645625,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.18, wick=0.39, close_location=0.82, reversal_progress_atr=1.05, vol=5.82, atr_bps=13.7"
TRD-SIG-BT-00000011,SIG-BT-00000011,2020-03,BTCUSDT,mean_revert_v1,bullish,long,1583169300000,1583169900000,600000,8883.290000,8918.264235,8874.150888,8918.264235,0.806469,28.205621,7.178197,0.000000,7.178197,21.027424,3.826875,11,take_profit,29.370813,29.351128,-0.019685,10.019685,0.000000,10.019685,29.351128,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-3.83, wick=0.37, close_location=1.00, reversal_progress_atr=0.64, vol=1.48, atr_bps=10.3"
TRD-SIG-BT-00000012,SIG-BT-00000012,2022-05,BTCUSDT,mean_revert_v1,bearish,short,1652092500000,1652092680000,180000,33094.400000,33170.938221,33170.938221,32799.397578,0.096709,-7.401947,3.204233,0.000000,3.204233,-10.606180,3.854315,4,stop_loss,79.139680,-33.138806,-112.278486,10.011564,0.000000,10.011564,-33.138806,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=3.85, wick=0.46, close_location=0.68, reversal_progress_atr=0.25, vol=2.26, atr_bps=23.1"
