trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,mean_revert_v1,neutral,long,1577945100000,1577947500000,7139.380000,7129.673727,7129.673727,7168.701441,0.77269620,5516.571777,5516.571777,5509.071777,5512.821777,11025.643553,5.000000,9.993202,5000.000000,7.500000,9.706273,13.595400,0.150000,1.103314,-7.500000,5.512822,0.000000,-13.012822,3.020875,9,stop_loss,"mean_revert_v1_confirmed ext_atr=-3.02, wick=0.51, close_location=1.00, reversal_progress_atr=0.43, vol=0.97, atr_bps=13.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,31.070011,-23.588602
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,mean_revert_v1,neutral,short,1578038100000,1578038100000,7187.440000,7205.373359,7205.373359,7153.194819,0.41712658,2998.072254,2998.072254,3005.552734,3001.812494,6003.624988,5.000000,10.012475,4986.987178,7.480481,17.933359,24.950969,0.150000,0.601179,-7.480481,3.001812,0.000000,-10.482293,1.909580,1,stop_loss,"mean_revert_v1_confirmed ext_atr=1.91, wick=0.48, close_location=0.72, reversal_progress_atr=0.25, vol=1.95, atr_bps=24.9",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,37.645867,-34.963444
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,mean_revert_v1,bullish,short,1578163800000,1578165900000,7296.740000,7315.861902,7315.861902,7267.508014,0.39037734,2848.481943,2848.481943,2855.946700,2852.214321,5704.428643,5.000000,10.013103,4976.504885,7.464757,19.121902,26.206090,0.150000,0.572386,-7.464757,2.852214,0.000000,-10.316972,1.528717,8,stop_loss,"mean_revert_v1_confirmed ext_atr=1.53, wick=0.52, close_location=0.81, reversal_progress_atr=0.53, vol=4.90, atr_bps=26.2",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,30.061708,-36.219193
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,mean_revert_v1,neutral,short,1578261600000,1578261900000,7366.050000,7379.010589,7379.010589,7327.725304,0.57476414,4233.741399,4233.741399,4241.190681,4237.466040,8474.932080,5.000000,10.008798,4966.187913,7.449282,12.960589,17.595033,0.150000,0.852513,-7.449282,4.237466,0.000000,-11.686748,2.957018,2,stop_loss,"mean_revert_v1_confirmed ext_atr=2.96, wick=0.88, close_location=0.99, reversal_progress_atr=0.27, vol=1.38, atr_bps=17.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,42.028829,-27.603830
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,mean_revert_v1,neutral,short,1578588900000,1578590400000,7826.580000,7776.672499,7847.176097,7776.672499,0.36083301,2824.088399,2824.088399,2806.080125,2815.084262,5630.168523,5.000000,9.968117,4954.501165,7.431752,20.596097,26.315578,0.150000,0.570005,18.008274,2.815084,0.000000,15.193190,2.423153,6,take_profit,"mean_revert_v1_confirmed ext_atr=2.42, wick=0.36, close_location=0.83, reversal_progress_atr=0.63, vol=0.91, atr_bps=26.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,53.766679,53.798562
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,mean_revert_v1,neutral,short,1578621000000,1578621300000,7790.460000,7805.743081,7805.743081,7757.521406,0.48776430,3799.908305,3799.908305,3807.362847,3803.635576,7607.271152,5.000000,10.009809,4969.694355,7.454542,15.283081,19.617688,0.150000,0.764616,-7.454542,3.803636,0.000000,-11.258177,2.155233,2,stop_loss,"mean_revert_v1_confirmed ext_atr=2.16, wick=0.53, close_location=1.00, reversal_progress_atr=0.38, vol=0.91, atr_bps=19.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,32.280679,-29.627497
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,mean_revert_v1,neutral,short,1578634800000,1578634800000,7763.000000,7775.658303,7775.658303,7742.134069,0.58757121,4561.315275,4561.315275,4568.752929,4565.034102,9130.068204,5.000000,10.008153,4958.436178,7.437654,12.658303,16.305942,0.150000,0.919910,-7.437654,4.565034,0.000000,-12.002688,1.648399,1,stop_loss,"mean_revert_v1_confirmed ext_atr=1.65, wick=0.43, close_location=1.00, reversal_progress_atr=0.57, vol=1.33, atr_bps=16.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,16.878695,-26.314095
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,mean_revert_v1,neutral,short,1578665100000,1578665100000,7857.930000,7884.369221,7884.369221,7790.655908,0.28063044,2205.174355,2205.174355,2212.594006,2208.884181,4417.768361,5.000000,10.016823,4946.433489,7.419650,26.439221,33.646547,0.150000,0.445811,-7.419650,2.208884,0.000000,-9.628534,2.544481,1,stop_loss,"mean_revert_v1_confirmed ext_atr=2.54, wick=0.54, close_location=0.81, reversal_progress_atr=0.41, vol=1.41, atr_bps=33.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,75.612995,-43.663370
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,mean_revert_v1,bearish,short,1579821300000,1579821600000,8363.120000,8380.931071,8380.931071,8305.192641,0.41576431,3477.086776,3477.086776,3484.491983,3480.789380,6961.578759,5.000000,10.010649,4936.804955,7.405207,17.811071,21.297160,0.150000,0.704319,-7.405207,3.480789,0.000000,-10.885997,3.252323,2,stop_loss,"mean_revert_v1_confirmed ext_atr=3.25, wick=0.51, close_location=0.97, reversal_progress_atr=0.56, vol=1.24, atr_bps=21.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,59.265249,-31.307809
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,mean_revert_v1,bearish,short,1579912800000,1579913400000,8356.700000,8318.729582,8375.982197,8318.729582,0.38319692,3202.261692,3202.261692,3187.711544,3194.986618,6389.973236,5.000000,9.977281,4925.918958,7.388878,19.282197,23.073937,0.150000,0.650084,14.550147,3.194987,0.000000,11.355161,1.969196,3,take_profit,"mean_revert_v1_confirmed ext_atr=1.97, wick=0.59, close_location=0.88, reversal_progress_atr=0.42, vol=1.62, atr_bps=23.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,35.437096,35.459815
