month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,152,62,90,40.789474,48.151629,316.325190,0.000000,316.325190,-268.173562,1.076896,8.811944,-9.050156,-1.764300,7,1.500000,48.714960,-8.460799,-57.175759,10.000601,61,86,5,0
2020-02,134,53,81,39.552239,-20.456264,279.225522,0.000000,279.225522,-299.681786,0.962690,7.925931,-8.885878,-2.236431,10,1.500000,42.144759,-10.872226,-53.016985,9.999794,50,80,4,0
2020-03,78,35,43,44.871795,48.713756,97.012181,0.000000,97.012181,-48.298425,1.171895,8.186106,-7.786329,-0.619211,5,1.500000,98.412721,-9.783514,-108.196236,9.999892,33,43,2,0
2020-04,90,36,54,40.000000,-2.321139,169.492612,0.000000,169.492612,-171.813752,0.993235,7.527122,-8.199817,-1.909042,11,1.500000,45.736946,-12.087483,-57.824428,9.998675,35,53,2,0
2020-05,119,47,72,39.495798,1.531289,164.047920,0.000000,164.047920,-162.516631,1.003458,8.083887,-7.534157,-1.365686,6,1.500000,63.654083,-8.857807,-72.511890,10.000571,47,70,2,0
2020-06,117,49,68,41.880342,20.724527,261.633485,0.000000,261.633485,-240.908958,1.051824,6.270412,-8.061164,-2.059051,6,1.500000,31.716964,-10.013627,-41.730590,9.998528,47,68,2,0
2020-07,131,60,71,45.801527,112.425469,433.809884,0.000000,433.809884,-321.384416,1.306353,4.659712,-8.464326,-2.453316,5,1.500000,22.655852,-6.545898,-29.201750,10.001836,59,68,4,0
2020-08,158,47,111,29.746835,-203.055096,257.576431,0.000000,257.576431,-460.631527,0.627464,5.657800,-6.545479,-2.915389,9,1.500000,39.064476,-18.283632,-57.348108,9.995856,46,111,1,0
2020-09,66,25,41,37.878788,-13.867864,98.561759,0.000000,98.561759,-112.429623,0.922085,5.015731,-5.800558,-1.703479,6,1.500000,39.656925,-10.561554,-50.218479,9.999974,24,39,3,0
2020-10,199,83,116,41.708543,29.376641,341.682551,0.000000,341.682551,-312.305910,1.062168,4.311403,-5.777175,-1.569376,11,1.500000,31.850488,-9.447515,-41.298002,10.001341,83,116,0,0
2020-11,152,65,87,42.763158,44.212522,128.414230,0.000000,128.414230,-84.201708,1.133549,4.916582,-4.641144,-0.553959,8,1.500000,64.640875,-7.109489,-71.750364,10.001446,65,86,1,0
