signal_id,stage,entry_geometry_mode,timestamp,side,regime,reason,equity,peak_equity,drawdown_pct,daily_realized_pnl,expected_reward_bps,expected_cost_bps,expected_net_edge_bps
SIG-BT-00000006,initial_risk,reanchor_to_actual_entry,1577859600000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,9.881023,10.000000,-0.118977
SIG-BT-00000007,initial_risk,reanchor_to_actual_entry,1577859900000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,9.602865,10.000000,-0.397135
SIG-BT-00000008,initial_risk,reanchor_to_actual_entry,1577860200000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,9.952876,10.000000,-0.047124
SIG-BT-00000009,initial_risk,reanchor_to_actual_entry,1577860800000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,9.292777,10.000000,-0.707223
SIG-BT-00000010,initial_risk,reanchor_to_actual_entry,1577861100000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,9.294450,10.000000,-0.705550
SIG-BT-00000011,initial_risk,reanchor_to_actual_entry,1577861700000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,9.302481,10.000000,-0.697519
SIG-BT-00000012,initial_risk,reanchor_to_actual_entry,1577862300000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,8.620219,10.000000,-1.379781
SIG-BT-00000013,initial_risk,reanchor_to_actual_entry,1577862600000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,8.737278,10.000000,-1.262722
SIG-BT-00000014,initial_risk,reanchor_to_actual_entry,1577862900000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,8.475548,10.000000,-1.524452
SIG-BT-00000015,initial_risk,reanchor_to_actual_entry,1577863800000,long,bullish,expected_net_edge_not_positive,4948.879861,5000.000000,1.022403,-51.120139,8.831438,10.000000,-1.168562
SIG-BT-00000028,initial_risk,reanchor_to_actual_entry,1577895600000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,19.465397,10.000000,9.465397
SIG-BT-00000029,initial_risk,reanchor_to_actual_entry,1577898000000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,20.390774,10.000000,10.390774
SIG-BT-00000030,initial_risk,reanchor_to_actual_entry,1577898600000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,20.858047,10.000000,10.858047
SIG-BT-00000031,initial_risk,reanchor_to_actual_entry,1577899200000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,21.391428,10.000000,11.391428
SIG-BT-00000032,initial_risk,reanchor_to_actual_entry,1577899500000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,20.409165,10.000000,10.409165
SIG-BT-00000033,initial_risk,reanchor_to_actual_entry,1577899800000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,20.560254,10.000000,10.560254
SIG-BT-00000034,initial_risk,reanchor_to_actual_entry,1577900700000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,18.992538,10.000000,8.992538
SIG-BT-00000035,initial_risk,reanchor_to_actual_entry,1577902500000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,16.598711,10.000000,6.598711
SIG-BT-00000036,initial_risk,reanchor_to_actual_entry,1577903400000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,16.048857,10.000000,6.048857
SIG-BT-00000037,initial_risk,reanchor_to_actual_entry,1577903700000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,15.973652,10.000000,5.973652
SIG-BT-00000038,initial_risk,reanchor_to_actual_entry,1577904300000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,15.731418,10.000000,5.731418
SIG-BT-00000039,initial_risk,reanchor_to_actual_entry,1577904900000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,15.128841,10.000000,5.128841
SIG-BT-00000040,initial_risk,reanchor_to_actual_entry,1577905800000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,14.725305,10.000000,4.725305
SIG-BT-00000041,initial_risk,reanchor_to_actual_entry,1577906400000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,14.268491,10.000000,4.268491
SIG-BT-00000042,initial_risk,reanchor_to_actual_entry,1577906700000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,14.115589,10.000000,4.115589
SIG-BT-00000043,initial_risk,reanchor_to_actual_entry,1577909700000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,12.392610,10.000000,2.392610
SIG-BT-00000044,initial_risk,reanchor_to_actual_entry,1577910300000,long,bullish,daily_loss_limit_reached,4852.716650,5000.000000,2.945667,-147.283350,12.642366,10.000000,2.642366
