trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1577977200000,1577980800000,3600000,7131.000000,7109.182334,7149.181388,7109.182334,0.412510,9.000000,2.937107,0.000000,2.937107,6.062893,1.200000,5,take_profit,20.595520,20.610818,0.015298,9.984702,0.000000,9.984702,20.610818,screening_bearish|confirmation_bearish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bearish momentum follow-through, body_ratio=0.77, body_atr=1.01, close_location=0.97, reject_distance_atr=0.00, volume_ratio=1.20, atr_bps=25.5"
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578276000000,1578276000000,0,7419.950000,7448.818331,7395.893057,7448.818331,0.312138,9.010913,2.320556,0.000000,2.320556,6.690357,1.200000,1,take_profit,28.906369,28.886916,-0.019453,10.019453,0.000000,10.019453,28.886916,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.92, body_atr=1.51, close_location=0.93, reclaim_distance_atr=0.04, volume_ratio=1.73, atr_bps=32.4"
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578395700000,1578395700000,0,7919.830000,7944.901744,7898.936880,7944.901744,0.359885,9.022956,2.854743,0.000000,2.854743,6.168213,1.200000,1,take_profit,21.656922,21.641093,-0.015828,10.015828,0.000000,10.015828,21.641093,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.75, body_atr=1.32, close_location=0.99, reclaim_distance_atr=0.16, volume_ratio=1.74, atr_bps=26.4"
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578413700000,1578414600000,900000,7861.560000,7911.126459,7820.254617,7911.126459,0.182262,9.034059,1.437377,0.000000,1.437377,7.596682,1.200000,2,take_profit,53.049140,53.017615,-0.031525,10.031525,0.000000,10.031525,53.017615,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.69, body_atr=2.22, close_location=0.96, reclaim_distance_atr=0.00, volume_ratio=2.45, atr_bps=52.5"
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578491100000,1578492000000,900000,8411.380000,8362.593334,8362.593334,8469.924000,0.154546,-7.539777,1.296174,0.000000,1.296174,-8.835951,1.200000,2,stop_loss,59.600945,-67.971787,-127.572732,9.971000,0.000000,9.971000,-67.971787,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.79, body_atr=1.96, close_location=0.84, reclaim_distance_atr=0.00, volume_ratio=4.43, atr_bps=58.0"
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578555000000,1578558600000,3600000,7956.610000,7920.649542,7920.649542,7999.762550,0.209300,-7.526523,1.661555,0.000000,1.661555,-9.188078,1.200000,5,stop_loss,44.234843,-55.173105,-99.407948,9.977402,0.000000,9.977402,-55.173105,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.78, body_atr=0.97, close_location=0.90, reclaim_distance_atr=0.00, volume_ratio=1.60, atr_bps=45.2"
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578598200000,1578598200000,0,7857.200000,7898.433860,7822.838450,7898.433860,0.218638,9.015289,1.722390,0.000000,1.722390,7.292899,1.200000,1,take_profit,42.479076,42.452836,-0.026240,10.026240,0.000000,10.026240,42.452836,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.65, body_atr=0.90, close_location=0.73, reclaim_distance_atr=0.00, volume_ratio=1.15, atr_bps=43.7"
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578680100000,1578680100000,0,8043.500000,8115.288350,7983.676375,8115.288350,0.125764,9.028417,1.016100,0.000000,1.016100,8.012317,1.200000,1,take_profit,79.250140,79.205515,-0.044625,10.044625,0.000000,10.044625,79.205515,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.85, body_atr=1.30, close_location=0.85, reclaim_distance_atr=0.11, volume_ratio=1.40, atr_bps=74.4"
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578779100000,1578779100000,0,8284.170000,8250.077974,8250.077974,8325.080431,0.221040,-7.535699,1.827365,0.000000,1.827365,-9.363063,1.200000,1,stop_loss,39.383862,-51.132642,-90.516504,9.979423,0.000000,9.979423,-51.132642,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.99, body_atr=3.54, close_location=0.99, reclaim_distance_atr=0.00, volume_ratio=3.23, atr_bps=41.2"
TRD-SIG-BT-00000010,SIG-BT-00000010,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578816900000,1578818700000,1800000,8115.610000,8146.841421,8089.583815,8146.841421,0.289003,9.025985,2.349951,0.000000,2.349951,6.676034,1.200000,3,take_profit,28.483147,28.463906,-0.019242,10.019242,0.000000,10.019242,28.463906,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.58, body_atr=0.62, close_location=0.98, reclaim_distance_atr=0.00, volume_ratio=1.65, atr_bps=32.1"
