trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578188760000,1578189000000,7478.600000,7460.900324,7460.900324,7499.839612,0.42373656,3168.956228,3168.956228,3161.456228,3165.206228,6330.412456,5.000000,9.988166,5000.000000,7.500000,17.699676,23.667099,0.150000,0.633791,-7.500000,3.165206,0.000000,-10.665206,1.200000,5,stop_loss,"bullish momentum follow-through, body_ratio=0.71, body_atr=1.59, close_location=0.79, reclaim_distance_atr=0.07, volume_ratio=2.36, atr_bps=23.7",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,18.400519,-33.655265
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578279900000,1578279960000,7552.250000,7535.402061,7535.402061,7572.467526,0.44420877,3354.775710,3354.775710,3347.291708,3351.033709,6702.067418,5.000000,9.988846,4989.334794,7.484002,16.847939,22.308502,0.150000,0.672389,-7.484002,3.351034,0.000000,-10.835036,1.200000,2,stop_loss,"bullish momentum follow-through, body_ratio=0.82, body_atr=1.28, close_location=0.87, reclaim_distance_atr=0.00, volume_ratio=1.21, atr_bps=22.3",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,16.770203,-32.297348
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578350700000,1578350760000,7715.000000,7737.740676,7696.049436,7737.740676,0.39406478,3040.209771,3040.209771,3049.171070,3044.690421,6089.380841,5.000000,10.014738,4978.499758,7.467750,18.950564,24.563271,0.150000,0.610668,8.961300,3.044690,0.000000,5.916609,1.200000,2,take_profit,"bullish momentum follow-through, body_ratio=0.58, body_atr=0.95, close_location=1.00, reclaim_distance_atr=0.17, volume_ratio=1.75, atr_bps=24.6",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,19.475925,19.461187
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578352740000,1578353820000,7749.540000,7776.706062,7726.901615,7776.706062,0.33026316,2559.387530,2559.387530,2568.359480,2563.873505,5127.747010,5.000000,10.017528,4984.416367,7.476625,22.638385,29.212554,0.150000,0.513478,8.971949,2.563874,0.000000,6.408076,1.200000,19,take_profit,"bullish momentum follow-through, body_ratio=0.73, body_atr=1.08, close_location=0.83, reclaim_distance_atr=0.00, volume_ratio=1.19, atr_bps=29.2",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,25.055064,25.037537
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578421680000,1578421680000,7999.860000,8016.717017,7985.812486,8016.717017,0.53292252,4263.305520,4263.305520,4272.289004,4267.797262,8535.594524,5.000000,10.010536,4990.824443,7.486237,14.047514,17.559700,0.150000,0.854229,8.983484,4.267797,0.000000,4.715687,1.200000,1,take_profit,"bullish momentum follow-through, body_ratio=0.71, body_atr=1.51, close_location=0.97, reclaim_distance_atr=0.07, volume_ratio=1.74, atr_bps=17.6",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,11.071640,11.061104
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578442560000,1578442860000,8280.170000,8324.582619,8243.159484,8324.582619,0.20246436,1676.439280,1676.439280,1685.431252,1680.935266,3361.870532,5.000000,10.026819,4995.540130,7.493310,37.010516,44.697773,0.150000,0.335587,8.991972,1.680935,0.000000,7.311037,1.200000,6,take_profit,"bullish momentum follow-through, body_ratio=0.85, body_atr=1.07, close_location=0.87, reclaim_distance_atr=0.00, volume_ratio=1.97, atr_bps=44.7",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,43.637327,43.610509
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578448620000,1578448620000,8385.920000,8371.352904,8371.352904,8403.400516,0.51515254,4320.027985,4320.027985,4312.523708,4316.275846,8632.551693,5.000000,9.991315,5002.851167,7.504277,14.567096,17.370898,0.150000,0.863513,-7.504277,4.316276,0.000000,-11.820553,1.200000,1,stop_loss,"bullish momentum follow-through, body_ratio=0.77, body_atr=1.52, close_location=0.80, reclaim_distance_atr=0.00, volume_ratio=1.65, atr_bps=17.4",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,10.845078,-27.362213
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578450900000,1578451020000,8366.110000,8349.103895,8349.103895,8386.517326,0.44022695,3682.987115,3682.987115,3675.500569,3679.243842,7358.487683,5.000000,9.989836,4991.030614,7.486546,17.006105,20.327375,0.150000,0.737921,-7.486546,3.679244,0.000000,-11.165790,1.200000,3,stop_loss,"bullish momentum follow-through, body_ratio=0.72, body_atr=0.58, close_location=0.79, reclaim_distance_atr=0.00, volume_ratio=1.18, atr_bps=20.3",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,14.392850,-30.317211
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578451500000,1578451620000,8377.810000,8363.226314,8363.226314,8395.310423,0.51220229,4291.133488,4291.133488,4283.663691,4287.398590,8574.797180,5.000000,9.991296,4979.864824,7.469797,14.583686,17.407515,0.150000,0.861697,-7.469797,4.287399,0.000000,-11.757196,1.200000,3,stop_loss,"bullish momentum follow-through, body_ratio=0.66, body_atr=1.04, close_location=0.78, reclaim_distance_atr=0.00, volume_ratio=2.06, atr_bps=17.4",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,10.889019,-27.398812
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578495000000,1578495120000,8327.620000,8312.436831,8312.436831,8345.839802,0.49081727,4087.339754,4087.339754,4079.887593,4083.613673,8167.227347,5.000000,9.990884,4968.107628,7.452161,15.183169,18.232302,0.150000,0.822716,-7.452161,4.083614,0.000000,-11.535775,1.200000,3,stop_loss,"bullish momentum follow-through, body_ratio=0.69, body_atr=0.86, close_location=0.99, reclaim_distance_atr=0.00, volume_ratio=1.26, atr_bps=18.2",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,11.878763,-28.223186
