key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:confidence_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:confirmation_bearish_or_allowed_neutral,422,193,229,45.734597,-619.288554,5.054516,624.343070,0.000000,-1.467508,32.293303,-9.675557,3.940758
passed:confirmation_bullish_or_allowed_neutral,1613,733,880,45.443273,-2895.580136,-75.145710,2820.434426,0.000000,-1.795152,23.137747,-10.537487,3.742095
passed:direction_enabled,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:expected_net_edge_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:expected_reward_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:momentum_trigger_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:near_vwap_or_ema21,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:screening_bearish,422,193,229,45.734597,-619.288554,5.054516,624.343070,0.000000,-1.467508,32.293303,-9.675557,3.940758
passed:screening_bullish,1613,733,880,45.443273,-2895.580136,-75.145710,2820.434426,0.000000,-1.795152,23.137747,-10.537487,3.742095
passed:trigger_body_atr_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:trigger_body_ratio_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:trigger_close_location_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
passed:volume_ratio_ok,2035,926,1109,45.503686,-3514.868690,-70.091193,3444.777497,0.000000,-1.727208,25.036344,-10.358748,3.783292
