month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,63,31,32,49.206349,38.584178,194.150159,0.000000,194.150159,-155.565981,1.162601,5.865061,-10.543215,-2.469301,7,1.200000,21.597989,-7.294785,-28.892774,10.001020,31,32,0,0
2020-02,41,16,25,39.024390,-41.497800,131.713836,0.000000,131.713836,-173.211636,0.767610,5.134521,-10.214559,-4.224674,4,1.200000,19.347834,-14.936284,-34.284118,9.998983,16,25,0,0
2020-03,52,23,29,44.230769,-9.639240,89.714735,0.000000,89.714735,-99.353974,0.952141,6.524688,-8.600752,-1.910653,4,1.200000,65.602185,-15.114516,-80.716701,10.002556,23,29,0,0
2020-04,28,13,15,46.428571,3.695340,78.861273,0.000000,78.861273,-75.165934,1.036240,5.103410,-9.434018,-2.684498,5,1.200000,20.975284,-12.070616,-33.045900,10.001348,13,15,0,0
2020-05,58,22,36,37.931034,-62.948661,160.655822,0.000000,160.655822,-223.604483,0.735262,5.169815,-9.370567,-3.855250,6,1.200000,20.371463,-14.547480,-34.918943,9.997725,22,36,0,0
2020-06,10,4,6,40.000000,-7.734155,32.515108,0.000000,32.515108,-40.249263,0.798108,4.134903,-9.464812,-4.024926,4,1.200000,13.952833,-13.877069,-27.829902,9.998060,4,6,0,0
2020-07,20,10,10,50.000000,12.492566,50.143274,0.000000,50.143274,-37.650708,1.197410,5.071947,-8.837018,-1.882535,5,1.200000,22.342715,-7.239403,-29.582118,10.001381,10,10,0,0
2020-08,32,11,21,34.375000,-48.153818,92.813501,0.000000,92.813501,-140.967319,0.630404,4.728841,-9.189741,-4.405229,6,1.200000,17.872087,-13.497748,-31.369836,9.998250,11,21,0,0
2020-09,12,4,8,33.333333,-19.433497,34.411379,0.000000,34.411379,-53.844876,0.598009,4.295790,-8.878504,-4.487073,3,1.200000,15.949850,-15.775269,-31.725119,9.997111,4,8,0,0
2020-10,21,12,9,57.142857,32.189946,56.271815,0.000000,56.271815,-24.081869,1.597276,4.243754,-8.334102,-1.146756,4,1.200000,18.042622,-7.049675,-25.092297,10.001476,12,9,0,0
2020-11,77,43,34,55.844156,105.064385,170.338373,0.000000,170.338373,-65.273988,1.518573,4.854933,-8.059886,-0.847714,6,1.200000,25.470969,-4.392174,-29.863143,10.002805,43,34,0,0
2020-12,88,40,48,45.454545,-1.134635,184.467749,0.000000,184.467749,-185.602384,0.995857,4.740206,-7.816888,-2.109118,8,1.200000,27.009916,-10.332723,-37.342638,9.999834,40,48,0,0
2021-01,48,20,28,41.666667,-22.523767,54.981398,0.000000,54.981398,-77.505165,0.854194,5.468219,-6.673912,-1.614691,7,1.200000,55.449881,-15.549203,-70.999084,9.997224,20,28,0,0
2021-02,67,25,42,37.313433,-64.607002,90.819373,0.000000,90.819373,-155.426376,0.713088,5.043650,-6.702801,-2.319797,6,1.200000,40.415116,-18.497249,-58.912365,9.995749,25,42,0,0
2021-03,67,30,37,44.776119,-5.401636,107.497506,0.000000,107.497506,-112.899142,0.971738,4.542613,-6.734528,-1.685062,5,1.200000,30.576266,-11.485809,-42.062075,9.999257,30,37,0,0
2021-04,47,19,28,40.425532,-26.490052,97.659642,0.000000,97.659642,-124.149694,0.809427,3.795254,-7.009269,-2.641483,5,1.200000,20.084146,-13.459978,-33.544124,9.998269,19,28,0,0
2021-05,33,13,20,39.393939,-21.355264,57.154803,0.000000,57.154803,-78.510067,0.778812,3.961333,-6.500370,-2.379093,6,1.200000,24.688792,-15.101584,-39.790375,9.997448,13,20,0,0
2021-06,34,14,20,41.176471,-14.910207,47.715998,0.000000,47.715998,-62.626206,0.842990,4.299209,-6.140757,-1.841947,8,1.200000,32.483159,-13.171365,-45.654524,9.998414,14,20,0,0
2021-07,48,22,26,45.833333,1.195625,83.422444,0.000000,83.422444,-82.226819,1.010014,3.822977,-6.397397,-1.713059,4,1.200000,24.965774,-9.211256,-34.177030,10.000395,22,26,0,0
2021-08,74,32,42,43.243243,-16.399259,130.606463,0.000000,130.606463,-147.005721,0.912211,3.602544,-6.244932,-1.986564,7,1.200000,22.719270,-10.728004,-33.447274,9.999636,32,42,0,0
2021-09,25,8,17,32.000000,-31.678592,52.413999,0.000000,52.413999,-84.092591,0.563472,3.021644,-6.368573,-3.363704,4,1.200000,15.203245,-16.238453,-31.441698,9.996879,8,17,0,0
2021-10,102,46,56,45.098039,-3.666237,174.336087,0.000000,174.336087,-178.002324,0.983919,3.136794,-5.755265,-1.745121,6,1.200000,20.355118,-11.280735,-31.635852,9.999359,46,56,0,0
2021-11,19,10,9,52.631579,11.624309,35.713519,0.000000,35.713519,-24.089210,1.329822,2.728293,-5.708016,-1.267853,2,1.200000,16.833900,-8.935977,-25.769877,10.000532,10,9,0,0
2021-12,14,11,3,78.571429,39.842891,25.768394,0.000000,25.768394,14.074497,4.392200,2.855512,-5.778710,1.005321,1,1.200000,16.587718,6.339255,-10.248463,10.008174,11,3,0,0
