trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-03,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1583023500000,1583026200000,2700000,8564.100000,8602.205999,8602.205999,8468.835002,0.196819,-7.500000,1.689331,0.000000,1.689331,-9.189331,2.500000,4,stop_loss,101.237605,-54.517290,-155.754895,10.022248,0.000000,10.022248,-54.517290,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-03,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1583674200000,1583674200000,0,8656.510000,8685.663300,8685.663300,8583.626749,0.256788,-7.486216,2.226631,0.000000,2.226631,-9.712847,2.500000,1,stop_loss,74.194728,-43.694730,-117.889458,10.016839,0.000000,10.016839,-43.694730,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000003,SIG-BT-00000003,2022-06,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1654427700000,1654428600000,900000,29589.000000,29652.845942,29652.845942,29429.385145,0.117026,-7.471647,3.466423,0.000000,3.466423,-10.938070,2.500000,2,stop_loss,43.943984,-31.588383,-75.532367,10.010789,0.000000,10.010789,-31.588383,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000004,SIG-BT-00000004,2022-08,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1661696100000,1661697000000,900000,19893.300000,19945.441646,19945.441646,19762.945886,0.142981,-7.455240,2.848082,0.000000,2.848082,-10.303322,2.500000,2,stop_loss,55.526642,-36.223762,-91.750404,10.013105,0.000000,10.013105,-36.223762,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000005,SIG-BT-00000005,2022-08,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1661698800000,1661700600000,1800000,19909.300000,19976.505465,19976.505465,19741.286338,0.110702,-7.439785,2.207721,0.000000,2.207721,-9.647505,2.500000,3,stop_loss,74.389537,-43.772693,-118.162230,10.016878,0.000000,10.016878,-43.772693,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000006,SIG-BT-00000006,2022-09,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1662023700000,1662025500000,1800000,19854.200000,19935.124093,19935.124093,19651.889767,0.091757,-7.425313,1.825465,0.000000,1.825465,-9.250778,2.500000,3,stop_loss,91.897953,-50.779561,-142.677514,10.020380,0.000000,10.020380,-50.779561,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000007,SIG-BT-00000007,2022-09,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1662198300000,1662199200000,900000,19757.500000,19811.481349,19811.481349,19622.546629,0.137296,-7.411437,2.716337,0.000000,2.716337,-10.127774,2.500000,2,stop_loss,58.304882,-37.335614,-95.640496,10.013661,0.000000,10.013661,-37.335614,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000008,SIG-BT-00000008,2022-09,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1663519500000,1663534800000,15300000,19703.900000,19496.933079,19786.686768,19496.933079,0.089341,18.490614,1.751119,0.000000,1.751119,16.739495,2.500000,18,take_profit,95.038556,95.091076,0.052519,9.947481,0.000000,9.947481,95.091076,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-00000009,SIG-BT-00000009,2022-09,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1664060400000,1664064000000,3600000,18875.600000,18946.785540,18946.785540,18697.636149,0.104254,-7.421355,1.971562,0.000000,1.971562,-9.392916,2.500000,5,stop_loss,84.282487,-47.731851,-132.014338,10.018856,0.000000,10.018856,-47.731851,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2022-09,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1664116200000,1664117100000,900000,18874.600000,18936.068206,18936.068206,18720.929485,0.120506,-7.407265,2.278199,0.000000,2.278199,-9.685465,2.500000,2,stop_loss,71.416568,-42.582910,-113.999478,10.016283,0.000000,10.016283,-42.582910,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,vwap_reclaim_short_v1_range_breakdown_retest
