trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1578015540000,1578015720000,6903.210000,6911.268460,6911.268460,6883.063850,0.93069893,6424.810178,6424.810178,6432.310178,6428.560178,12857.120356,5.000000,10.005837,5000.000000,7.500000,8.058460,11.673497,0.150000,1.284962,-7.500000,6.428560,0.000000,-13.928560,2.500000,4,stop_loss,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,19.183742,-21.679333
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582750200000,1582750320000,8802.000000,8812.156394,8812.156394,8776.609016,0.73639397,6481.739766,6481.739766,6489.218873,6485.479320,12970.958640,5.000000,10.005769,4986.071440,7.479107,10.156394,11.538734,0.150000,1.299969,-7.479107,6.485479,0.000000,-13.964586,2.500000,3,stop_loss,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,18.846835,-21.544503
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582762560000,1582762860000,8732.500000,8695.019868,8747.492053,8695.019868,0.49747425,4344.193915,4344.193915,4325.548514,4334.871214,8669.742429,5.000000,9.978540,4972.106853,7.458160,14.992053,17.168111,0.150000,0.873713,18.645401,4.334871,0.000000,14.310529,2.500000,6,take_profit,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,32.920277,32.941737
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582765380000,1582765500000,8619.480000,8574.771715,8637.363314,8574.771715,0.41824609,3605.063775,3605.063775,3586.364710,3595.714242,7191.428485,5.000000,9.974066,4986.417383,7.479626,17.883314,20.747555,0.150000,0.722977,18.699065,3.595714,0.000000,15.103351,2.500000,3,take_profit,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,41.868889,41.894823
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582882860000,1582883160000,8664.630000,8627.686755,8679.407298,8627.686755,0.50768964,4398.942846,4398.942846,4380.187143,4389.564994,8779.129989,5.000000,9.978682,5001.520734,7.502281,14.777298,17.054736,0.150000,0.879521,18.755703,4.389565,0.000000,14.366138,2.500000,6,take_profit,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,32.636841,32.658160
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582890900000,1582890960000,8567.950000,8578.268635,8578.268635,8542.153413,0.72914977,6247.318782,6247.318782,6254.842613,6251.080697,12502.161395,5.000000,10.006022,5015.886872,7.523830,10.318635,12.043295,0.150000,1.245506,-7.523830,6.251081,0.000000,-13.774911,2.500000,2,stop_loss,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,20.108238,-22.049317
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582891320000,1582891740000,8570.190000,8540.900998,8581.905601,8540.900998,0.64044245,5488.713463,5488.713463,5469.955543,5479.334503,10958.669007,5.000000,9.982912,5002.111961,7.503168,11.715601,13.670176,0.150000,1.097279,18.757920,5.479335,0.000000,13.278585,2.500000,8,take_profit,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,24.175440,24.192528
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582892580000,1582892640000,8470.030000,8492.832817,8492.832817,8413.022958,0.32991914,2794.425049,2794.425049,2801.948135,2798.186592,5596.373184,5.000000,10.013461,5015.390546,7.523086,22.802817,26.921766,0.150000,0.557170,-7.523086,2.798187,0.000000,-10.321272,2.500000,2,stop_loss,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,57.304416,-36.935227
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1582983420000,1582983540000,8624.320000,8633.441840,8633.441840,8601.515399,0.82303609,7098.126589,7098.126589,7105.634193,7101.880391,14203.760781,5.000000,10.005288,5005.069273,7.507604,9.121840,10.576881,0.150000,1.418187,-7.507604,7.101880,0.000000,-14.609484,2.500000,3,stop_loss,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,16.442202,-20.582169
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,vwap_reclaim_short_v1,bearish,short,1583025000000,1583025360000,8538.780000,8550.440773,8550.440773,8509.628068,0.64195485,5481.511245,5481.511245,5488.996934,5485.254089,10970.508179,5.000000,10.006828,4990.459789,7.485690,11.660773,13.656252,0.150000,1.098398,-7.485690,5.485254,0.000000,-12.970944,2.500000,7,stop_loss,vwap_reclaim_short_v1_range_breakdown_retest,screening_bearish|confirmation_bearish|entry_ema_alignment_short|lookback_range_low_breakdown|bearish_retest_hold|below_vwap|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|confidence_ok,,24.140629,-23.663080
