key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:bearish_retest_hold,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:below_vwap,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:confidence_ok,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:confirmation_bearish,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:entry_ema_alignment_short,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:expected_net_edge_ok,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:expected_reward_ok,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:lookback_range_low_breakdown,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:reward_risk_ok,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:screening_bearish,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
passed:volume_ratio_ok,117,27,90,23.076923,-554.041746,-160.847098,393.194648,0.000000,-4.735400,51.553096,-15.118372,5.367521
