month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,1,0,1,0.000000,-7.500000,3.721983,0.000000,3.721983,-11.221983,0.000000,0.000000,-11.221983,-11.221983,1,2.500000,40.427178,-30.180957,-70.608134,10.010085,0,1,0,0
2020-02,4,2,2,50.000000,22.413342,11.138868,0.000000,11.138868,11.274474,2.492069,15.885859,-10.248622,2.818618,1,2.500000,58.485250,10.419609,-48.065641,9.989795,2,2,0,0
2020-03,9,2,7,22.222222,-15.065565,22.737530,0.000000,22.737530,-37.803095,0.712064,15.518901,-9.834414,-4.200344,4,2.500000,67.105762,-22.109004,-89.214766,10.006051,2,7,0,0
2020-04,3,0,3,0.000000,-22.284606,7.487687,0.000000,7.487687,-29.772293,0.000000,0.000000,-9.924098,-9.924098,3,2.500000,66.119033,-40.462837,-106.581870,10.015224,0,3,0,0
2022-05,6,3,3,50.000000,33.222365,14.763016,0.000000,14.763016,18.459349,2.494963,16.062835,-9.909719,3.076558,3,2.500000,67.726708,13.596544,-54.130164,9.988208,3,3,0,0
2022-06,16,4,12,25.000000,-14.973210,46.844243,0.000000,46.844243,-61.817453,0.831028,16.060829,-10.505064,-3.863591,7,2.500000,61.850662,-10.144206,-71.994868,10.000072,4,12,0,0
2022-07,3,1,2,33.333333,3.635868,7.604718,0.000000,7.604718,-3.968850,1.247366,15.114423,-9.541636,-1.322950,2,2.500000,64.898961,-13.463591,-78.362553,10.001731,1,2,0,0
2022-08,10,3,7,30.000000,3.567104,32.345528,0.000000,32.345528,-28.778424,1.069540,14.778113,-10.444680,-2.877842,5,2.500000,52.417607,-12.965737,-65.383344,10.001482,3,7,0,0
2022-09,14,0,14,0.000000,-100.478954,48.332548,0.000000,48.332548,-148.811502,0.000000,0.000000,-10.629393,-10.629393,14,2.500000,47.455120,-32.993539,-80.448659,10.011491,0,14,0,0
2022-10,6,0,6,0.000000,-42.110401,28.108694,0.000000,28.108694,-70.219096,0.000000,0.000000,-11.703183,-11.703183,6,2.500000,34.583002,-27.842117,-62.425119,10.008917,0,6,0,0
2022-11,11,3,8,27.272727,-3.643441,27.541128,0.000000,27.541128,-31.184570,0.934334,15.011279,-9.527301,-2.834961,4,2.500000,68.653565,-9.815886,-78.469451,9.999908,3,8,0,0
2022-12,3,1,2,33.333333,3.408334,14.286638,0.000000,14.286638,-10.878304,1.246621,13.010125,-11.944215,-3.626101,1,2.500000,26.481139,-5.569598,-32.050737,9.997786,1,2,0,0
2023-02,3,2,1,66.666667,27.567348,10.168321,0.000000,10.168321,17.399026,4.987131,13.508577,-9.618128,5.799675,1,2.500000,42.895742,13.038119,-29.857622,9.988487,2,1,0,0
2023-03,6,0,6,0.000000,-41.271514,21.963902,0.000000,21.963902,-63.235416,0.000000,0.000000,-10.539236,-10.539236,6,2.500000,40.699099,-30.289779,-70.988879,10.010140,0,6,0,0
2023-04,1,0,1,0.000000,-6.824163,2.489808,0.000000,2.489808,-9.313971,0.000000,0.000000,-9.313971,-9.313971,1,2.500000,58.614998,-37.459722,-96.074721,10.013723,0,1,0,0
2023-05,6,1,5,16.666667,-17.071807,23.673973,0.000000,23.673973,-40.745780,0.496349,12.904280,-10.730012,-6.790963,5,2.500000,37.014324,-18.817152,-55.831476,10.004406,1,5,0,0
2023-06,4,1,3,25.000000,-3.395192,21.912943,0.000000,21.912943,-25.308136,0.832173,10.750120,-12.019419,-6.327034,2,2.500000,23.314875,-13.657887,-36.972763,10.001828,1,3,0,0
2023-08,8,3,5,37.500000,16.657853,35.659355,0.000000,35.659355,-19.001502,1.496471,11.644284,-10.786871,-2.375188,3,2.500000,36.520826,-10.943218,-47.464044,10.000471,3,5,0,0
2023-09,3,1,2,33.333333,3.299544,12.413763,0.000000,12.413763,-9.114219,1.246801,12.753480,-10.933849,-3.038073,1,2.500000,31.560029,-6.797103,-38.357133,9.998399,1,2,0,0
