key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,226,102,124,45.132743,-148.990754,201.190871,350.181625,0.000000,-0.659251,72.155483,-8.963569,5.725664
passed:15m_trend_bullish,51,17,34,33.333333,-153.025283,-61.297878,91.727405,0.000000,-3.000496,54.373212,-17.658812,7.941176
passed:1m_ema_alignment_long,33,12,21,36.363636,-81.542298,-21.166448,60.375850,0.000000,-2.470979,53.159810,-14.344633,8.181818
passed:1m_ema_alignment_short,147,66,81,44.897959,-101.479513,121.804228,223.283741,0.000000,-0.690337,75.256783,-10.494705,6.061224
passed:5m_confirmation_bearish,226,102,124,45.132743,-148.990754,201.190871,350.181625,0.000000,-0.659251,72.155483,-8.963569,5.725664
passed:5m_confirmation_bullish,51,17,34,33.333333,-153.025283,-61.297878,91.727405,0.000000,-3.000496,54.373212,-17.658812,7.941176
passed:atr_bps_in_range,277,119,158,42.960289,-302.016037,139.892994,441.909030,0.000000,-1.090311,68.881491,-10.564498,6.133574
passed:close_reclaim_long,51,17,34,33.333333,-153.025283,-61.297878,91.727405,0.000000,-3.000496,54.373212,-17.658812,7.941176
passed:close_reclaim_short,226,102,124,45.132743,-148.990754,201.190871,350.181625,0.000000,-0.659251,72.155483,-8.963569,5.725664
passed:confidence_ok,277,119,158,42.960289,-302.016037,139.892994,441.909030,0.000000,-1.090311,68.881491,-10.564498,6.133574
passed:direction_enabled,277,119,158,42.960289,-302.016037,139.892994,441.909030,0.000000,-1.090311,68.881491,-10.564498,6.133574
passed:expected_net_edge_ok,277,119,158,42.960289,-302.016037,139.892994,441.909030,0.000000,-1.090311,68.881491,-10.564498,6.133574
passed:expected_reward_ok,277,119,158,42.960289,-302.016037,139.892994,441.909030,0.000000,-1.090311,68.881491,-10.564498,6.133574
passed:pullback_near_ema21,276,119,157,43.115942,-293.152768,146.963725,440.116492,0.000000,-1.062148,68.953338,-10.423978,6.152174
passed:pullback_near_vwap,1,0,1,0.000000,-8.863269,-7.070731,1.792538,0.000000,-8.863269,49.051587,-49.348041,1.000000
passed:reward_risk_ok,277,119,158,42.960289,-302.016037,139.892994,441.909030,0.000000,-1.090311,68.881491,-10.564498,6.133574
passed:volume_ratio_ok,277,119,158,42.960289,-302.016037,139.892994,441.909030,0.000000,-1.090311,68.881491,-10.564498,6.133574
