trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578442560000,1578443340000,780000,8280.170000,8335.685774,8243.159484,8335.685774,0.202645,11.250000,1.683561,0.000000,1.683561,9.566439,1.500000,14,take_profit,57.046659,57.013136,-0.033523,10.033523,0.000000,10.033523,57.013136,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1583997540000,1584000540000,3000000,7413.290000,7359.838719,7448.924188,7359.838719,0.210875,11.271524,1.557640,0.000000,1.557640,9.713885,1.500000,51,take_profit,62.101970,62.138021,0.036051,9.963949,0.000000,9.963949,62.138021,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584012420000,1584013260000,840000,6225.260000,6019.251262,6362.599159,6019.251262,0.054820,11.293381,0.335622,0.000000,0.335622,10.957759,1.500000,15,take_profit,320.923911,321.089373,0.165462,9.834538,0.000000,9.834538,321.089373,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584014040000,1584014520000,480000,5974.240000,6091.901300,6091.901300,5797.748050,0.064128,-7.545357,0.386887,0.000000,0.386887,-7.932245,1.500000,9,stop_loss,285.421594,-207.046203,-492.467797,10.098474,0.000000,10.098474,-207.046203,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584019380000,1584019860000,480000,5995.980000,5937.241409,6035.139061,5937.241409,0.192381,11.300188,1.147862,0.000000,1.147862,10.152326,1.500000,9,take_profit,87.963288,88.012269,0.048982,9.951018,0.000000,9.951018,88.012269,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584043320000,1584043320000,0,6030.000000,5991.066923,6055.955385,5991.066923,0.290833,11.323031,1.748063,0.000000,1.748063,9.574968,1.500000,1,take_profit,54.565633,54.597916,0.032283,9.967717,0.000000,9.967717,54.597916,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584045120000,1584045420000,300000,5866.770000,5906.849220,5906.849220,5806.651170,0.188703,-7.563050,1.110856,0.000000,1.110856,-8.673905,1.500000,6,stop_loss,92.473473,-78.349806,-170.823279,10.034158,0.000000,10.034158,-78.349806,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584046860000,1584046860000,0,5670.790000,5743.118088,5743.118088,5562.297868,0.104386,-7.550039,0.595726,0.000000,0.595726,-8.145765,1.500000,1,stop_loss,181.317491,-137.608767,-318.926258,10.063772,0.000000,10.063772,-137.608767,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584049080000,1584049740000,660000,5630.850000,5675.220622,5675.220622,5564.294067,0.169883,-7.537820,0.960355,0.000000,0.960355,-8.498176,1.500000,12,stop_loss,108.198732,-88.838554,-197.037286,10.039400,0.000000,10.039400,-88.838554,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584059520000,1584059580000,60000,4680.070000,4760.876691,4760.876691,4558.859963,0.093124,-7.525073,0.439591,0.000000,0.439591,-7.964664,1.500000,2,stop_loss,248.991932,-182.747618,-431.739550,10.086331,0.000000,10.086331,-182.747618,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000B,SIG-BT-0000000B,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584059820000,1584060240000,420000,4683.920000,4575.735712,4756.042859,4575.735712,0.104171,11.269689,0.482295,0.000000,0.482295,10.787394,1.500000,8,take_profit,220.969547,221.085032,0.115485,9.884515,0.000000,9.884515,221.085032,15m_trend_bearish|5m_confirmation_bearish|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000C,SIG-BT-0000000C,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584062100000,1584062100000,0,4542.470000,4596.053018,4596.053018,4462.095473,0.140517,-7.529307,0.642057,0.000000,0.642057,-8.171364,1.500000,1,stop_loss,166.940139,-128.019073,-294.959211,10.058980,0.000000,10.058980,-128.019073,15m_trend_bearish|5m_confirmation_bearish|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000D,SIG-BT-0000000D,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584063060000,1584063120000,60000,4533.070000,4576.978815,4576.978815,4467.206778,0.171197,-7.517050,0.779806,0.000000,0.779806,-8.296856,1.500000,2,stop_loss,135.294960,-106.911738,-242.206698,10.048432,0.000000,10.048432,-106.911738,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000E,SIG-BT-0000000E,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584063540000,1584063600000,60000,4538.750000,4582.339386,4582.339386,4473.365921,0.172166,-7.504605,0.785170,0.000000,0.785170,-8.289775,1.500000,2,stop_loss,134.057458,-106.086325,-240.143783,10.048019,0.000000,10.048019,-106.086325,15m_trend_bearish|5m_confirmation_bearish|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000F,SIG-BT-0000000F,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584115440000,1584115860000,420000,5111.120000,5187.838247,5187.838247,4996.042629,0.097658,-7.492170,0.502889,0.000000,0.502889,-7.995059,1.500000,8,stop_loss,215.150986,-160.175708,-375.326694,10.075050,0.000000,10.075050,-160.175708,15m_trend_bearish|5m_confirmation_bearish|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
