month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,1,0,1,0.000000,-7.500000,1.302293,0.000000,1.302293,-8.802293,0.000000,0.000000,-8.802293,-8.802293,1,2.200000,116.335805,-67.396653,-183.732458,9.971287,0,1,0,0
2020-03,9,3,6,33.333333,4.386415,8.123265,0.000000,8.123265,-3.736850,1.097406,15.609205,-8.427411,-0.415206,4,2.200000,219.802553,-5.368876,-225.171428,9.988629,3,6,0,0
2020-04,2,0,2,0.000000,-14.949516,2.200151,0.000000,2.200151,-17.149666,0.000000,0.000000,-8.574833,-8.574833,2,2.200000,138.980419,-77.684513,-216.664932,9.966141,0,2,0,0
2020-05,2,0,2,0.000000,-14.898878,1.871685,0.000000,1.871685,-16.770563,0.000000,0.000000,-8.385281,-8.385281,2,2.200000,195.584536,-103.494240,-299.078776,10.046724,0,2,0,0
2020-09,1,1,0,100.000000,16.346684,1.280190,0.000000,1.280190,15.066494,inf,15.066494,0.000000,15.066494,0,2.200000,116.879439,116.942879,0.063440,9.936560,1,0,0,0
2020-11,3,0,3,0.000000,-22.320107,3.575687,0.000000,3.575687,-25.895794,0.000000,0.000000,-8.631931,-8.631931,3,2.200000,127.683507,-72.552121,-200.235627,9.968708,0,3,0,0
2020-12,2,1,1,50.000000,8.874202,2.391929,0.000000,2.391929,6.482273,2.193291,15.118982,-8.636709,3.241136,1,2.200000,126.853377,27.981073,-98.872304,10.019000,1,1,0,0
2021-01,6,1,5,16.666667,-20.776538,7.075378,0.000000,7.075378,-27.851916,0.439700,15.089900,-8.588363,-4.641986,4,2.200000,129.118636,-40.470179,-169.588815,9.995180,1,5,0,0
2021-02,6,2,4,33.333333,2.878166,6.396180,0.000000,6.396180,-3.518015,1.097423,14.915092,-8.337050,-0.586336,2,2.200000,149.517470,-21.752126,-171.269595,9.985479,2,4,0,0
2021-03,2,0,2,0.000000,-14.740727,2.262136,0.000000,2.262136,-17.002863,0.000000,0.000000,-8.501432,-8.501432,2,2.200000,133.843839,-75.416255,-209.260094,10.032692,0,2,0,0
2021-04,4,2,2,50.000000,17.603965,3.874213,0.000000,3.874213,13.729753,2.194661,15.307144,-8.442267,3.432438,1,2.200000,160.363649,48.290564,-112.073085,9.970869,2,2,0,0
2021-05,18,10,8,55.555556,103.798497,18.015571,0.000000,18.015571,85.782925,2.742113,15.388558,-8.512832,4.765718,3,2.200000,159.753491,56.597771,-103.155720,9.966718,10,8,0,0
2021-06,10,2,8,20.000000,-27.017511,10.147374,0.000000,10.147374,-37.164885,0.547925,15.353559,-8.484000,-3.716489,4,2.200000,156.910092,-38.196325,-195.106417,10.014091,2,8,0,0
2021-07,1,0,1,0.000000,-7.444753,1.332249,0.000000,1.332249,-8.777001,0.000000,0.000000,-8.777001,-8.777001,1,2.200000,112.595907,-65.697549,-178.293456,9.972137,0,1,0,0
2021-08,1,0,1,0.000000,-7.431587,1.301047,0.000000,1.301047,-8.732635,0.000000,0.000000,-8.732635,-8.732635,1,2.200000,115.306199,-66.928885,-182.235084,9.971521,0,1,0,0
2021-09,1,1,0,100.000000,16.320675,1.141842,0.000000,1.141842,15.178833,inf,15.178833,0.000000,15.178833,0,2.200000,131.918621,131.989581,0.070959,9.929041,1,0,0,0
2021-10,1,1,0,100.000000,16.370765,1.347234,0.000000,1.347234,15.023531,inf,15.023531,0.000000,15.023531,0,2.200000,112.256715,112.195587,-0.061128,10.061128,1,0,0,0
2021-11,1,0,1,0.000000,-7.463792,1.368977,0.000000,1.368977,-8.832769,0.000000,0.000000,-8.832769,-8.832769,1,2.200000,110.273981,-64.697327,-174.971308,10.027335,0,1,0,0
2021-12,1,0,1,0.000000,-7.450543,1.064016,0.000000,1.064016,-8.514559,0.000000,0.000000,-8.514559,-8.514559,1,2.200000,144.591471,-80.303985,-224.895456,10.035134,0,1,0,0
2022-01,4,2,2,50.000000,17.816068,3.908028,0.000000,3.908028,13.908040,2.193174,15.441874,-8.487854,3.477010,1,2.200000,166.277948,40.021666,-126.256283,9.975002,2,2,0,0
2022-02,1,0,1,0.000000,-7.458633,1.076231,0.000000,1.076231,-8.534864,0.000000,0.000000,-8.534864,-8.534864,1,2.200000,142.997324,-79.579010,-222.576334,10.034772,0,1,0,0
2022-03,1,0,1,0.000000,-7.445831,0.975993,0.000000,0.975993,-8.421824,0.000000,0.000000,-8.421824,-8.421824,1,2.200000,157.199727,-85.961876,-243.161603,9.962000,0,1,0,0
2022-05,3,1,2,33.333333,1.443264,3.370551,0.000000,3.370551,-1.927287,1.097165,15.063710,-8.495499,-0.642429,2,2.200000,136.183035,-12.798019,-148.981054,10.001398,1,2,0,0
2022-06,3,0,3,0.000000,-22.253786,3.105550,0.000000,3.105550,-25.359337,0.000000,0.000000,-8.453112,-8.453112,3,2.200000,158.823281,-86.776224,-245.599505,10.038369,0,3,0,0
2022-11,2,1,1,50.000000,15.518122,1.966374,0.000000,1.966374,13.551748,21.959876,14.913870,-1.362122,6.775874,1,2.200000,180.956129,44.163632,-136.792497,9.972932,1,0,1,0
2023-02,1,1,0,100.000000,8.184197,1.212518,0.000000,1.212518,6.971679,inf,6.971679,0.000000,6.971679,0,2.200000,124.950044,57.692244,-67.257800,10.033863,0,0,1,0
