trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1578450900000,1578452100000,1200000,8366.110000,8318.067307,8318.067307,8471.803924,0.156111,-7.500000,1.302293,0.000000,1.302293,-8.802293,2.200000,5,stop_loss,116.335805,-67.396653,-183.732458,9.971287,0.000000,9.971287,-67.396653,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1583756400000,1583756700000,300000,7803.930000,7846.583816,7846.583816,7710.091604,0.175525,-7.486797,1.373526,0.000000,1.373526,-8.860322,2.200000,2,stop_loss,110.245051,-64.684170,-174.929221,10.027328,0.000000,10.027328,-64.684170,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1583762400000,1583766300000,3900000,7807.870000,7705.355595,7854.467457,7705.355595,0.160384,16.441713,1.244040,0.000000,1.244040,15.197674,2.200000,14,take_profit,121.296249,121.361897,0.065648,9.934352,0.000000,9.934352,121.361897,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1583766900000,1583769300000,2400000,7720.560000,7764.806529,7764.806529,7623.217636,0.169421,-7.496303,1.311775,0.000000,1.311775,-8.808078,2.200000,9,stop_loss,116.081999,-67.338654,-183.420653,10.028655,0.000000,10.028655,-67.338654,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584043200000,1584044100000,900000,6033.250000,5923.812013,6082.994540,5923.812013,0.150430,16.462799,0.899353,0.000000,0.899353,15.563446,2.200000,4,take_profit,171.391435,171.482130,0.090696,9.909304,0.000000,9.909304,171.482130,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584054300000,1584054600000,300000,5703.160000,5496.582008,5797.059087,5496.582008,0.079942,16.514158,0.447662,0.000000,0.447662,16.066496,2.200000,2,take_profit,352.216721,352.397830,0.181108,9.818892,0.000000,9.818892,352.397830,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584128100000,1584128100000,0,4910.580000,5031.472797,5031.472797,4644.615848,0.062291,-7.530535,0.309650,0.000000,0.309650,-7.840186,2.200000,1,stop_loss,531.614539,-256.311521,-787.926061,10.123094,0.000000,10.123094,-256.311521,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584199800000,1584200700000,900000,5313.550000,5354.884122,5354.884122,5222.614932,0.181902,-7.518775,0.970307,0.000000,0.970307,-8.489082,2.200000,4,stop_loss,161.138068,-87.828926,-248.966994,10.038895,0.000000,10.038895,-87.828926,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-03,BTCUSDT,ema_trend_pullback_v1,bearish,short,1584397800000,1584398100000,300000,4861.810000,4918.125861,4918.125861,4737.915107,0.133285,-7.506041,0.651758,0.000000,0.651758,-8.157799,2.200000,2,stop_loss,244.832857,-125.891034,-370.723891,10.057917,0.000000,10.057917,-125.891034,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2020-03,BTCUSDT,ema_trend_pullback_v1,bullish,long,1584720300000,1584720300000,0,6642.760000,6588.589484,6588.589484,6761.935136,0.138337,-7.493805,0.915195,0.000000,0.915195,-8.409000,2.200000,1,stop_loss,169.406054,-91.507432,-260.913487,9.959226,0.000000,9.959226,-91.507432,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
