month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,2,0,2,0.000000,-14.987219,2.704567,0.000000,2.704567,-17.691787,0.000000,0.000000,-8.845893,-8.845893,2,2.339316,123.660158,-69.193068,-192.853226,10.029582,0,2,0,0
2020-03,2,1,1,50.000000,4.605884,5.777929,0.000000,5.777929,-1.172045,1.615100,9.706995,-10.879040,-0.586023,1,2.160749,45.277642,4.326740,-40.950902,10.018226,1,1,0,0
2020-04,1,0,1,0.000000,-7.471704,1.218347,0.000000,1.218347,-8.690051,0.000000,0.000000,-8.690051,-8.690051,1,3.191296,185.112957,-71.108521,-256.221478,9.969430,0,1,0,0
2021-06,1,0,1,0.000000,-7.458669,0.404392,0.000000,0.404392,-7.863061,0.000000,0.000000,-7.863061,-7.863061,1,2.606593,475.239381,-196.251553,-671.490934,10.093079,0,1,0,0
2022-02,1,0,1,0.000000,-7.446875,0.659587,0.000000,0.659587,-8.106461,0.000000,0.000000,-8.106461,-8.106461,1,2.153276,234.489663,-123.599895,-358.089558,10.056772,0,1,0,0
2022-05,2,1,1,50.000000,7.568471,1.926240,0.000000,1.926240,5.642231,2.017991,14.349521,-8.707290,2.821115,1,1.762542,150.143507,76.724871,-73.418636,10.072696,1,1,0,0
2022-06,1,0,1,0.000000,-7.443178,1.424907,0.000000,1.424907,-8.868085,0.000000,0.000000,-8.868085,-8.868085,1,1.855035,86.647629,-62.074115,-148.721744,9.973950,0,1,0,0
2023-03,6,5,1,83.333333,69.271861,11.769750,0.000000,11.769750,57.502110,10.267966,13.452584,-9.760811,9.583685,1,2.605551,98.399399,65.792821,-32.606579,10.037915,4,1,1,0
2023-04,6,1,5,16.666667,-23.359741,13.894879,0.000000,13.894879,-37.254620,0.376009,11.867088,-9.824342,-6.209103,5,2.387038,71.117656,-29.116728,-100.234383,9.990437,1,5,0,0
2023-05,2,0,2,0.000000,-14.904747,6.962738,0.000000,6.962738,-21.867484,0.000000,0.000000,-10.933742,-10.933742,2,2.747293,48.319645,-31.726682,-80.046327,9.989131,0,2,0,0
2023-07,1,0,1,0.000000,-7.427446,1.326197,0.000000,1.326197,-8.753643,0.000000,0.000000,-8.753643,-8.753643,1,3.278770,174.145185,-66.190969,-240.336153,10.028081,0,1,0,0
2023-08,1,1,0,100.000000,14.837992,2.880233,0.000000,2.880233,11.957759,inf,11.957759,0.000000,11.957759,0,2.001263,41.384275,41.409967,0.025692,9.974308,1,0,0,0
2023-09,1,0,1,0.000000,-7.432252,1.504617,0.000000,1.504617,-8.936869,0.000000,0.000000,-8.936869,-8.936869,1,1.722146,74.858109,-59.249982,-134.108091,9.975363,0,1,0,0
2023-10,1,1,0,100.000000,14.663565,1.742311,0.000000,1.742311,12.921253,inf,12.921253,0.000000,12.921253,0,1.976529,74.517216,74.474957,-0.042259,10.042259,1,0,0,0
