strategy_id,timeframe,profile,total_trades,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,profit_factor,expectancy,max_drawdown,max_consecutive_losses,reports_dir
screened_vwap_scalp_v2,1m,edge50_rr15_cd4,63,44.444444,-47.526993,53.751184,101.278177,0.0,0.848011,-0.754397,1.89405,7,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_1m_edge50_rr15_cd4
screened_vwap_scalp_v2,1m,edge80_rr18_cd8,21,33.333333,-33.079569,-8.286529,24.79304,0.0,0.720169,-1.575218,1.692687,6,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_1m_edge80_rr18_cd8
screened_vwap_scalp_v2,1m,edge120_rr20_cd12,9,11.111111,-52.968439,-43.353772,9.614667,0.0,0.22099,-5.885382,1.059369,6,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_1m_edge120_rr20_cd12
screened_vwap_scalp_v2,5m,edge50_rr15_cd4,213,35.680751,-515.341906,-168.245566,347.09634,0.0,0.568199,-2.419446,10.479635,15,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_5m_edge50_rr15_cd4
screened_vwap_scalp_v2,5m,edge80_rr18_cd8,58,31.034483,-131.358552,-56.365674,74.992878,0.0,0.624382,-2.264803,3.194157,10,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_5m_edge80_rr18_cd8
screened_vwap_scalp_v2,5m,edge120_rr20_cd12,26,26.923077,-54.408717,-27.023101,27.385617,0.0,0.665257,-2.092643,1.951478,10,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_5m_edge120_rr20_cd12
screened_vwap_scalp_v2,15m,edge50_rr15_cd4,350,39.428571,-546.130211,-46.26845,499.86176,0.0,0.693322,-1.560372,11.294718,14,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_15m_edge50_rr15_cd4
screened_vwap_scalp_v2,15m,edge80_rr18_cd8,130,40.0,-49.639357,119.826883,169.46624,0.0,0.925925,-0.381841,3.009185,11,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_15m_edge80_rr18_cd8
screened_vwap_scalp_v2,15m,edge120_rr20_cd12,58,27.586207,-135.730822,-72.372661,63.358161,0.0,0.618154,-2.340187,3.511595,15,reports/btc_edge_filter_retune/screened_vwap_scalp_v2_15m_edge120_rr20_cd12
ema_trend_pullback_v1,1m,edge50_rr15_cd4,277,42.960289,-302.016037,139.892994,441.90903,0.0,0.783783,-1.090311,7.007826,10,reports/btc_edge_filter_retune/ema_trend_pullback_v1_1m_edge50_rr15_cd4
