key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:confidence_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:confirmation_bearish_or_allowed_neutral,81,34,47,41.975309,-85.122291,20.690325,105.812617,0.000000,-1.050892,84.317338,-1.926383,3.666667
passed:confirmation_bullish_or_allowed_neutral,269,104,165,38.661710,-461.007919,-66.958775,394.049144,0.000000,-1.713784,68.034003,-15.400146,4.375465
passed:direction_enabled,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:expected_net_edge_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:expected_reward_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:momentum_trigger_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:near_vwap_or_ema21,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:screening_bearish,81,34,47,41.975309,-85.122291,20.690325,105.812617,0.000000,-1.050892,84.317338,-1.926383,3.666667
passed:screening_bullish,269,104,165,38.661710,-461.007919,-66.958775,394.049144,0.000000,-1.713784,68.034003,-15.400146,4.375465
passed:trigger_body_atr_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:trigger_body_ratio_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:trigger_close_location_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
passed:volume_ratio_ok,350,138,212,39.428571,-546.130211,-46.268450,499.861760,0.000000,-1.560372,71.802432,-12.281932,4.211429
