month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,12,6,6,50.000000,22.340404,19.960914,0.000000,19.960914,2.379490,1.497405,9.415866,-9.019284,0.198291,3,1.500000,60.113859,-3.526080,-63.639939,10.003239,6,6,0,0
2020-02,7,1,6,14.285714,-33.637834,12.758710,0.000000,12.758710,-46.396545,0.250714,9.326683,-9.287205,-6.628078,6,1.500000,55.280909,-39.586849,-94.867758,10.001689,1,6,0,0
2020-03,11,2,9,18.181818,-44.443972,15.302855,0.000000,15.302855,-59.746827,0.331091,10.221535,-8.909989,-5.431530,8,1.500000,93.830288,-26.376622,-120.206910,10.008184,2,9,0,0
2020-04,2,0,2,0.000000,-14.675963,1.765869,0.000000,1.765869,-16.441831,0.000000,0.000000,-8.220916,-8.220916,2,1.500000,127.092010,-101.380933,-228.472943,9.986259,0,2,0,0
2020-05,11,4,7,36.363636,-7.390090,14.992930,0.000000,14.992930,-22.383020,0.855565,9.382496,-8.559000,-2.034820,3,1.500000,73.772322,-20.691444,-94.463766,9.994652,4,7,0,0
2020-06,1,0,1,0.000000,-7.286117,1.782032,0.000000,1.782032,-9.068149,0.000000,0.000000,-9.068149,-9.068149,1,1.500000,51.204738,-50.782757,-101.987495,9.979598,0,1,0,0
2020-07,4,3,1,75.000000,25.475708,5.371288,0.000000,5.371288,20.104420,4.482235,9.642741,-8.823804,5.026105,1,1.500000,79.346629,49.067163,-30.279466,10.029548,3,1,0,0
2020-08,2,1,1,50.000000,3.637999,3.681750,0.000000,3.681750,-0.043751,1.497266,8.891161,-8.934912,-0.021875,1,1.500000,50.438331,-5.925262,-56.363593,10.002038,1,1,0,0
2020-10,4,3,1,75.000000,25.572399,7.485759,0.000000,7.485759,18.086640,4.489175,8.957541,-8.785985,4.521660,1,1.500000,50.254931,18.878538,-31.376392,10.014446,3,1,0,0
2020-11,12,5,7,41.666667,3.552334,18.204815,0.000000,18.204815,-14.652480,1.069309,9.385981,-8.797483,-1.221040,3,1.500000,65.190661,-10.352933,-75.543594,9.999823,5,7,0,0
2020-12,23,7,16,30.434783,-40.130918,34.024167,0.000000,34.024167,-74.155085,0.653846,9.341076,-8.721413,-3.224134,6,1.500000,70.249682,-25.847559,-96.097241,9.992072,7,16,0,0
2021-01,13,3,10,23.076923,-39.458612,12.658577,0.000000,12.658577,-52.117189,0.449115,9.725010,-8.129222,-4.009015,6,1.500000,109.557582,-46.256100,-155.813681,9.981863,3,10,0,0
2021-02,22,7,15,31.818182,-32.038649,23.747913,0.000000,23.747913,-55.786561,0.698239,9.391330,-8.101725,-2.535753,10,1.500000,90.577895,-29.093253,-119.671148,9.990449,7,15,0,0
2021-03,17,7,10,41.176471,3.304704,21.415009,0.000000,21.415009,-18.110306,1.047155,9.097686,-8.179411,-1.065312,4,1.500000,78.624166,-14.385155,-93.009320,9.997806,7,10,0,0
2021-04,9,5,4,55.555556,24.505295,15.512534,0.000000,15.512534,8.992761,1.870600,8.740096,-8.676930,0.999196,2,1.500000,52.783835,3.721214,-49.062621,10.006864,5,4,0,0
2021-05,4,1,3,25.000000,-10.541622,4.232522,0.000000,4.232522,-14.774143,0.499322,9.526532,-8.100225,-3.693536,2,1.500000,90.658593,-32.454405,-123.112997,9.988767,1,3,0,0
