trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578491100000,1578492000000,8411.380000,8362.593334,8362.593334,8484.560000,0.15373053,1293.085891,1293.085891,1285.585891,1289.335891,2578.671783,5.000000,9.971000,5000.000000,7.500000,48.786666,58.000787,0.150000,0.258617,-7.500000,1.289336,0.000000,-8.789336,1.500000,2,stop_loss,"bullish momentum follow-through, body_ratio=0.79, body_atr=1.96, close_location=0.84, reclaim_distance_atr=0.00, volume_ratio=4.43, atr_bps=58.0",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,77.001181,-67.971787
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578680100000,1578682800000,8043.500000,7983.676375,7983.676375,8133.235438,0.12514815,1006.629141,1006.629141,999.142325,1002.885733,2005.771467,5.000000,9.962812,4991.210664,7.486816,59.823625,74.375117,0.150000,0.201680,-7.486816,1.002886,0.000000,-8.489702,1.500000,4,stop_loss,"bullish momentum follow-through, body_ratio=0.85, body_atr=1.30, close_location=0.85, reclaim_distance_atr=0.11, volume_ratio=1.40, atr_bps=74.4",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,101.562675,-84.337929
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578779100000,1578779100000,8284.170000,8250.077974,8250.077974,8335.308039,0.21923254,1816.159635,1816.159635,1808.685553,1812.422594,3624.845188,5.000000,9.979423,4982.720962,7.474081,34.092026,41.153219,0.150000,0.364492,-7.474081,1.812423,0.000000,-9.286504,1.500000,1,stop_loss,"bullish momentum follow-through, body_ratio=0.99, body_atr=3.54, close_location=0.99, reclaim_distance_atr=0.00, volume_ratio=3.23, atr_bps=41.2",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,51.729828,-51.132642
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579082400000,1579093200000,8759.990000,8825.616392,8716.239072,8825.616392,0.17051414,1493.702119,1493.702119,1504.892347,1499.297233,2998.594466,5.000000,10.037458,4973.434458,7.460152,43.750928,49.944039,0.150000,0.300336,11.190228,1.499297,0.000000,9.690930,1.500000,13,take_profit,"bullish momentum follow-through, body_ratio=0.71, body_atr=1.84, close_location=0.75, reclaim_distance_atr=0.00, volume_ratio=2.66, atr_bps=49.9",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,64.916058,64.878600
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579175100000,1579176000000,8707.700000,8763.489141,8670.507240,8763.489141,0.20097159,1750.000288,1750.000288,1761.212320,1755.606304,3511.212608,5.000000,10.032034,4983.125389,7.474688,37.192760,42.712496,0.150000,0.351185,11.212032,1.755606,0.000000,9.456426,1.500000,2,take_profit,"bullish momentum follow-through, body_ratio=0.61, body_atr=1.18, close_location=0.70, reclaim_distance_atr=0.00, volume_ratio=2.31, atr_bps=42.7",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,54.068744,54.036710
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579286700000,1579289400000,8936.390000,8896.362908,8896.362908,8996.430638,0.18709510,1671.954778,1671.954778,1664.465905,1668.210341,3336.420683,5.000000,9.977604,4992.581814,7.488873,40.027092,44.791120,0.150000,0.334888,-7.488873,1.668210,0.000000,-9.157083,1.500000,4,stop_loss,"bullish momentum follow-through, body_ratio=0.55, body_atr=0.79, close_location=0.84, reclaim_distance_atr=0.06, volume_ratio=1.35, atr_bps=44.8",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,57.186680,-54.768725
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579308300000,1579311000000,8971.730000,8931.785934,8931.785934,9031.646099,0.18714011,1678.970577,1678.970577,1671.495440,1675.233009,3350.466017,5.000000,9.977739,4983.424731,7.475137,39.944066,44.522145,0.150000,0.336911,-7.475137,1.675233,0.000000,-9.150370,1.500000,4,stop_loss,"bullish momentum follow-through, body_ratio=0.72, body_atr=0.93, close_location=0.80, reclaim_distance_atr=0.13, volume_ratio=1.72, atr_bps=44.5",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,56.783217,-54.499884
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1580126400000,1580131800000,8737.240000,8783.959197,8706.093868,8783.959197,0.23956142,2093.105627,2093.105627,2104.297744,2098.701686,4197.403371,5.000000,10.026736,4974.274361,7.461412,31.146132,35.647563,0.150000,0.420786,11.192117,2.098702,0.000000,9.093416,1.500000,7,take_profit,"bullish momentum follow-through, body_ratio=0.76, body_atr=2.69, close_location=0.76, reclaim_distance_atr=0.06, volume_ratio=6.01, atr_bps=35.6",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,43.471345,43.444609
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1580151600000,1580152500000,8886.240000,8939.064311,8851.023793,8939.064311,0.21226169,1886.208310,1886.208310,1897.420888,1891.814599,3783.629198,5.000000,10.029723,4983.367777,7.475052,35.216207,39.630043,0.150000,0.378501,11.212577,1.891815,0.000000,9.320763,1.500000,2,take_profit,"bullish momentum follow-through, body_ratio=0.87, body_atr=2.71, close_location=0.96, reclaim_distance_atr=0.15, volume_ratio=3.00, atr_bps=39.6",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,49.445065,49.415342
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1580210100000,1580212800000,9080.370000,9041.675117,9041.675117,9138.412324,0.19354065,1757.420714,1757.420714,1749.931681,1753.676197,3507.352395,5.000000,9.978693,4992.688540,7.489033,38.694883,42.613773,0.150000,0.351999,-7.489033,1.753676,0.000000,-9.242709,1.500000,4,stop_loss,"bullish momentum follow-through, body_ratio=0.92, body_atr=1.39, close_location=0.98, reclaim_distance_atr=0.00, volume_ratio=1.20, atr_bps=42.6",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,53.920660,-52.592467
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1580242500000,1580251500000,9076.490000,9145.198120,9030.684586,9145.198120,0.16319400,1481.228727,1481.228727,1492.441480,1486.835103,2973.670206,5.000000,10.037849,4983.445831,7.475169,45.805414,50.465999,0.150000,0.297230,11.212753,1.486835,0.000000,9.725918,1.500000,11,take_profit,"bullish momentum follow-through, body_ratio=0.88, body_atr=1.27, close_location=0.89, reclaim_distance_atr=0.00, volume_ratio=1.56, atr_bps=50.5",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,65.698999,65.661149
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1580357700000,1580369400000,9343.570000,9395.503294,9308.947804,9395.503294,0.21632821,2021.277744,2021.277744,2032.512381,2026.895062,4053.790125,5.000000,10.027791,4993.171749,7.489758,34.622196,37.054569,0.150000,0.404808,11.234636,2.026895,0.000000,9.207741,1.500000,14,take_profit,"bullish momentum follow-through, body_ratio=0.85, body_atr=1.55, close_location=0.90, reclaim_distance_atr=0.00, volume_ratio=1.68, atr_bps=37.1",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,45.581854,45.554063
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1580693400000,1580693400000,9455.560000,9510.902328,9418.665115,9510.902328,0.20337695,1923.042960,1923.042960,1934.298314,1928.670637,3857.341275,5.000000,10.029264,5002.379490,7.503569,36.894885,39.019249,0.150000,0.384426,11.255354,1.928671,0.000000,9.326683,1.500000,1,take_profit,"bullish momentum follow-through, body_ratio=0.73, body_atr=1.22, close_location=0.76, reclaim_distance_atr=0.00, volume_ratio=1.51, atr_bps=39.0",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,48.528874,48.499609
TRD-SIG-BT-00000014,SIG-BT-00000014,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1580971500000,1580972400000,9682.340000,9647.546123,9647.546123,9734.530816,0.21605983,2091.964763,2091.964763,2084.447204,2088.205984,4176.411967,5.000000,9.982032,5011.706173,7.517559,34.793877,35.935401,0.150000,0.417416,-7.517559,2.088206,0.000000,-9.605765,1.500000,2,stop_loss,"bullish momentum follow-through, body_ratio=0.62, body_atr=1.08, close_location=0.91, reclaim_distance_atr=0.00, volume_ratio=1.28, atr_bps=35.9",screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,43.903101,-45.917433
