trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578413700000,1578414600000,900000,7861.560000,7902.961818,7833.958788,7902.961818,0.271727,11.250000,2.141825,0.000000,2.141825,9.108175,1.500000,4,take_profit,42.663617,42.637285,-0.026332,10.026332,0.000000,10.026332,42.637285,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.64, body_atr=1.09, close_location=0.88, reclaim_distance_atr=0.00, volume_ratio=2.07, atr_bps=35.1"
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578490500000,1578492300000,1800000,8384.620000,8350.274312,8350.274312,8436.138533,0.218766,-7.513662,1.830511,0.000000,1.830511,-9.344174,1.500000,7,stop_loss,51.444088,-50.942244,-102.386332,9.979519,0.000000,9.979519,-50.942244,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.70, body_atr=2.10, close_location=0.77, reclaim_distance_atr=0.00, volume_ratio=4.54, atr_bps=41.0"
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579021200000,1579021200000,0,8684.810000,8756.830002,8636.796665,8756.830002,0.156199,11.249469,1.362185,0.000000,1.362185,9.887284,1.500000,1,take_profit,72.926399,72.884936,-0.041463,10.041463,0.000000,10.041463,72.884936,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.74, body_atr=1.24, close_location=0.85, reclaim_distance_atr=0.00, volume_ratio=1.40, atr_bps=55.3"
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579047300000,1579048500000,1200000,8856.240000,8809.679765,8809.679765,8926.080353,0.161393,-7.514477,1.425574,0.000000,1.425574,-8.940051,1.500000,5,stop_loss,68.860050,-62.547080,-131.407130,9.973713,0.000000,9.973713,-62.547080,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.77, body_atr=1.40, close_location=0.87, reclaim_distance_atr=0.00, volume_ratio=1.66, atr_bps=52.6"
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579054200000,1579057500000,3300000,8826.480000,8788.522199,8788.522199,8883.416702,0.197616,-7.501067,1.740503,0.000000,1.740503,-9.241570,1.500000,12,stop_loss,54.506691,-52.982959,-107.489650,9.978498,0.000000,9.978498,-52.982959,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.86, body_atr=1.16, close_location=0.89, reclaim_distance_atr=0.00, volume_ratio=1.29, atr_bps=43.0"
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579098300000,1579100400000,2100000,8860.000000,8818.840939,8818.840939,8921.738592,0.181909,-7.487204,1.607970,0.000000,1.607970,-9.095175,1.500000,8,stop_loss,59.682383,-56.431695,-116.114078,9.976773,0.000000,9.976773,-56.431695,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.91, body_atr=1.12, close_location=0.91, reclaim_distance_atr=0.00, volume_ratio=1.43, atr_bps=46.5"
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579248900000,1579249800000,900000,8985.000000,8950.884288,8950.884288,9036.173567,0.219065,-7.473562,1.964563,0.000000,1.964563,-9.438125,1.500000,4,stop_loss,46.954443,-47.950644,-94.905087,9.981015,0.000000,9.981015,-47.950644,screening_bullish|confirmation_bullish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish momentum follow-through, body_ratio=0.72, body_atr=1.42, close_location=0.78, reclaim_distance_atr=0.09, volume_ratio=1.71, atr_bps=38.0"
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-02,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582733400000,1582733700000,300000,8930.540000,8868.012791,8972.224806,8868.012791,0.178948,11.189107,1.592506,0.000000,1.592506,9.596601,1.500000,2,take_profit,60.015037,60.050044,0.035008,9.964992,0.000000,9.964992,60.050044,screening_bearish|confirmation_bearish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bearish momentum follow-through, body_ratio=0.98, body_atr=2.05, close_location=1.00, reject_distance_atr=0.00, volume_ratio=2.94, atr_bps=46.7"
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-02,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582778400000,1582779300000,900000,8684.350000,8715.395611,8715.395611,8637.781584,0.240736,-7.473799,2.094374,0.000000,2.094374,-9.568173,1.500000,4,stop_loss,43.623375,-45.766791,-89.390167,10.017874,0.000000,10.017874,-45.766791,screening_bearish|confirmation_bearish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bearish momentum follow-through, body_ratio=0.77, body_atr=1.60, close_location=0.86, reject_distance_atr=0.00, volume_ratio=2.05, atr_bps=35.7"
TRD-SIG-BT-00000010,SIG-BT-00000010,2020-02,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582891500000,1582891800000,300000,8559.220000,8508.188315,8593.241124,8508.188315,0.219259,11.189171,1.871094,0.000000,1.871094,9.318077,1.500000,2,take_profit,49.621888,49.651699,0.029811,9.970189,0.000000,9.970189,49.651699,screening_bearish|confirmation_bearish_or_allowed_neutral|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bearish momentum follow-through, body_ratio=0.64, body_atr=1.01, close_location=0.94, reject_distance_atr=0.00, volume_ratio=1.97, atr_bps=39.7"
