trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579047300000,1579048500000,8856.240000,8809.679765,8809.679765,8940.048423,0.16108166,1426.577848,1426.577848,1419.077848,1422.827848,2845.655696,5.000000,9.973713,5000.000000,7.500000,46.560235,52.573366,0.150000,0.285316,-7.500000,1.422828,0.000000,-8.922828,1.800000,5,stop_loss,"bullish momentum follow-through, body_ratio=0.77, body_atr=1.40, close_location=0.87, reclaim_distance_atr=0.00, volume_ratio=1.66, atr_bps=52.6",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,84.632060,-62.547080
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1579098300000,1579100400000,8860.000000,8818.840939,8818.840939,8934.086310,0.18189472,1611.587187,1611.587187,1604.100571,1607.843879,3215.687758,5.000000,9.976773,4991.077172,7.486616,41.159061,46.454922,0.150000,0.322894,-7.486616,1.607844,0.000000,-9.094460,1.800000,8,stop_loss,"bullish momentum follow-through, body_ratio=0.91, body_atr=1.12, close_location=0.91, reclaim_distance_atr=0.00, volume_ratio=1.43, atr_bps=46.5",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,73.618860,-56.431695
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582733400000,1582733700000,8930.540000,8855.507350,8972.224806,8855.507350,0.17927333,1601.007675,1601.007675,1587.556322,1594.281999,3188.563997,5.000000,9.957991,4981.982713,7.472974,41.684806,46.676691,0.150000,0.321360,13.451353,1.594282,0.000000,11.857071,1.800000,2,take_profit,"bearish momentum follow-through, body_ratio=0.98, body_atr=2.05, close_location=1.00, reject_distance_atr=0.00, volume_ratio=2.94, atr_bps=46.7",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,74.018044,74.060053
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1582912500000,1582917900000,8566.800000,8611.331341,8611.331341,8486.643586,0.16821321,1441.048894,1441.048894,1448.539654,1444.794274,2889.588549,5.000000,10.025991,4993.839784,7.490760,44.531341,51.981301,0.150000,0.288565,-7.490760,1.444794,0.000000,-8.935554,1.800000,19,stop_loss,"bearish momentum follow-through, body_ratio=0.90, body_atr=1.32, close_location=0.91, reject_distance_atr=0.00, volume_ratio=1.40, atr_bps=52.0",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,83.566342,-62.007292
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1583763300000,1583767800000,7765.970000,7680.625104,7813.383831,7680.625104,0.15770412,1224.725440,1224.725440,1211.266199,1217.995820,2435.991639,5.000000,9.945052,4984.904230,7.477356,47.413831,61.053328,0.150000,0.245687,13.459241,1.217996,0.000000,12.241246,1.800000,16,take_profit,"bearish momentum follow-through, body_ratio=0.68, body_atr=0.83, close_location=0.74, reject_distance_atr=0.08, volume_ratio=1.37, atr_bps=61.0",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,99.895990,99.950938
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584031800000,1584031800000,5964.400000,6029.699462,6029.699462,5846.860969,0.11478989,684.652835,684.652835,692.148553,688.400694,1376.801388,5.000000,10.054741,4997.145475,7.495718,65.299462,109.482030,0.150000,0.137009,-7.495718,0.688401,0.000000,-8.184119,1.800000,1,stop_loss,"bearish momentum follow-through, body_ratio=0.71, body_atr=1.10, close_location=0.73, reject_distance_atr=0.16, volume_ratio=1.39, atr_bps=109.5",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,187.067654,-119.536771
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584054300000,1584054600000,5703.160000,5534.141643,5797.059087,5534.141643,0.07969664,454.522707,454.522707,441.052511,447.787609,895.575219,5.000000,9.851820,4988.961357,7.483442,93.899087,164.643964,0.150000,0.091106,13.470196,0.447788,0.000000,13.022408,1.800000,2,take_profit,"bearish momentum follow-through, body_ratio=0.74, body_atr=0.99, close_location=0.75, reject_distance_atr=0.00, volume_ratio=1.31, atr_bps=164.6",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,286.359136,286.507315
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584222900000,1584223200000,5293.050000,5324.413211,5324.413211,5236.596221,0.23922856,1266.248723,1266.248723,1273.751698,1270.000211,2540.000421,5.000000,10.029627,5001.983765,7.502976,31.363211,59.253569,0.150000,0.253149,-7.502976,1.270000,0.000000,-8.772976,1.800000,2,stop_loss,"bearish momentum follow-through, body_ratio=0.97, body_atr=1.29, close_location=0.98, reject_distance_atr=0.09, volume_ratio=1.29, atr_bps=59.3",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,96.656425,-69.283196
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584227100000,1584227100000,5213.640000,5139.351280,5254.911511,5139.351280,0.18147667,946.154004,946.154004,932.672335,939.413170,1878.826339,5.000000,9.928755,4993.210789,7.489816,41.271511,79.160646,0.150000,0.189488,13.481669,0.939413,0.000000,12.542256,1.800000,1,take_profit,"bearish momentum follow-through, body_ratio=0.90, body_atr=1.33, close_location=0.96, reject_distance_atr=0.00, volume_ratio=1.51, atr_bps=79.2",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,132.489162,132.560407
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1584235500000,1584239400000,5152.730000,5198.303399,5198.303399,5070.697882,0.16475904,848.958863,848.958863,856.467493,852.713178,1705.426356,5.000000,10.044223,5005.753045,7.508630,45.573399,88.445152,0.150000,0.169597,-7.508630,0.852713,0.000000,-8.361343,1.800000,14,stop_loss,"bearish momentum follow-through, body_ratio=0.69, body_atr=0.66, close_location=0.73, reject_distance_atr=0.13, volume_ratio=1.25, atr_bps=88.5",screening_bearish|confirmation_bearish_or_allowed_neutral|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|momentum_trigger_ok|trigger_body_ratio_ok|trigger_body_atr_ok|trigger_close_location_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,149.201274,-98.489375
