key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:1m_ema_alignment_short,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:5m_confirmation_bearish,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:atr_bps_in_range,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:close_reclaim_short,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:confidence_ok,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:direction_enabled,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:expected_net_edge_ok,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:expected_reward_ok,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:pullback_near_vwap,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:reward_risk_ok,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
passed:volume_ratio_ok,7,2,5,28.571429,-103.118345,5.098959,48.553553,59.663751,-14.731192,33.948743,-13.247193,4.571429
