month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,258,101,157,39.147287,-346.079985,1110.740129,1263.644081,2374.384209,-2720.464194,0.775046,4.497407,-20.221034,-10.544435,9,1.500000,12.317131,-18.852446,-31.169577,17.041878,101,157,0,0
2024-02,164,62,102,37.804878,-132.543587,368.714601,419.610838,788.325439,-920.869025,0.739525,2.119518,-10.316462,-5.615055,6,1.500000,12.000125,-19.920198,-31.920323,17.108778,62,102,0,0
2024-03,349,131,218,37.535817,-135.049983,356.836314,407.391148,764.227462,-899.277446,0.733060,1.050216,-4.756219,-2.576726,8,1.500000,12.757232,-20.115226,-32.872458,17.122035,131,218,0,0
2024-04,283,99,184,34.982332,-54.843813,105.069938,122.235504,227.305441,-282.149254,0.644402,0.375327,-1.735362,-0.996994,8,1.500000,12.137011,-21.071194,-33.208205,17.251889,99,184,0,0
2024-05,141,51,90,36.170213,-11.652460,25.971831,29.903517,55.875348,-67.527807,0.677066,0.159945,-0.840944,-0.478921,7,1.500000,11.008782,-20.718244,-31.727026,17.189890,51,90,0,0
2024-06,72,23,49,31.944444,-5.814373,9.413169,11.082448,20.495617,-26.309990,0.565387,0.102468,-0.585036,-0.365417,7,1.500000,9.713524,-22.320595,-32.034119,17.403332,23,49,0,0
2024-07,191,70,121,36.649215,-6.192894,15.413270,17.697474,33.110744,-39.303638,0.706957,0.075622,-0.368572,-0.205778,8,1.500000,11.025816,-20.032738,-31.058554,17.141010,70,120,1,0
2024-08,338,117,221,34.615385,-5.635597,10.769531,12.490922,23.260454,-28.896050,0.669574,0.042199,-0.153092,-0.085491,11,1.500000,16.424670,-21.976479,-38.401149,17.269965,117,221,0,0
2024-09,181,72,109,39.779006,-0.694314,2.713550,3.056697,5.770247,-6.464561,0.808262,0.014419,-0.068833,-0.035716,8,1.500000,11.503370,-19.181963,-30.685333,17.009694,72,109,0,0
2024-10,142,49,93,34.507042,-0.684395,1.279577,1.482575,2.762152,-3.446547,0.623520,0.007306,-0.040909,-0.024271,12,1.500000,10.329447,-21.718025,-32.047472,17.273909,49,93,0,0
2024-11,290,110,180,37.931034,-0.442170,1.280372,1.460484,2.740856,-3.183026,0.751500,0.004514,-0.020442,-0.010976,8,1.500000,12.041688,-19.389779,-31.431467,17.103431,110,180,0,0
2024-12,246,94,152,38.211382,-0.159864,0.460258,0.524645,0.984903,-1.144767,0.745370,0.001756,-0.008617,-0.004654,12,1.500000,11.286459,-19.519719,-30.806178,17.089351,94,152,0,0
