trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000164,SIG-BT-00000164,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704155280000,1704156420000,1140000,44704.539120,44867.922837,44589.633056,44876.898216,0.108785,17.773618,3.897639,2.921452,6.819091,10.954527,1.500000,20,take_profit,25.555167,22.525526,-3.029641,8.014619,6.007311,14.021930,22.525526,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000165,SIG-BT-00000165,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704156600000,1704156840000,240000,44775.053220,44889.077723,44693.050477,44898.057335,0.152768,17.419283,5.479120,4.107599,9.586719,7.832564,1.500000,5,take_profit,14.471573,11.450798,-3.020775,8.010186,6.005094,14.015281,11.450798,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000166,SIG-BT-00000166,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704157920000,1704157980000,60000,45102.118620,44975.958944,44984.955935,45277.862647,0.107090,-13.510457,3.858589,5.310289,9.168878,-22.679335,1.500000,2,stop_loss,25.965803,-46.955222,-72.921026,7.988811,10.994405,18.983216,-46.955222,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000167,SIG-BT-00000167,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704159300000,1704159300000,0,44974.793160,44894.417757,44903.398437,45081.885245,0.174947,-14.061409,6.288928,8.652197,14.941125,-29.002534,1.500000,1,stop_loss,10.811579,-36.860488,-47.672067,7.992852,10.996425,18.989277,-36.860488,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000168,SIG-BT-00000168,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704159660000,1704159660000,0,44992.396680,44917.135489,44926.120713,45091.810631,0.187364,-14.101275,6.738342,9.270155,16.008496,-30.109771,1.500000,1,stop_loss,9.095722,-35.717498,-44.813221,7.993309,10.996654,18.989963,-35.717498,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000169,SIG-BT-00000169,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704160140000,1704160140000,0,44862.070620,44791.903134,44800.863307,44953.881590,0.201651,-14.149312,7.231509,9.948277,17.179787,-31.329099,1.500000,1,stop_loss,7.465165,-34.631330,-42.096496,7.993744,10.996871,18.990615,-34.631330,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000170,SIG-BT-00000170,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704160560000,1704160980000,420000,44928.483900,45008.157228,44869.366060,45017.160660,0.207453,16.528461,7.463046,5.595632,13.058678,3.469783,1.500000,8,take_profit,6.737314,3.722726,-3.014588,8.007093,6.003548,14.010641,3.722726,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000191,SIG-BT-00000191,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704164460000,1704164520000,60000,45363.070800,45295.091742,45304.152572,45451.448141,0.208303,-14.160238,7.553745,10.391355,17.945100,-32.105338,1.500000,2,stop_loss,6.482222,-33.976559,-40.458781,7.994006,10.997002,18.991008,-33.976559,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000308,SIG-BT-00000308,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704180540000,1704180660000,120000,45501.398460,45429.749822,45438.837590,45595.239766,0.194891,-13.963705,7.088680,9.751822,16.840503,-30.804208,1.500000,3,stop_loss,7.623829,-34.737021,-42.360850,7.993701,10.996850,18.990552,-34.737021,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000309,SIG-BT-00000309,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704181560000,1704182340000,780000,45535.805340,45468.765023,45477.860595,45622.722457,0.209088,-14.017344,7.611195,10.470299,18.081495,-32.098838,1.500000,14,stop_loss,6.087642,-33.713716,-39.801358,7.994111,10.997055,18.991166,-33.713716,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000319,SIG-BT-00000319,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704183960000,1704184260000,300000,45775.953360,45881.587439,45699.411872,45890.765592,0.157239,16.609814,5.764862,4.321986,10.086848,6.522966,1.500000,6,take_profit,12.081342,9.062478,-3.018863,8.009231,6.004616,14.013847,9.062478,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000320,SIG-BT-00000320,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704184560000,1704184980000,420000,45766.851540,45680.609131,45689.747080,45882.508230,0.156303,-13.479912,5.717390,7.866129,13.583519,-27.063431,1.500000,8,stop_loss,12.270843,-37.832552,-50.103394,7.992462,10.996231,18.988693,-37.832552,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000321,SIG-BT-00000321,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704185160000,1704185340000,180000,45683.434860,45775.588501,45615.894466,45784.745450,0.177434,16.351197,6.491179,4.866750,11.357930,4.993268,1.500000,4,take_profit,9.176658,6.160118,-3.016540,8.008069,6.004035,14.012104,6.160118,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000322,SIG-BT-00000322,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704185520000,1704186300000,780000,45809.460060,45900.987457,45742.320439,45910.169491,0.178679,16.354039,6.554698,4.914389,11.469088,4.884951,1.500000,14,take_profit,8.984418,5.968032,-3.016386,8.007992,6.003997,14.011989,5.968032,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000451,SIG-BT-00000451,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704206580000,1704206700000,120000,45546.607500,45470.208409,45479.304270,45647.562345,0.178426,-13.631604,6.495916,8.936655,15.432571,-29.064176,1.500000,3,stop_loss,9.165173,-35.763762,-44.928935,7.993290,10.996645,18.989935,-35.763762,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000452,SIG-BT-00000452,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704207180000,1704207180000,0,45362.070600,45276.725755,45285.782912,45476.502133,0.156460,-13.353090,5.672553,7.804434,13.476988,-26.830077,1.500000,1,stop_loss,12.226259,-37.802853,-50.029112,7.992474,10.996237,18.988711,-37.802853,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m neutral, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
