trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000164,SIG-BT-00000164,BTCUSDT,screened_vwap_scalp,bullish,long,1704155280000,1704156420000,44704.539120,44867.922837,44589.633056,44876.898216,0.10878451,17.773618,3.897639,2.921452,10.954527,1.500000,20,take_profit,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,25.555167,22.525526
TRD-SIG-BT-00000165,SIG-BT-00000165,BTCUSDT,screened_vwap_scalp,bullish,long,1704156600000,1704156840000,44775.053220,44889.077723,44693.050477,44898.057335,0.15276789,17.419283,5.479120,4.107599,7.832564,1.500000,5,take_profit,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,14.471573,11.450798
TRD-SIG-BT-00000166,SIG-BT-00000166,BTCUSDT,screened_vwap_scalp,bullish,long,1704157920000,1704157980000,45102.118620,44975.958944,44984.955935,45277.862647,0.10709013,-13.510457,3.858589,5.310289,-22.679335,1.500000,2,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,25.965803,-46.955222
TRD-SIG-BT-00000167,SIG-BT-00000167,BTCUSDT,screened_vwap_scalp,bullish,long,1704159300000,1704159300000,44974.793160,44894.417757,44903.398437,45081.885245,0.17494667,-14.061409,6.288928,8.652197,-29.002534,1.500000,1,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,10.811579,-36.860488
TRD-SIG-BT-00000168,SIG-BT-00000168,BTCUSDT,screened_vwap_scalp,bullish,long,1704159660000,1704159660000,44992.396680,44917.135489,44926.120713,45091.810631,0.18736449,-14.101275,6.738342,9.270155,-30.109771,1.500000,1,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,9.095722,-35.717498
TRD-SIG-BT-00000169,SIG-BT-00000169,BTCUSDT,screened_vwap_scalp,bullish,long,1704160140000,1704160140000,44862.070620,44791.903134,44800.863307,44953.881590,0.20165055,-14.149312,7.231509,9.948277,-31.329099,1.500000,1,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,7.465165,-34.631330
TRD-SIG-BT-00000170,SIG-BT-00000170,BTCUSDT,screened_vwap_scalp,bullish,long,1704160560000,1704160980000,44928.483900,45008.157228,44869.366060,45017.160660,0.20745288,16.528461,7.463046,5.595632,3.469783,1.500000,8,take_profit,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,6.737314,3.722726
TRD-SIG-BT-00000191,SIG-BT-00000191,BTCUSDT,screened_vwap_scalp,bullish,long,1704164460000,1704164520000,45363.070800,45295.091742,45304.152572,45451.448141,0.20830295,-14.160238,7.553745,10.391355,-32.105338,1.500000,2,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,6.482222,-33.976559
TRD-SIG-BT-00000308,SIG-BT-00000308,BTCUSDT,screened_vwap_scalp,bullish,long,1704180540000,1704180660000,45501.398460,45429.749822,45438.837590,45595.239766,0.19489142,-13.963705,7.088680,9.751822,-30.804208,1.500000,3,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,7.623829,-34.737021
TRD-SIG-BT-00000309,SIG-BT-00000309,BTCUSDT,screened_vwap_scalp,bullish,long,1704181560000,1704182340000,45535.805340,45468.765023,45477.860595,45622.722457,0.20908827,-14.017344,7.611195,10.470299,-32.098838,1.500000,14,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,6.087642,-33.713716
