month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,205,52,153,25.365854,-456.496507,1013.347570,1240.252974,2253.600544,-2710.097050,0.702174,12.453104,-21.945480,-13.219986,14,2.500000,25.446108,-20.920150,-46.366258,17.730706,52,153,0,0
2024-02,149,36,113,24.161074,-186.708299,380.361756,466.742357,847.104113,-1033.812412,0.660495,5.733799,-10.975480,-6.938338,12,2.500000,24.762429,-21.677202,-46.439631,17.757562,36,112,1,0
2024-03,295,71,224,24.067797,-174.952098,289.766032,355.595054,645.361085,-820.313183,0.641471,2.717924,-4.523597,-2.780723,15,2.500000,31.834062,-22.663643,-54.497705,17.794737,71,224,0,0
2024-04,239,62,177,25.941423,-38.229578,95.242220,115.602245,210.844464,-249.074042,0.743664,1.096139,-1.791156,-1.042151,14,2.500000,28.897215,-21.375205,-50.272419,17.703268,62,177,0,0
2024-05,158,42,116,26.582278,-12.473245,33.890207,40.753484,74.643690,-87.116936,0.732787,0.424736,-0.904792,-0.551373,20,2.500000,22.155411,-21.154387,-43.309798,17.671038,42,116,0,0
2024-06,96,25,71,26.041667,-5.007396,12.151182,14.738733,26.889914,-31.897310,0.703230,0.254273,-0.538791,-0.332264,11,2.500000,21.439568,-21.058338,-42.497906,17.698105,25,71,0,0
2024-07,193,56,137,29.015544,-3.879857,14.157445,16.980690,31.138135,-35.017992,0.797134,0.147988,-0.316097,-0.181440,9,2.500000,22.454903,-19.437676,-41.892579,17.549566,55,137,1,0
2024-08,238,54,184,22.689076,-4.232484,6.908743,8.562625,15.471368,-19.703852,0.628234,0.083939,-0.131721,-0.082789,39,2.500000,33.057153,-23.190546,-56.247699,17.866232,54,184,0,0
2024-09,156,40,116,25.641026,-1.084517,2.209664,2.716683,4.926347,-6.010864,0.662809,0.030788,-0.062434,-0.038531,25,2.500000,22.498257,-20.402967,-42.901225,17.718290,40,116,0,0
2024-10,144,40,104,27.777778,-0.319281,1.221792,1.468313,2.690105,-3.009386,0.803116,0.017746,-0.035762,-0.020899,16,2.500000,20.538508,-19.598124,-40.136632,17.610332,40,104,0,0
2024-11,249,67,182,26.907631,-0.343919,0.931517,1.124737,2.056255,-2.400174,0.744604,0.008435,-0.016293,-0.009639,16,2.500000,23.339449,-20.518654,-43.858103,17.653168,67,182,0,0
2024-12,215,48,167,22.325581,-0.204438,0.310492,0.387273,0.697765,-0.902203,0.584722,0.003686,-0.006462,-0.004196,18,2.500000,26.588159,-22.447168,-49.035327,17.884046,48,167,0,0
