trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704139200000,1704139200000,0,43564.911240,43669.374378,43519.631736,43678.110000,0.276063,28.838417,9.632867,7.221768,16.854634,11.983783,2.500000,1,take_profit,12.983930,9.964345,-3.019585,8.009591,6.004797,14.014388,9.964345,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.15, atr_bps=10.4"
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704153780000,1704153900000,120000,44239.346100,44354.185548,44189.861276,44363.058160,0.253208,29.078281,8.973041,6.726874,15.699915,13.378366,2.500000,3,take_profit,14.964261,11.943091,-3.021169,8.010383,6.005193,14.015576,11.943091,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.38, atr_bps=11.2"
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704154620000,1704154680000,60000,44596.717560,44827.201151,44500.937230,44836.168384,0.131169,30.232291,4.691857,3.515871,8.207727,22.024564,2.500000,2,take_profit,40.692477,37.650727,-3.041750,8.020673,6.010339,14.031011,37.650727,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.28, atr_bps=21.5"
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704156180000,1704157020000,840000,44796.057420,44995.306787,44712.757329,45004.307648,0.151482,30.182698,5.440711,4.077516,9.518228,20.664471,2.500000,15,take_profit,33.488517,30.452530,-3.035987,8.017792,6.008898,14.026689,30.452530,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.47, atr_bps=18.6"
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704157800000,1704157860000,60000,45295.957380,45172.787369,45181.823734,45581.291496,0.111011,-13.673267,4.017222,5.528466,9.545688,-23.218955,2.500000,2,stop_loss,49.993285,-46.175958,-96.169243,7.989123,10.994561,18.983684,-46.175958,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.19, atr_bps=25.2"
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704161460000,1704161820000,360000,45007.099620,44952.496522,44961.488820,45121.126621,0.276515,-15.098588,9.950079,13.686643,23.636722,-38.735310,2.500000,7,stop_loss,12.335336,-31.124828,-43.460164,7.995147,10.997573,18.992720,-31.124828,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.28, atr_bps=10.1"
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704163620000,1704163740000,120000,45276.053400,45219.784917,45228.830683,45394.110191,0.265026,-14.912604,9.593496,13.196276,22.789772,-37.702376,2.500000,3,stop_loss,13.074886,-31.420411,-44.495297,7.995029,10.997514,18.992543,-31.420411,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=2.13, atr_bps=10.4"
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704164460000,1704164520000,60000,45363.070800,45295.091742,45304.152572,45510.366369,0.210817,-14.331167,7.644927,10.516789,18.161716,-32.492883,2.500000,2,stop_loss,19.470370,-33.976559,-53.446929,7.994006,10.997002,18.991008,-33.976559,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=5.65, atr_bps=13.0"
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704165840000,1704165960000,120000,45354.069000,45291.438266,45300.498366,45487.995586,0.230345,-14.426707,8.351914,11.488930,19.840844,-34.267551,2.500000,3,stop_loss,16.529122,-32.801001,-49.330123,7.994476,10.997238,18.991714,-32.801001,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.81, atr_bps=11.8"
TRD-SIG-BT-00000010,SIG-BT-00000010,2024-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704166380000,1704166500000,120000,45390.076200,45331.644888,45340.713031,45513.484123,0.248243,-14.505193,9.008431,12.391668,21.400099,-35.905292,2.500000,3,stop_loss,14.188305,-31.865423,-46.053728,7.994851,10.997425,18.992276,-31.865423,screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.06, atr_bps=10.9"
