trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704139200000,1704139200000,43564.911240,43669.374378,43519.631736,43678.110000,0.27606309,28.838417,9.632867,7.221768,11.983783,2.500000,1,take_profit,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.15, atr_bps=10.4",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,12.983930,9.964345
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704153780000,1704153900000,44239.346100,44354.185548,44189.861276,44363.058160,0.25320812,29.078281,8.973041,6.726874,13.378366,2.500000,3,take_profit,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.38, atr_bps=11.2",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,14.964261,11.943091
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704154620000,1704154680000,44596.717560,44827.201151,44500.937230,44836.168384,0.13116895,30.232291,4.691857,3.515871,22.024564,2.500000,2,take_profit,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.28, atr_bps=21.5",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,40.692477,37.650727
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704156180000,1704157020000,44796.057420,44995.306787,44712.757329,45004.307648,0.15148203,30.182698,5.440711,4.077516,20.664471,2.500000,15,take_profit,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.47, atr_bps=18.6",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,33.488517,30.452530
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704157800000,1704157860000,45295.957380,45172.787369,45181.823734,45581.291496,0.11101133,-13.673267,4.017222,5.528466,-23.218955,2.500000,2,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.19, atr_bps=25.2",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,49.993285,-46.175958
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704161460000,1704161820000,45007.099620,44952.496522,44961.488820,45121.126621,0.27651522,-15.098588,9.950079,13.686643,-38.735310,2.500000,7,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.28, atr_bps=10.1",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,12.335336,-31.124828
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704163620000,1704163740000,45276.053400,45219.784917,45228.830683,45394.110191,0.26502589,-14.912604,9.593496,13.196276,-37.702376,2.500000,3,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=2.13, atr_bps=10.4",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,13.074886,-31.420411
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704164460000,1704164520000,45363.070800,45295.091742,45304.152572,45510.366369,0.21081738,-14.331167,7.644927,10.516789,-32.492883,2.500000,2,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=5.65, atr_bps=13.0",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,19.470370,-33.976559
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704165840000,1704165960000,45354.069000,45291.438266,45300.498366,45487.995586,0.23034549,-14.426707,8.351914,11.488930,-34.267551,2.500000,3,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.81, atr_bps=11.8",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,16.529122,-32.801001
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704166380000,1704166500000,45390.076200,45331.644888,45340.713031,45513.484123,0.24824349,-14.505193,9.008431,12.391668,-35.905292,2.500000,3,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.06, atr_bps=10.9",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,14.188305,-31.865423
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704167100000,1704167100000,45467.891760,45410.556819,45419.640747,45588.519293,0.25210501,-14.454426,9.164365,12.606060,-36.224851,2.500000,1,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.06, atr_bps=10.6",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,13.530268,-31.602418
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704167460000,1704167520000,45461.290440,45396.912487,45405.993685,45599.532326,0.21834482,-14.056593,7.935367,10.916049,-32.908009,2.500000,2,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.08, atr_bps=12.2",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,17.408703,-33.152551
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1704180540000,1704180660000,45501.398460,45429.749822,45438.837590,45657.800636,0.19167716,-13.733407,6.971770,9.590990,-30.296167,2.500000,3,stop_loss,"15m bullish, 5m bullish, 1m ema_ribbon_long, near VWAP/EMA21, volume_ratio=1.20, atr_bps=13.8",screening_bullish|confirmation_bullish|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,21.373048,-34.737021
TRD-SIG-BT-00000021,SIG-BT-00000021,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704289800000,1704290340000,42405.117280,42496.210452,42487.712909,42198.628207,0.14426610,-13.141657,4.899353,6.732011,-24.773021,2.500000,10,stop_loss,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=2.20, atr_bps=19.5",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,35.694376,-40.494534
TRD-SIG-BT-00000022,SIG-BT-00000022,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704291180000,1704291360000,42331.532000,42167.890437,42400.361382,42159.458545,0.17222030,28.182399,5.821006,4.368574,17.992819,2.500000,4,take_profit,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=1.05, atr_bps=16.3",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,27.649002,24.680325
TRD-SIG-BT-00000023,SIG-BT-00000023,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704292140000,1704292200000,42157.066900,42251.490351,42243.041743,41942.129792,0.13839861,-13.068075,4.672811,6.420541,-24.161426,2.500000,2,stop_loss,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=1.01, atr_bps=20.4",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,37.984834,-41.411451
TRD-SIG-BT-00000024,SIG-BT-00000024,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704294000000,1704294000000,42195.659180,42271.328227,42262.875652,42027.618000,0.17612343,-13.327092,5.950646,8.177474,-27.455212,2.500000,1,stop_loss,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=1.29, atr_bps=15.9",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,26.824281,-36.943658
TRD-SIG-BT-00000025,SIG-BT-00000025,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704302280000,1704303180000,42781.442000,42876.127009,42867.553498,42566.163255,0.13668044,-12.941589,4.683086,6.434713,-24.059387,2.500000,16,stop_loss,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=3.46, atr_bps=20.1",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,37.320591,-41.145541
TRD-SIG-BT-00000026,SIG-BT-00000026,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704304380000,1704304560000,42713.255640,42778.460160,42769.906179,42571.629293,0.20669899,-13.477708,7.068420,9.714360,-30.260489,2.500000,4,stop_loss,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=2.52, atr_bps=13.3",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,20.157469,-34.274799
TRD-SIG-BT-00000027,SIG-BT-00000027,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704307740000,1704308160000,42641.370020,42492.420134,42704.348688,42483.923349,0.18472854,27.515296,6.290656,4.720745,16.503894,2.500000,8,take_profit,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=1.60, atr_bps=14.8",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,23.923455,20.951797
TRD-SIG-BT-00000028,SIG-BT-00000028,BTCUSDT,screened_vwap_scalp_v2,bearish,short,1704312000000,1704312060000,42591.879920,42662.213191,42653.682454,42437.373585,0.18891163,-13.286773,6.442196,8.853369,-28.582337,2.500000,2,stop_loss,"15m bearish, 5m bearish, 1m ema_ribbon_short, near VWAP/EMA21, volume_ratio=1.11, atr_bps=14.5",screening_bearish|confirmation_bearish|ema_ribbon_short|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,23.276007,-35.523213
