key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bullish,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:1m_ema_alignment_long,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:5m_confirmation_bullish,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:atr_bps_in_range,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:close_reclaim_long,174,31,143,17.816092,-2561.755804,-584.455165,876.063132,1101.237507,-14.722735,32.529651,-24.168174,7.316092
passed:confidence_ok,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:direction_enabled,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:expected_net_edge_ok,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:expected_reward_ok,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:pullback_near_ema21,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:reward_risk_ok,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:volume_ratio_ok,193,36,157,18.652850,-2780.483463,-590.610907,972.020392,1217.852164,-14.406650,32.479603,-23.560711,7.512953
passed:wick_rejection_long,19,5,14,26.315789,-218.727659,-6.155742,95.957260,116.614657,-11.511982,32.021269,-17.997630,9.315789
