month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,14,2,12,14.285714,-91.602138,95.929465,123.913831,219.843295,-311.445433,0.451287,26.416556,-30.356545,-22.246102,7,3.200000,33.384017,-25.318075,-58.702092,18.281492,2,12,0,0
2024-02,13,5,8,38.461538,71.902635,85.768879,96.032478,181.801356,-109.898721,1.677620,23.331513,-28.319536,-8.453748,5,3.200000,34.088793,-11.251706,-45.340499,17.080421,5,8,0,0
2024-03,44,8,36,18.181818,-191.216569,251.831402,317.936419,569.767822,-760.984391,0.552690,19.575861,-25.488647,-17.295100,11,3.200000,34.843782,-24.318774,-59.162556,18.087170,7,36,1,0
2024-04,10,3,7,30.000000,10.531030,54.698511,64.600961,119.299472,-108.768442,1.139456,18.766091,-23.580959,-10.876844,2,3.200000,32.660997,-16.127128,-48.788125,17.500824,3,7,0,0
2024-05,7,0,7,0.000000,-73.084752,37.739921,51.917969,89.657890,-162.742642,0.000000,0.000000,-23.248949,-23.248949,7,3.200000,31.432194,-34.872754,-66.304947,18.990470,0,7,0,0
2024-07,14,2,12,14.285714,-68.324618,79.344902,102.088124,181.433027,-249.757645,0.429927,15.899441,-23.463044,-17.839832,6,3.200000,25.884523,-25.188242,-51.072764,18.281570,2,12,0,0
2024-08,14,3,11,21.428571,-27.089977,66.157549,81.435513,147.593063,-174.683040,0.733314,15.910593,-20.219529,-12.477360,5,3.200000,32.714324,-22.291095,-55.005419,17.925952,3,11,0,0
2024-09,17,4,13,23.529412,-21.225072,74.638429,91.099857,165.738286,-186.963358,0.811338,14.731063,-18.914432,-10.997845,5,3.200000,32.070070,-20.982688,-53.052758,17.821633,4,13,0,0
2024-10,14,1,13,7.142857,-84.039115,60.926389,80.794793,141.721182,-225.760297,0.208378,13.684712,-18.418847,-16.125736,12,3.200000,29.393574,-30.246901,-59.640476,18.635890,1,13,0,0
2024-11,33,5,28,15.151515,-102.983319,124.658085,159.083159,283.741244,-386.724563,0.495336,13.283524,-16.183649,-11.718926,17,3.200000,31.673457,-25.325143,-56.998600,18.238172,5,28,0,0
2024-12,13,3,10,23.076923,-13.479013,40.326860,48.949059,89.275919,-102.754932,0.790004,10.821052,-13.521809,-7.904226,7,3.200000,35.074001,-22.344826,-57.418827,17.843453,3,10,0,0
