trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704156180000,1704157020000,840000,44796.057420,45053.605189,44712.757329,45062.617712,0.150060,38.647582,5.393131,4.040985,9.434116,29.213466,3.200000,15,take_profit,46.505302,43.458902,-3.046400,8.022997,6.011501,14.034499,43.458902,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|wick_rejection_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704167460000,1704167520000,60000,45461.290440,45396.912487,45405.993685,45638.240054,0.227374,-14.637860,8.263510,11.367449,19.630960,-34.268820,3.200000,2,stop_loss,25.923139,-33.152551,-59.075691,7.994336,10.997167,18.991503,-33.152551,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704184560000,1704184980000,420000,45766.851540,45680.609131,45689.747080,46013.585811,0.161954,-13.967287,5.924106,8.150534,14.074640,-28.041928,3.200000,8,stop_loss,40.911131,-37.832552,-78.743683,7.992462,10.996231,18.988693,-37.832552,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704404340000,1704404340000,0,44381.874600,44311.409099,44320.273154,44578.999228,0.201574,-14.204021,7.151308,9.838019,16.989327,-31.193348,3.200000,1,stop_loss,31.415570,-34.867563,-66.283133,7.993649,10.996824,18.990473,-34.867563,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704719160000,1704719940000,780000,45025.403280,44938.549390,44947.538898,45274.569302,0.158471,-13.763853,5.702683,7.846007,13.548690,-27.312543,3.200000,14,stop_loss,42.338987,-38.278400,-80.617388,7.992284,10.996141,18.988425,-38.278400,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704743520000,1704744480000,960000,46907.979720,46830.370913,46839.738861,47126.350470,0.179819,-13.955526,6.742369,9.275641,16.018009,-29.973535,3.200000,17,stop_loss,33.553007,-35.534978,-69.087985,7.993382,10.996691,18.990073,-35.534978,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704750420000,1704750660000,240000,47141.826480,47068.549471,47077.965064,47346.183011,0.190977,-13.994219,7.196804,9.900503,17.097307,-31.091526,3.200000,5,stop_loss,30.349303,-34.534621,-64.883924,7.993782,10.996891,18.990673,-34.534621,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704815820000,1704816300000,480000,46894.176960,46805.112619,46814.475514,47149.221587,0.152047,-13.541925,5.698661,7.840398,13.539060,-27.080985,3.200000,9,stop_loss,41.387270,-37.981227,-79.368497,7.992403,10.996201,18.988604,-37.981227,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704976380000,1704976680000,300000,47122.322580,47307.822038,47061.396669,47317.285495,0.197791,36.690215,7.470992,5.599576,13.070568,23.619647,3.200000,6,take_profit,28.373791,25.341896,-3.031896,8.015746,6.007875,14.023621,25.341896,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1705423440000,1705424520000,1080000,43189.536180,43122.994841,43131.621165,43374.864227,0.209094,-13.913388,7.218969,9.930952,17.149922,-31.063309,3.200000,19,stop_loss,29.910404,-34.397575,-64.307979,7.993837,10.996918,18.990755,-34.397575,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim_or_wick
