key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,283,59,224,20.848057,-2189.649032,-401.633273,796.465642,991.550118,-7.737276,35.722519,-21.643718,6.392226
passed:15m_trend_bullish,246,50,196,20.325203,-2212.310575,-490.967951,765.415305,955.927318,-8.993132,30.877651,-23.124713,7.930894
passed:1m_ema_alignment_long,246,50,196,20.325203,-2212.310575,-490.967951,765.415305,955.927318,-8.993132,30.877651,-23.124713,7.930894
passed:1m_ema_alignment_short,283,59,224,20.848057,-2189.649032,-401.633273,796.465642,991.550118,-7.737276,35.722519,-21.643718,6.392226
passed:5m_confirmation_bearish,283,59,224,20.848057,-2189.649032,-401.633273,796.465642,991.550118,-7.737276,35.722519,-21.643718,6.392226
passed:5m_confirmation_bullish,246,50,196,20.325203,-2212.310575,-490.967951,765.415305,955.927318,-8.993132,30.877651,-23.124713,7.930894
passed:atr_bps_in_range,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
passed:close_reclaim_long,246,50,196,20.325203,-2212.310575,-490.967951,765.415305,955.927318,-8.993132,30.877651,-23.124713,7.930894
passed:close_reclaim_short,283,59,224,20.848057,-2189.649032,-401.633273,796.465642,991.550118,-7.737276,35.722519,-21.643718,6.392226
passed:confidence_ok,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
passed:direction_enabled,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
passed:expected_net_edge_ok,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
passed:expected_reward_ok,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
passed:pullback_near_ema21,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
passed:reward_risk_ok,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
passed:volume_ratio_ok,529,109,420,20.604915,-4401.959607,-892.601224,1561.880947,1947.477436,-8.321285,33.469518,-22.332423,7.107750
