month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,45,8,37,17.777778,-224.179116,297.532577,374.719723,672.252300,-896.431416,0.534961,20.191590,-28.593625,-19.920698,10,3.000000,31.417203,-25.008518,-56.425720,18.107709,8,37,0,0
2024-02,26,6,20,23.076923,-57.523230,149.266933,182.465906,331.732838,-389.256068,0.743406,17.140131,-24.604843,-14.971387,11,3.000000,29.919448,-21.715320,-51.634768,17.846456,6,20,0,0
2024-03,90,19,71,21.111111,-218.127587,367.955340,457.005180,824.960520,-1043.088106,0.656369,14.709815,-18.627811,-11.589868,14,3.000000,37.637556,-23.169164,-60.806720,17.943552,19,71,0,0
2024-04,51,12,39,23.529412,-63.039729,166.591450,206.598833,373.190283,-436.230012,0.768668,12.223768,-14.946544,-8.553530,8,3.000000,36.325897,-19.756745,-56.082642,17.823564,11,39,1,0
2024-05,29,6,23,20.689655,-51.896166,93.619195,116.831576,210.450771,-262.346937,0.628450,9.086078,-13.776670,-9.046446,15,3.000000,27.540953,-22.129202,-49.670154,17.968831,6,23,0,0
2024-06,14,1,13,7.142857,-58.026105,43.124379,57.058730,100.183109,-158.209214,0.191381,7.534082,-12.749484,-11.300658,11,3.000000,25.588112,-30.374866,-55.962978,18.649892,1,13,0,0
2024-07,44,11,33,25.000000,-28.678492,117.124905,142.937199,260.062104,-288.740596,0.821813,7.416254,-11.221800,-6.562286,7,3.000000,28.417494,-19.799349,-48.216843,17.749949,11,33,0,0
2024-08,60,15,45,25.000000,-28.068873,111.804125,137.644612,249.448737,-277.517609,0.842713,7.026401,-8.509192,-4.625293,10,3.000000,41.127055,-17.642012,-58.769066,17.749045,15,45,0,0
2024-09,33,6,27,18.181818,-41.085926,56.061195,71.460661,127.521856,-168.607782,0.546037,5.612741,-7.492008,-5.109327,8,3.000000,30.875400,-22.611484,-53.486884,18.094001,6,27,0,0
2024-10,32,4,28,12.500000,-52.102111,48.643672,62.605507,111.249179,-163.351290,0.353160,4.113656,-6.421640,-5.104728,9,3.000000,27.878529,-28.126335,-56.004864,18.373616,4,28,0,0
2024-11,49,8,41,16.326531,-48.468787,58.227715,74.074551,132.302266,-180.771053,0.502265,4.012621,-5.192001,-3.689205,22,3.000000,33.317550,-25.384228,-58.701778,18.181517,8,41,0,0
2024-12,56,13,43,23.214286,-21.405103,51.929461,64.074959,116.004421,-137.409523,0.735869,3.010252,-4.105646,-2.453741,9,3.000000,33.128917,-20.434204,-53.563121,17.839339,13,43,0,0
