key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,12,4,8,33.333333,-84.290889,36.054107,56.682603,63.662393,-7.024241,62.686175,-18.525346,3.916667
passed:15m_trend_bullish,6,2,4,33.333333,-53.727333,15.949806,32.601929,37.075211,-8.954556,43.967066,-17.139056,5.333333
passed:1m_ema_alignment_long,6,2,4,33.333333,-53.727333,15.949806,32.601929,37.075211,-8.954556,43.967066,-17.139056,5.333333
passed:1m_ema_alignment_short,12,4,8,33.333333,-84.290889,36.054107,56.682603,63.662393,-7.024241,62.686175,-18.525346,3.916667
passed:5m_confirmation_bearish,12,4,8,33.333333,-84.290889,36.054107,56.682603,63.662393,-7.024241,62.686175,-18.525346,3.916667
passed:5m_confirmation_bullish,6,2,4,33.333333,-53.727333,15.949806,32.601929,37.075211,-8.954556,43.967066,-17.139056,5.333333
passed:atr_bps_in_range,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
passed:close_reclaim_long,6,2,4,33.333333,-53.727333,15.949806,32.601929,37.075211,-8.954556,43.967066,-17.139056,5.333333
passed:close_reclaim_short,12,4,8,33.333333,-84.290889,36.054107,56.682603,63.662393,-7.024241,62.686175,-18.525346,3.916667
passed:confidence_ok,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
passed:direction_enabled,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
passed:expected_net_edge_ok,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
passed:expected_reward_ok,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
passed:pullback_near_vwap,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
passed:reward_risk_ok,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
passed:volume_ratio_ok,18,6,12,33.333333,-138.018222,52.003913,89.284532,100.737603,-7.667679,56.446472,-18.063249,4.388889
