trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704891660000,1704891720000,60000,44420.614100,44597.184042,44588.266389,43917.657232,0.074559,-13.164892,2.654834,3.645789,6.300622,-19.465514,3.000000,2,stop_loss,100.226005,-58.773398,-158.999403,8.015900,11.007948,19.023848,-58.773398,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705072800000,1705073100000,300000,44999.398320,44761.659334,45081.628163,44752.708792,0.151421,35.998707,5.436689,4.081118,9.517806,26.480901,3.000000,6,take_profit,41.820628,38.863289,-2.957339,7.978867,5.989436,13.968303,38.863289,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714548960000,1714549080000,120000,57281.241460,57553.271526,57541.763173,56499.676320,0.048048,-13.070491,2.207026,3.030085,5.237111,-18.307603,3.000000,3,stop_loss,123.443471,-66.518746,-189.962216,8.018996,11.009496,19.028492,-66.518746,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714550640000,1714551660000,1020000,57290.539600,56757.060648,57472.148965,56745.711506,0.068674,36.635922,3.132824,2.353283,5.486107,31.149815,3.000000,18,take_profit,82.099138,79.174025,-2.925113,7.962753,5.981380,13.944133,79.174025,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714572240000,1714572360000,120000,57295.238660,57418.990642,57407.509140,56958.427219,0.111780,-13.833051,5.129123,7.047702,12.176825,-26.009876,3.000000,3,stop_loss,45.785241,-40.611958,-86.397199,8.008640,11.004319,19.012959,-40.611958,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714575780000,1714576140000,360000,57303.836940,57062.270609,57388.162441,57050.860437,0.148053,35.764551,6.772885,5.083242,11.856127,23.908424,3.000000,7,take_profit,31.146521,28.180642,-2.965879,7.983138,5.991571,13.974709,28.180642,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714613700000,1714613760000,60000,57274.542800,57055.312126,57351.422618,57043.903345,0.163169,35.771614,7.462028,5.600099,13.062127,22.709486,3.000000,2,take_profit,27.269105,24.300123,-2.968982,7.984689,5.992346,13.977035,24.300123,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-06,BTCUSDT,ema_trend_pullback_v1,bearish,short,1719260520000,1719260580000,60000,59108.475940,59245.781696,59233.934909,58732.099032,0.100441,-13.791062,4.755025,6.533332,11.288358,-25.079419,3.000000,2,stop_loss,50.675624,-42.243390,-92.919014,8.009292,11.004645,19.013937,-42.243390,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-07,BTCUSDT,ema_trend_pullback_v1,bearish,short,1720057740000,1720057740000,0,59117.574120,59295.151883,59283.295224,58620.410808,0.075660,-13.435541,3.583645,4.922809,8.506453,-21.941994,3.000000,1,stop_loss,71.097380,-49.056088,-120.153469,8.012015,11.006007,19.018022,-49.056088,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2024-07,BTCUSDT,ema_trend_pullback_v1,bullish,long,1720587480000,1720588380000,900000,59231.343900,59134.901862,59146.731208,59485.181975,0.147538,-14.228892,6.985421,9.609933,16.595354,-30.824246,3.000000,16,stop_loss,29.855363,-35.272494,-65.127857,7.993487,10.996743,18.990230,-35.272494,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_vwap_close_reclaim
TRD-SIG-BT-0000000B,SIG-BT-0000000B,2024-07,BTCUSDT,ema_trend_pullback_v1,bullish,long,1720701060000,1720701060000,0,59336.865000,59173.928618,59185.765771,59790.162687,0.082109,-13.378482,3.892303,5.356599,9.248902,-22.627385,3.000000,1,stop_loss,63.393939,-46.443077,-109.837016,7.989016,10.994507,18.983523,-46.443077,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_vwap_close_reclaim
