trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704891660000,1704891720000,44420.614100,44597.184042,44588.266389,43917.657232,0.07455908,-13.164892,2.654834,3.645789,-19.465514,3.000000,2,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,100.226005,-58.773398
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705072800000,1705073100000,44999.398320,44761.659334,45081.628163,44752.708792,0.15142114,35.998707,5.436689,4.081118,26.480901,3.000000,6,take_profit,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,41.820628,38.863289
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714548960000,1714549080000,57281.241460,57553.271526,57541.763173,56499.676320,0.04804797,-13.070491,2.207026,3.030085,-18.307603,3.000000,3,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,123.443471,-66.518746
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714550640000,1714551660000,57290.539600,56757.060648,57472.148965,56745.711506,0.06867360,36.635922,3.132824,2.353283,31.149815,3.000000,18,take_profit,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,82.099138,79.174025
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714572240000,1714572360000,57295.238660,57418.990642,57407.509140,56958.427219,0.11178044,-13.833051,5.129123,7.047702,-26.009876,3.000000,3,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,45.785241,-40.611958
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714575780000,1714576140000,57303.836940,57062.270609,57388.162441,57050.860437,0.14805271,35.764551,6.772885,5.083242,23.908424,3.000000,7,take_profit,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,31.146521,28.180642
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714613700000,1714613760000,57274.542800,57055.312126,57351.422618,57043.903345,0.16316883,35.771614,7.462028,5.600099,22.709486,3.000000,2,take_profit,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,27.269105,24.300123
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,ema_trend_pullback_v1,bearish,short,1719260520000,1719260580000,59108.475940,59245.781696,59233.934909,58732.099032,0.10044052,-13.791062,4.755025,6.533332,-25.079419,3.000000,2,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,50.675624,-42.243390
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,ema_trend_pullback_v1,bearish,short,1720057740000,1720057740000,59117.574120,59295.151883,59283.295224,58620.410808,0.07566004,-13.435541,3.583645,4.922809,-21.941994,3.000000,1,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,71.097380,-49.056088
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,ema_trend_pullback_v1,bullish,long,1720587480000,1720588380000,59231.343900,59134.901862,59146.731208,59485.181975,0.14753827,-14.228892,6.985421,9.609933,-30.824246,3.000000,16,stop_loss,etp_bullish_pullback_near_vwap_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,29.855363,-35.272494
