key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,8,2,6,25.000000,-67.816947,4.103141,33.492743,38.427344,-8.477118,85.298520,-29.287775,3.625000
passed:15m_trend_bullish,5,1,4,20.000000,-65.251079,-12.291050,23.831593,29.128436,-13.050216,63.833532,-26.724853,3.000000
passed:1m_ema_alignment_long,5,1,4,20.000000,-65.251079,-12.291050,23.831593,29.128436,-13.050216,63.833532,-26.724853,3.000000
passed:1m_ema_alignment_short,8,2,6,25.000000,-67.816947,4.103141,33.492743,38.427344,-8.477118,85.298520,-29.287775,3.625000
passed:5m_confirmation_bearish,8,2,6,25.000000,-67.816947,4.103141,33.492743,38.427344,-8.477118,85.298520,-29.287775,3.625000
passed:5m_confirmation_bullish,5,1,4,20.000000,-65.251079,-12.291050,23.831593,29.128436,-13.050216,63.833532,-26.724853,3.000000
passed:atr_bps_in_range,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:close_reclaim_long,4,1,3,25.000000,-37.818968,1.659546,18.157222,21.321293,-9.454742,67.596042,-23.746790,3.500000
passed:close_reclaim_short,8,2,6,25.000000,-67.816947,4.103141,33.492743,38.427344,-8.477118,85.298520,-29.287775,3.625000
passed:confidence_ok,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:direction_enabled,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:expected_net_edge_ok,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:expected_reward_ok,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:pullback_near_vwap,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:reward_risk_ok,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:volume_ratio_ok,13,3,10,23.076923,-133.068025,-8.187910,57.324336,67.555780,-10.236002,77.042755,-28.302036,3.384615
passed:wick_rejection_long,1,0,1,0.000000,-27.432110,-13.950596,5.674371,7.807143,-27.432110,48.783489,-38.637105,1.000000
