trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704891660000,1704891720000,60000,44420.614100,44597.184042,44588.266389,43833.831088,0.074559,-13.164892,2.654834,3.645789,6.300622,-19.465514,3.500000,2,stop_loss,119.097006,-58.773398,-177.870404,8.015900,11.007948,19.023848,-58.773398,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705072800000,1705073160000,360000,44999.398320,44720.536190,45081.628163,44711.593871,0.151421,42.225621,5.434198,4.079873,9.514070,32.711550,3.500000,7,take_profit,50.957399,48.007370,-2.950029,7.975212,5.987609,13.962821,48.007370,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1706547180000,1706547180000,0,43296.957660,43211.883923,43220.528029,43564.461370,0.163982,-13.950596,5.674371,7.807143,13.481514,-27.432110,3.500000,1,stop_loss,48.783489,-38.637105,-87.420594,7.992140,10.996070,18.988210,-38.637105,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|wick_rejection_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714548960000,1714549080000,120000,57281.241460,57553.271526,57541.763173,56369.415464,0.047845,-13.015146,2.197681,3.017255,5.214936,-18.230082,3.500000,3,stop_loss,146.184049,-66.518746,-212.702795,8.018996,11.009496,19.028492,-66.518746,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-05,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714575780000,1714576440000,660000,57303.836940,57020.099426,57388.162441,57008.697686,0.147274,41.787178,6.734780,5.055266,11.790046,29.997132,3.500000,12,take_profit,38.504274,35.544282,-2.959993,7.980194,5.990099,13.970293,35.544282,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-06,BTCUSDT,ema_trend_pullback_v1,bearish,short,1719260520000,1719260580000,60000,59108.475940,59245.781696,59233.934909,58669.369547,0.099586,-13.673726,4.714569,6.477746,11.192315,-24.866042,3.500000,2,stop_loss,61.288228,-42.243390,-103.531618,8.009292,11.004645,19.013937,-42.243390,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-07,BTCUSDT,ema_trend_pullback_v1,bearish,short,1720057740000,1720057740000,0,59117.574120,59295.151883,59283.295224,58537.550256,0.075016,-13.321230,3.553155,4.880925,8.434080,-21.755310,3.500000,1,stop_loss,85.113610,-49.056088,-134.169699,8.012015,11.006007,19.018022,-49.056088,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-07,BTCUSDT,ema_trend_pullback_v1,bullish,long,1720701180000,1720701300000,120000,59253.348300,59047.250928,59059.062740,59933.347759,0.063707,-13.129897,3.014642,4.149728,7.164371,-20.294268,3.500000,3,stop_loss,101.761356,-53.761530,-155.522886,7.986087,10.993042,18.979129,-53.761530,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-07,BTCUSDT,ema_trend_pullback_v1,bullish,long,1720911240000,1720911480000,240000,59158.129260,59496.400994,59058.079719,59508.302655,0.123206,41.676971,5.847561,4.381505,10.229066,31.447905,3.500000,5,take_profit,46.192777,43.146627,-3.046150,8.022872,6.011439,14.034311,43.146627,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_vwap_close_reclaim_or_wick
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2024-08,BTCUSDT,ema_trend_pullback_v1,bearish,short,1722782400000,1722782400000,0,59652.067200,59764.841068,59752.890490,59299.185684,0.123040,-13.875681,5.877216,8.076315,13.953530,-27.829211,3.500000,1,stop_loss,46.156628,-37.916617,-84.073245,8.007562,11.003780,19.011343,-37.916617,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_vwap_close_reclaim_or_wick
