trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704891660000,1704891720000,44420.614100,44597.184042,44588.266389,43833.831088,0.07455908,-13.164892,2.654834,3.645789,-19.465514,3.500000,2,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,119.097006,-58.773398
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705072800000,1705073160000,44999.398320,44720.536190,45081.628163,44711.593871,0.15142114,42.225621,5.434198,4.079873,32.711550,3.500000,7,take_profit,etp_bearish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,50.957399,48.007370
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,ema_trend_pullback_v1,bullish,long,1706547180000,1706547180000,43296.957660,43211.883923,43220.528029,43564.461370,0.16398241,-13.950596,5.674371,7.807143,-27.432110,3.500000,1,stop_loss,etp_bullish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|wick_rejection_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,48.783489,-38.637105
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714548960000,1714549080000,57281.241460,57553.271526,57541.763173,56369.415464,0.04784451,-13.015146,2.197681,3.017255,-18.230082,3.500000,3,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,146.184049,-66.518746
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,ema_trend_pullback_v1,bearish,short,1714575780000,1714576440000,57303.836940,57020.099426,57388.162441,57008.697686,0.14727407,41.787178,6.734780,5.055266,29.997132,3.500000,12,take_profit,etp_bearish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,38.504274,35.544282
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,ema_trend_pullback_v1,bearish,short,1719260520000,1719260580000,59108.475940,59245.781696,59233.934909,58669.369547,0.09958596,-13.673726,4.714569,6.477746,-24.866042,3.500000,2,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,61.288228,-42.243390
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,ema_trend_pullback_v1,bearish,short,1720057740000,1720057740000,59117.574120,59295.151883,59283.295224,58537.550256,0.07501632,-13.321230,3.553155,4.880925,-21.755310,3.500000,1,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,85.113610,-49.056088
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,ema_trend_pullback_v1,bullish,long,1720701180000,1720701300000,59253.348300,59047.250928,59059.062740,59933.347759,0.06370725,-13.129897,3.014642,4.149728,-20.294268,3.500000,3,stop_loss,etp_bullish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,101.761356,-53.761530
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,ema_trend_pullback_v1,bullish,long,1720911240000,1720911480000,59158.129260,59496.400994,59058.079719,59508.302655,0.12320560,41.676971,5.847561,4.381505,31.447905,3.500000,5,take_profit,etp_bullish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_vwap|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,46.192777,43.146627
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,ema_trend_pullback_v1,bearish,short,1722782400000,1722782400000,59652.067200,59764.841068,59752.890490,59299.185684,0.12303986,-13.875681,5.877216,8.076315,-27.829211,3.500000,1,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim_or_wick,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,46.156628,-37.916617
