month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,20,9,11,45.000000,34.313285,25.187943,0.000000,25.187943,9.125342,1.609813,8.909150,-6.459728,0.456267,4,1.800000,134.301124,10.844017,-123.457107,10.009425,5,7,8,0
2020-02,23,7,16,30.434783,-58.383287,27.328709,0.000000,27.328709,-85.711997,0.469493,5.827892,-7.906703,-3.726609,7,1.800000,139.293720,-54.443612,-193.737332,9.974727,3,14,6,0
2020-03,23,14,9,60.869565,75.125232,20.007602,0.000000,20.007602,55.117630,2.184921,9.062849,-7.973584,2.396419,3,1.800000,222.944196,38.686145,-184.258051,9.964020,9,8,6,0
2020-04,29,14,15,48.275862,37.916235,29.736109,0.000000,29.736109,8.180126,1.337116,9.830057,-8.629378,0.282073,3,1.800000,140.862820,12.699509,-128.163311,10.012793,10,15,4,0
2020-05,19,8,11,42.105263,3.965024,23.747848,0.000000,23.747848,-19.782824,1.052742,8.416465,-7.919504,-1.041201,5,1.800000,131.673421,-22.789468,-154.462889,9.997958,5,10,4,0
2020-06,34,11,23,32.352941,-40.788650,45.084062,0.000000,45.084062,-85.872712,0.740571,9.394037,-8.226396,-2.525668,4,1.800000,112.542023,-16.557486,-129.099509,9.994865,7,21,6,0
2020-07,17,7,10,41.176471,-1.595273,32.821974,0.000000,32.821974,-34.417246,0.969215,5.285279,-7.141420,-2.024544,3,1.800000,81.984370,-11.335575,-93.319946,9.999623,3,6,8,0
2020-08,33,11,22,33.333333,-73.612762,54.111964,0.000000,54.111964,-127.724727,0.514676,6.077842,-8.844590,-3.870446,5,1.800000,110.793988,-13.536148,-124.330136,10.000218,3,21,9,0
2020-09,34,13,21,38.235294,18.068931,50.080345,0.000000,50.080345,-32.011415,1.163787,8.287122,-6.654476,-0.941512,6,1.800000,112.993535,-5.933891,-118.927425,9.993688,9,15,10,0
2020-10,12,4,8,33.333333,-0.525757,14.610921,0.000000,14.610921,-15.136678,0.983314,7.021428,-5.402799,-1.261390,5,1.800000,128.361283,7.547411,-120.813872,10.015908,0,4,8,0
2020-11,20,9,11,45.000000,6.891433,22.701334,0.000000,22.701334,-15.809901,1.089254,8.568584,-8.447923,-0.790495,3,1.800000,155.776723,18.594683,-137.182040,10.022429,6,11,3,0
2020-12,13,6,7,46.153846,22.309456,8.936246,0.000000,8.936246,13.373210,1.554433,9.544553,-6.270587,1.028708,3,1.800000,236.422126,-11.476247,-247.898373,9.994341,4,5,4,0
2021-01,32,13,19,40.625000,11.047164,18.377897,0.000000,18.377897,-7.330732,1.089389,9.744148,-7.052876,-0.229085,5,1.800000,232.952304,-17.202682,-250.154986,9.986876,9,17,6,0
2021-02,14,7,7,50.000000,14.690523,7.583971,0.000000,7.583971,7.106551,1.299811,8.526830,-7.511608,0.507611,4,1.800000,241.540971,1.082282,-240.458689,10.019384,4,7,3,0
2021-03,25,11,14,44.000000,23.120621,20.718062,0.000000,20.718062,2.402559,1.255533,9.601598,-7.372502,0.096102,4,1.800000,164.987697,9.898851,-155.088845,10.004857,8,13,4,0
2021-04,44,16,28,36.363636,-48.709555,46.651542,0.000000,46.651542,-95.361096,0.749080,8.091582,-8.029515,-2.167298,10,1.800000,120.294911,-19.711457,-140.006367,9.996280,9,28,7,0
2021-05,27,6,21,22.222222,-73.463084,21.791228,0.000000,21.791228,-95.254313,0.465440,9.935454,-7.374621,-3.527938,9,1.800000,161.038858,-44.856174,-205.895032,9.993787,5,20,2,0
2021-06,30,12,18,40.000000,-26.454823,23.938708,0.000000,23.938708,-50.393531,0.779525,7.037504,-7.491310,-1.679784,7,1.800000,156.490421,-23.095743,-179.586163,9.995780,6,18,6,0
