trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_short,short,1577893500000,1577910600000,17100000,7231.320000,7230.660000,7261.964350,7176.160170,0.244743,0.161531,1.769737,0.000000,1.769737,-1.608206,1.800000,20,time_exit,66.279061,-9.086847,-75.365908,9.999544,0.000000,9.999544,-9.086847,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_short level=7239.740000, sweep_depth_bps=28.58, wick=0.73, close_loc=0.73, vol=3.67"
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_short,short,1578060000000,1578060000000,0,7345.740000,7280.864815,7381.781770,7280.864815,0.208025,13.495658,1.521349,0.000000,1.521349,11.974308,1.800000,1,take_profit,78.316746,78.360905,0.044158,9.955842,0.000000,9.955842,78.360905,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_short level=7368.330000, sweep_depth_bps=14.48, wick=0.61, close_loc=0.61, vol=1.41"
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578164400000,1578181500000,17100000,7303.970000,7350.710000,7266.321251,7371.737748,0.199623,9.330370,1.462704,0.000000,1.462704,7.867666,1.800000,20,time_exit,82.782073,53.960600,-28.821474,10.031996,0.000000,10.031996,53.960600,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7272.300000, sweep_depth_bps=4.25, wick=0.63, close_loc=0.63, vol=5.22"
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578267000000,1578276000000,9000000,7345.660000,7427.613166,7300.130463,7427.613166,0.165329,13.549231,1.221225,0.000000,1.221225,12.328006,1.800000,11,take_profit,101.566784,101.511001,-0.055783,10.055783,0.000000,10.055783,101.511001,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7312.000000, sweep_depth_bps=12.31, wick=0.71, close_loc=0.90, vol=1.50"
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578515400000,1578523500000,8100000,7940.210000,8079.915798,7862.595668,8079.915798,0.097222,13.582517,0.778757,0.000000,0.778757,12.803760,1.800000,10,take_profit,165.947233,165.859259,-0.087974,10.087974,0.000000,10.087974,165.859259,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7911.210000, sweep_depth_bps=51.95, wick=0.69, close_loc=0.86, vol=1.21"
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578564900000,1578582000000,17100000,7903.580000,7917.070000,7849.662964,8000.630665,0.140309,1.892769,1.109890,0.000000,1.109890,0.782879,1.800000,20,time_exit,112.793297,7.059681,-105.733617,10.008534,0.000000,10.008534,7.059681,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7862.000000, sweep_depth_bps=10.65, wick=0.41, close_loc=0.95, vol=1.75"
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578604500000,1578621600000,17100000,7830.000000,7813.980000,7744.900685,7983.178767,0.088910,-1.424346,0.695457,0.000000,0.695457,-2.119803,1.800000,20,time_exit,185.630609,-30.449540,-216.080149,9.989770,0.000000,9.989770,-30.449540,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7776.000000, sweep_depth_bps=33.42, wick=0.70, close_loc=0.80, vol=2.53"
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578637800000,1578643200000,5400000,7750.770000,7715.176245,7715.176245,7814.838760,0.212482,-7.563043,1.643120,0.000000,1.643120,-9.206163,1.800000,7,stop_loss,72.661154,-55.899902,-128.561057,9.977039,0.000000,9.977039,-55.899902,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7735.000000, sweep_depth_bps=21.91, wick=0.53, close_loc=0.95, vol=1.92"
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578645000000,1578645900000,900000,7711.420000,7688.344090,7688.344090,7752.956638,0.327148,-7.549234,2.519000,0.000000,2.519000,-10.068233,1.800000,2,stop_loss,43.863799,-39.909371,-83.773170,9.985038,0.000000,9.985038,-39.909371,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7707.050000, sweep_depth_bps=19.71, wick=0.55, close_loc=0.61, vol=1.52"
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2020-01,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578646800000,1578651300000,4500000,7705.850000,7677.606914,7677.606914,7756.687554,0.266760,-7.534131,2.051847,0.000000,2.051847,-9.585978,1.800000,6,stop_loss,55.972675,-46.633161,-102.605836,9.981674,0.000000,9.981674,-46.633161,liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,"lsr_v1_long level=7691.860000, sweep_depth_bps=14.72, wick=0.52, close_loc=0.86, vol=1.34"
