trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_short,short,1578040800000,1578040920000,7233.390000,7256.786992,7256.786992,7191.275414,0.32055402,2318.692265,2318.692265,2326.192265,2322.442265,4644.884529,5.000000,10.016173,5000.000000,7.500000,23.396992,32.345819,0.150000,0.463738,-7.500000,2.322442,0.000000,-9.822442,1.800000,3,stop_loss,"lsr_v1_short level=7241.990000, sweep_depth_bps=19.35, wick=0.61, close_loc=0.99, vol=6.04",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,48.222474,-42.361992
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_short,short,1578042600000,1578042600000,7297.140000,7315.266286,7315.266286,7264.512685,0.41295091,3013.360590,3013.360590,3020.845856,3017.103223,6034.206446,5.000000,10.012420,4990.177558,7.485266,18.126286,24.840261,0.150000,0.603858,-7.485266,3.017103,0.000000,-10.502370,1.800000,1,stop_loss,"lsr_v1_short level=7310.500000, sweep_depth_bps=4.64, wick=0.40, close_loc=0.62, vol=2.85",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,34.712470,-34.852681
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_short,short,1578042780000,1578045120000,7306.840000,7335.289450,7335.289450,7255.630991,0.26255386,1918.439039,1918.439039,1925.908552,1922.173796,3844.347592,5.000000,10.019468,4979.675188,7.469513,28.449450,38.935367,0.150000,0.385254,-7.469513,1.922174,0.000000,-9.391687,1.800000,40,stop_loss,"lsr_v1_short level=7322.000000, sweep_depth_bps=15.02, wick=0.43, close_loc=0.89, vol=3.10",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,60.083660,-48.954835
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_short,short,1578066840000,1578067200000,7307.610000,7322.427464,7322.427464,7280.938564,0.50315122,3676.832896,3676.832896,3684.288322,3680.560609,7361.121218,5.000000,10.010138,4970.283502,7.455425,14.817464,20.276758,0.150000,0.739763,-7.455425,3.680561,0.000000,-11.135986,1.800000,7,stop_loss,"lsr_v1_short level=7311.520000, sweep_depth_bps=13.73, wick=0.71, close_loc=0.71, vol=2.83",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,26.498165,-30.286897
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578078660000,1578080400000,7297.960000,7338.829599,7275.254667,7338.829599,0.32762001,2390.957724,2390.957724,2404.347422,2397.652573,4795.305146,5.000000,10.028001,4959.147516,7.438721,22.705333,31.111890,0.150000,0.482131,13.389698,2.397653,0.000000,10.992046,1.800000,30,take_profit,"lsr_v1_long level=7288.000000, sweep_depth_bps=15.99, wick=0.71, close_loc=1.00, vol=2.56",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,46.001401,45.973401
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578263040000,1578265680000,7332.840000,7348.990000,7310.989349,7372.171171,0.34118935,2501.886913,2501.886913,2507.397121,2504.642017,5009.284035,5.000000,10.011012,4970.139561,7.455209,21.850651,29.798347,0.150000,0.503384,5.510208,2.504642,0.000000,3.005566,1.800000,45,time_exit,"lsr_v1_long level=7330.000000, sweep_depth_bps=24.56, wick=0.87, close_loc=0.98, vol=4.17",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,43.637024,12.013197
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578266160000,1578268800000,7323.970000,7350.210000,7301.572060,7364.286291,0.33305375,2439.275638,2439.275638,2448.014968,2443.645303,4887.290605,5.000000,10.017914,4973.145127,7.459718,22.397940,30.581692,0.150000,0.490490,8.739330,2.443645,0.000000,6.295685,1.800000,45,time_exit,"lsr_v1_long level=7312.000000, sweep_depth_bps=12.31, wick=0.63, close_loc=0.63, vol=5.70",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,45.047046,25.809650
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578318960000,1578319020000,7528.240000,7506.229758,7506.229758,7567.858435,0.33934935,2554.703324,2554.703324,2547.234163,2550.968743,5101.937486,5.000000,9.985382,4979.440812,7.469161,22.010242,29.236903,0.150000,0.513050,-7.469161,2.550969,0.000000,-10.020130,1.800000,2,stop_loss,"lsr_v1_long level=7515.300000, sweep_depth_bps=9.71, wick=0.65, close_loc=0.65, vol=3.40",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,42.626425,-39.222284
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578319080000,1578321720000,7523.660000,7546.890000,7479.377302,7603.368857,0.16833055,1266.461833,1266.461833,1270.372152,1268.416993,2536.833986,5.000000,10.015438,4969.420682,7.454131,44.282698,58.857921,0.150000,0.254851,3.910319,1.268417,0.000000,2.641902,1.800000,45,time_exit,"lsr_v1_long level=7508.000000, sweep_depth_bps=34.98, wick=0.70, close_loc=0.94, vol=3.09",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,95.944257,20.860492
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,liquidity_sweep_reclaim_v1,sweep_reclaim_long,long,1578412500000,1578412860000,7767.260000,7744.712249,7744.712249,7807.845952,0.33076886,2569.167705,2569.167705,2561.709611,2565.438658,5130.877315,5.000000,9.985485,4972.062584,7.458094,22.547751,29.029222,0.150000,0.516721,-7.458094,2.565439,0.000000,-10.023533,1.800000,7,stop_loss,"lsr_v1_long level=7762.470000, sweep_depth_bps=21.22, wick=0.84, close_loc=0.84, vol=2.57",liquidity_sweep|level_reclaim|wick_rejection|volume_expansion|higher_tf_not_blocking|reward_risk_ok|expected_edge_ok,,42.252599,-39.014707
