month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,2,0,2,0.000000,-15.527768,2.163137,2.968878,5.132015,-20.659782,0.000000,0.000000,-10.329891,-10.329891,2,2.339316,120.686896,-80.223866,-200.910762,19.036710,0,2,0,0
2020-02,1,1,0,100.000000,9.307568,0.941120,0.704910,1.646030,7.661539,inf,7.661539,0.000000,7.661539,0,1.277790,68.449604,65.385651,-3.063953,14.047663,1,0,0,0
2020-03,2,1,1,50.000000,3.453974,4.625837,5.161805,9.787642,-6.333667,1.422650,8.282167,-14.615835,-3.166834,1,2.160749,42.278540,-4.191482,-46.470022,16.521868,1,1,0,0
2020-04,1,0,1,0.000000,-7.713950,0.974684,1.342891,2.317575,-10.031526,0.000000,0.000000,-10.031526,-10.031526,1,3.191296,182.073942,-82.076769,-264.150711,18.962129,0,1,0,0
2021-06,1,0,1,0.000000,-7.537533,0.323364,0.441987,0.765351,-8.302885,0.000000,0.000000,-8.302885,-8.302885,1,2.606593,472.336449,-207.345884,-679.682333,19.112932,0,1,0,0
2022-01,1,0,1,0.000000,-7.569437,0.500819,0.685977,1.186797,-8.756234,0.000000,0.000000,-8.756234,-8.756234,1,1.212629,132.059989,-140.721259,-272.781247,19.072984,0,1,0,0
2022-02,1,0,1,0.000000,-7.562708,0.526448,0.721218,1.247666,-8.810374,0.000000,0.000000,-8.810374,-8.810374,1,2.153276,231.538571,-134.657899,-366.196469,19.069349,0,1,0,0
2022-05,3,2,1,66.666667,18.005772,2.616339,2.591724,5.208064,12.797709,3.347021,11.439360,-10.081012,4.265903,1,1.674242,121.333359,67.660427,-53.672932,15.740958,2,1,0,0
2022-06,1,0,1,0.000000,-7.720380,1.138994,1.568819,2.707813,-10.428193,0.000000,0.000000,-10.428193,-10.428193,1,1.855035,83.628303,-73.046879,-156.675183,18.967550,0,1,0,0
2023-03,6,5,1,83.333333,66.232822,9.397811,8.185296,17.583107,48.649715,9.364152,12.181827,-12.259422,8.108286,1,2.605551,95.377724,58.589793,-36.787931,14.877417,4,1,1,0
2023-04,6,0,6,0.000000,-47.451207,11.061381,15.226006,26.287387,-73.738594,0.000000,0.000000,-12.289766,-12.289766,6,2.387038,68.101435,-56.375995,-124.477430,18.977560,0,6,0,0
2023-05,4,1,3,25.000000,-15.298107,8.382540,10.866759,19.249298,-34.547405,0.361221,6.778260,-13.775222,-8.636851,3,2.015405,43.872143,-22.131020,-66.003163,17.728009,1,3,0,0
2023-07,1,0,1,0.000000,-7.593735,1.047113,1.437122,2.484234,-10.077970,0.000000,0.000000,-10.077970,-10.077970,1,3.278770,171.182021,-77.220266,-248.402287,19.034909,0,1,0,0
2023-08,1,1,0,100.000000,14.074664,2.273445,1.706492,3.979937,10.094727,inf,10.094727,0.000000,10.094727,0,2.001263,38.394554,35.434473,-2.960080,13.970359,1,0,0,0
2023-09,1,0,1,0.000000,-7.627437,1.187459,1.635426,2.822885,-10.450322,0.000000,0.000000,-10.450322,-10.450322,1,1.722146,71.841141,-70.224159,-142.065299,18.969245,0,1,0,0
2023-10,1,1,0,100.000000,14.114367,1.374587,1.029529,2.404116,11.710251,inf,11.710251,0.000000,11.710251,0,1.976529,71.500316,68.433922,-3.066394,14.049494,1,0,0,0
