month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-02,1,1,0,100.000000,9.583425,1.181164,0.000000,1.181164,8.402260,inf,8.402260,0.000000,8.402260,0,1.277790,71.465894,71.425161,-0.040733,10.040733,1,0,0,0
2020-03,1,1,0,100.000000,12.157246,2.399413,0.000000,2.399413,9.757834,inf,9.757834,0.000000,9.757834,0,1.618247,40.796277,40.770879,-0.025398,10.025398,1,0,0,0
2020-04,1,0,1,0.000000,-7.527240,1.227403,0.000000,1.227403,-8.754643,0.000000,0.000000,-8.754643,-8.754643,1,3.191296,185.112957,-71.108521,-256.221478,9.969430,0,1,0,0
2022-05,2,2,0,100.000000,26.476165,2.031189,0.000000,2.031189,24.444977,inf,12.222488,0.000000,12.222488,0,1.759592,147.473646,147.394910,-0.078737,10.078737,2,0,0,0
2022-06,1,0,1,0.000000,-7.550776,1.445505,0.000000,1.445505,-8.996281,0.000000,0.000000,-8.996281,-8.996281,1,1.855035,86.647629,-62.074115,-148.721744,9.973950,0,1,0,0
2023-03,6,5,1,83.333333,70.273244,11.939892,0.000000,11.939892,58.333352,10.267966,13.647053,-9.901912,9.722225,1,2.605551,98.399399,65.792821,-32.606579,10.037915,4,1,1,0
2023-04,6,1,5,16.666667,-23.697426,14.095741,0.000000,14.095741,-37.793167,0.376009,12.038637,-9.966361,-6.298861,5,2.387038,71.117656,-29.116728,-100.234383,9.990437,1,5,0,0
2023-05,3,0,3,0.000000,-22.658686,9.362710,0.000000,9.362710,-32.021396,0.000000,0.000000,-10.673799,-10.673799,3,2.284603,43.679087,-35.367078,-79.046165,9.987310,0,3,0,0
2023-09,1,0,1,0.000000,-7.520059,1.522393,0.000000,1.522393,-9.042452,0.000000,0.000000,-9.042452,-9.042452,1,1.722146,74.858109,-59.249982,-134.108091,9.975363,0,1,0,0
2023-10,1,1,0,100.000000,14.836805,1.762896,0.000000,1.762896,13.073909,inf,13.073909,0.000000,13.073909,0,1.976529,74.517216,74.474957,-0.042259,10.042259,1,0,0,0
