trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-02,BTCUSDT,mean_revert_v1,neutral,long,1582809300000,1582816500000,7200000,8829.765600,8899.903354,8773.482412,8901.683691,0.133255,9.346186,0.945025,0.707834,1.652859,7.693327,1.277790,9,take_profit,68.449604,65.385651,-3.063953,8.031773,6.015890,14.047663,65.385651,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-1.28, wick=0.45, close_location=0.94, reversal_progress_atr=0.68, vol=1.22, atr_bps=63.8"
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-03,BTCUSDT,mean_revert_v1,bearish,long,1583230500000,1583236800000,6300000,8843.668380,8886.804224,8815.913923,8888.581940,0.270643,11.674400,1.919449,1.438420,3.357869,8.316531,1.618247,8,take_profit,37.786120,34.746695,-3.039425,8.019510,6.009757,14.029268,34.746695,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-1.62, wick=0.55, close_location=0.90, reversal_progress_atr=0.50, vol=1.47, atr_bps=31.4"
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-04,BTCUSDT,mean_revert_v1,neutral,long,1586344500000,1586353500000,9000000,7264.682646,7218.831863,7220.275918,7406.397674,0.169434,-7.768687,0.981601,1.352420,2.334020,-10.102707,3.191296,11,stop_loss,182.073942,-82.076769,-264.150711,7.974754,10.987375,18.962129,-82.076769,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-3.19, wick=0.37, close_location=0.77, reversal_progress_atr=0.39, vol=1.12, atr_bps=61.1"
TRD-SIG-BT-00000004,SIG-BT-00000004,2022-05,BTCUSDT,mean_revert_v1,bearish,long,1652410800000,1652418900000,8100000,30136.526100,30829.955570,29790.455295,30836.122795,0.021697,15.045665,0.529127,0.395342,0.924469,14.121196,2.021542,10,take_profit,219.142448,215.957953,-3.184495,8.092038,6.046029,14.138067,215.957953,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.02, wick=0.65, close_location=0.86, reversal_progress_atr=0.20, vol=1.11, atr_bps=114.9"
TRD-SIG-BT-00000005,SIG-BT-00000005,2022-05,BTCUSDT,mean_revert_v1,neutral,long,1653944400000,1653945300000,900000,31275.153780,31527.623458,31102.364483,31533.930244,0.043579,11.002460,1.094761,0.819971,1.914732,9.087728,1.497642,2,take_profit,69.741868,66.676881,-3.064987,8.032290,6.016148,14.048439,66.676881,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-1.50, wick=0.61, close_location=0.84, reversal_progress_atr=0.22, vol=1.27, atr_bps=55.3"
TRD-SIG-BT-00000006,SIG-BT-00000006,2022-06,BTCUSDT,mean_revert_v1,neutral,long,1654531200000,1654532100000,900000,31536.005940,31365.461336,31371.735683,31840.733015,0.045922,-7.831807,1.155433,1.591461,2.746894,-10.578701,1.855035,2,stop_loss,83.628303,-73.046879,-156.675183,7.978368,10.989182,18.967550,-73.046879,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-1.86, wick=0.39, close_location=0.84, reversal_progress_atr=0.49, vol=1.04, atr_bps=52.1"
TRD-SIG-BT-00000007,SIG-BT-00000007,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1679239800000,1679240700000,900000,27480.094920,27698.335132,27352.402768,27703.875907,0.058953,12.865865,1.301169,0.974590,2.275759,10.590106,1.752504,2,take_profit,68.433848,65.369907,-3.063941,8.031767,6.015887,14.047654,65.369907,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-1.75, wick=0.39, close_location=0.62, reversal_progress_atr=0.32, vol=1.50, atr_bps=46.5"
TRD-SIG-BT-00000008,SIG-BT-00000008,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1679285700000,1679295600000,9900000,27380.975100,27887.139404,27183.124759,27892.717947,0.038128,19.299169,0.842911,0.630254,1.473165,17.826004,2.586515,12,take_profit,173.897233,170.748930,-3.148303,8.073944,6.036980,14.110923,170.748930,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.59, wick=0.50, close_location=0.95, reversal_progress_atr=0.56, vol=1.04, atr_bps=72.3"
TRD-SIG-BT-00000009,SIG-BT-00000009,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1679573700000,1679574600000,900000,27604.419780,27508.845334,27514.348203,27869.053188,0.084049,-8.032941,1.852887,2.550531,4.403418,-12.436359,2.938035,2,stop_loss,82.866318,-53.602103,-136.468421,7.986151,10.993074,18.979225,-53.602103,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.94, wick=0.54, close_location=0.79, reversal_progress_atr=0.28, vol=1.40, atr_bps=32.6"
TRD-SIG-BT-00000010,SIG-BT-00000010,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1679898600000,1679919300000,20700000,27771.453180,27812.036480,27694.299961,28008.880834,0.097880,3.972303,2.176210,1.631761,3.807971,0.164332,3.077353,24,time_exit,72.493421,0.604547,-71.888874,8.005845,6.002923,14.008769,0.604547,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-3.08, wick=0.39, close_location=0.91, reversal_progress_atr=0.35, vol=1.18, atr_bps=27.8"
