trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_round_trip,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,mean_revert_v1,neutral,long,1582809300000,1582816500000,8828.000000,8899.918091,8771.716812,8899.918091,0.13325471,1176.372604,1176.372604,1185.956029,1181.164317,2362.328634,5.000000,5000.000000,7.500000,56.283188,63.755310,0.150000,0.235275,9.583425,1.181164,0.000000,8.402260,1.277790,9,take_profit,"mean_revert_v1_confirmed ext_atr=-1.28, wick=0.45, close_location=0.94, reversal_progress_atr=0.68, vol=1.22, atr_bps=63.8",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,71.465894,71.425161
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,mean_revert_v1,bearish,long,1583230500000,1583236800000,8841.900000,8886.813560,8814.145543,8886.813560,0.27068098,2393.334120,2393.334120,2405.491366,2399.412743,4798.825487,5.000000,5008.402260,7.512603,27.754457,31.389697,0.150000,0.477864,12.157246,2.399413,0.000000,9.757834,1.618247,8,take_profit,"mean_revert_v1_confirmed ext_atr=-1.62, wick=0.55, close_location=0.90, reversal_progress_atr=0.50, vol=1.47, atr_bps=31.4",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,40.796277,40.770879
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,mean_revert_v1,neutral,long,1586344500000,1586353500000,7263.230000,7218.823272,7218.823272,7404.945028,0.16950675,1231.166521,1231.166521,1223.639281,1227.402901,2454.805801,5.000000,5018.160094,7.527240,44.406728,61.139091,0.150000,0.245342,-7.527240,1.227403,0.000000,-8.754643,3.191296,11,stop_loss,"mean_revert_v1_confirmed ext_atr=-3.19, wick=0.37, close_location=0.77, reversal_progress_atr=0.39, vol=1.12, atr_bps=61.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,185.112957,-71.108521
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,mean_revert_v1,bearish,long,1652410800000,1652418900000,30130.500000,30830.096695,29784.429195,30830.096695,0.02171263,654.212471,654.212471,669.402557,661.807514,1323.615028,5.000000,5009.405451,7.514108,346.070805,114.857306,0.150000,0.130597,15.190086,0.661808,0.000000,14.528278,2.021542,10,take_profit,"mean_revert_v1_confirmed ext_atr=-2.02, wick=0.65, close_location=0.86, reversal_progress_atr=0.20, vol=1.11, atr_bps=114.9",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,222.188877,222.072782
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,mean_revert_v1,neutral,long,1653944400000,1653945300000,31268.900000,31527.676464,31096.110703,31527.676464,0.04361324,1363.737954,1363.737954,1375.024033,1369.380993,2738.761986,5.000000,5023.933729,7.535901,172.789297,55.259154,0.150000,0.271448,11.286079,1.369381,0.000000,9.916698,1.497642,2,take_profit,"mean_revert_v1_confirmed ext_atr=-1.50, wick=0.61, close_location=0.84, reversal_progress_atr=0.22, vol=1.27, atr_bps=55.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,72.758416,72.717037
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,mean_revert_v1,neutral,long,1654531200000,1654532100000,31529.700000,31365.429743,31365.429743,31834.427075,0.04596557,1449.280564,1449.280564,1441.729789,1445.505177,2891.010353,5.000000,5033.850427,7.550776,164.270257,52.100165,0.150000,0.287907,-7.550776,1.445505,0.000000,-8.996281,1.855035,2,stop_loss,"mean_revert_v1_confirmed ext_atr=-1.86, wick=0.39, close_location=0.84, reversal_progress_atr=0.49, vol=1.04, atr_bps=52.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,86.647629,-62.074115
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,mean_revert_v1,bullish,long,1679239800000,1679240700000,27474.600000,27698.380987,27346.907848,27698.380987,0.05902697,1621.742477,1621.742477,1634.951592,1628.347035,3256.694069,5.000000,5024.854147,7.537281,127.692152,46.476437,0.150000,0.322744,13.209114,1.628347,0.000000,11.580767,1.752504,2,take_profit,"mean_revert_v1_confirmed ext_atr=-1.75, wick=0.39, close_location=0.62, reversal_progress_atr=0.32, vol=1.50, atr_bps=46.5",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,71.450135,71.409410
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,mean_revert_v1,bullish,long,1679285700000,1679295600000,27375.500000,27887.242847,27177.649659,27887.242847,0.03818367,1045.297093,1045.297093,1064.837313,1055.067203,2110.134406,5.000000,5036.434914,7.554652,197.850341,72.272777,0.150000,0.207547,19.540221,1.055067,0.000000,18.485153,2.586515,12,take_profit,"mean_revert_v1_confirmed ext_atr=-2.59, wick=0.50, close_location=0.95, reversal_progress_atr=0.56, vol=1.04, atr_bps=72.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,176.934612,176.841145
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,mean_revert_v1,bullish,long,1679573700000,1679574600000,27598.900000,27508.828423,27508.828423,27863.533408,0.08418172,2323.322823,2323.322823,2315.740442,2319.531632,4639.063265,5.000000,5054.920067,7.582380,90.071577,32.635930,0.150000,0.459616,-7.582380,2.319532,0.000000,-9.901912,2.938035,2,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.94, wick=0.54, close_location=0.79, reversal_progress_atr=0.28, vol=1.40, atr_bps=32.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,85.885491,-42.619612
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,mean_revert_v1,bullish,long,1679898600000,1679919300000,27765.900000,27817.600000,27688.746781,28003.327654,0.09808440,2723.401658,2723.401658,2728.472622,2725.937140,5451.874280,5.000000,5045.018156,7.567527,77.153219,27.787041,0.150000,0.539820,5.070964,2.725937,0.000000,2.345026,3.077353,24,time_exit,"mean_revert_v1_confirmed ext_atr=-3.08, wick=0.39, close_location=0.91, reversal_progress_atr=0.35, vol=1.18, atr_bps=27.8",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,75.510520,8.610652
