trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-04,BTCUSDT,mean_revert_v1,neutral,long,1586344500000,1586353500000,9000000,7264.682646,7218.831863,7220.275918,7406.397674,0.168893,-7.743891,0.978468,1.348103,2.326571,-10.070462,3.191296,11,stop_loss,182.073942,-82.076769,-264.150711,7.974754,10.987375,18.962129,-82.076769,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-3.19, wick=0.37, close_location=0.77, reversal_progress_atr=0.39, vol=1.12, atr_bps=61.1"
TRD-SIG-BT-00000002,SIG-BT-00000002,2022-05,BTCUSDT,mean_revert_v1,bearish,long,1652410800000,1652418900000,8100000,30136.526100,30829.955570,29790.455295,30836.122795,0.021628,14.997643,0.527439,0.394080,0.921518,14.076124,2.021542,10,take_profit,219.142448,215.957953,-3.184495,8.092038,6.046029,14.138067,215.957953,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.02, wick=0.65, close_location=0.86, reversal_progress_atr=0.20, vol=1.11, atr_bps=114.9"
TRD-SIG-BT-00000003,SIG-BT-00000003,2022-06,BTCUSDT,mean_revert_v1,neutral,long,1654531200000,1654532100000,900000,31536.005940,31365.461336,31371.735683,31840.733015,0.045693,-7.792703,1.149664,1.583515,2.733179,-10.525881,1.855035,2,stop_loss,83.628303,-73.046879,-156.675183,7.978368,10.989182,18.967550,-73.046879,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-1.86, wick=0.39, close_location=0.84, reversal_progress_atr=0.49, vol=1.04, atr_bps=52.1"
TRD-SIG-BT-00000004,SIG-BT-00000004,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1679285700000,1679295600000,9900000,27380.975100,27887.139404,27183.124759,27892.717947,0.037858,19.162372,0.836936,0.625787,1.462723,17.699649,2.586515,12,take_profit,173.897233,170.748930,-3.148303,8.073944,6.036980,14.110923,170.748930,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.59, wick=0.50, close_location=0.95, reversal_progress_atr=0.56, vol=1.04, atr_bps=72.3"
TRD-SIG-BT-00000005,SIG-BT-00000005,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1679573700000,1679574600000,900000,27604.419780,27508.845334,27514.348203,27869.053188,0.083453,-7.976002,1.839753,2.532452,4.372205,-12.348207,2.938035,2,stop_loss,82.866318,-53.602103,-136.468421,7.986151,10.993074,18.979225,-53.602103,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.94, wick=0.54, close_location=0.79, reversal_progress_atr=0.28, vol=1.40, atr_bps=32.6"
TRD-SIG-BT-00000006,SIG-BT-00000006,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1679898600000,1679919300000,20700000,27771.453180,27812.036480,27694.299961,28008.880834,0.097186,3.944147,2.160785,1.620194,3.780979,0.163168,3.077353,24,time_exit,72.493421,0.604547,-71.888874,8.005845,6.002923,14.008769,0.604547,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-3.08, wick=0.39, close_location=0.91, reversal_progress_atr=0.35, vol=1.18, atr_bps=27.8"
TRD-SIG-BT-00000007,SIG-BT-00000007,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1680066000000,1680070500000,4500000,27558.010500,27761.889203,27474.830529,27767.442691,0.090148,18.379217,1.994787,1.494253,3.489040,14.890177,2.517820,6,take_profit,62.996847,59.937256,-3.059591,8.029593,6.014799,14.044392,59.937256,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.52, wick=0.45, close_location=0.79, reversal_progress_atr=0.32, vol=1.39, atr_bps=30.2"
TRD-SIG-BT-00000008,SIG-BT-00000008,2023-03,BTCUSDT,mean_revert_v1,bullish,long,1680249600000,1680265800000,16200000,27738.846660,28078.796654,27613.690325,28084.413537,0.060091,20.428091,1.341665,1.004207,2.345873,18.082219,2.761082,19,take_profit,111.578675,108.480222,-3.098453,8.049022,6.024516,14.073537,108.480222,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.76, wick=0.43, close_location=0.87, reversal_progress_atr=0.71, vol=2.49, atr_bps=45.1"
TRD-SIG-BT-00000009,SIG-BT-00000009,2023-04,BTCUSDT,mean_revert_v1,bullish,long,1680488100000,1680490800000,2700000,27770.452980,27650.229869,27655.761021,28082.511607,0.065811,-7.911959,1.458908,2.008767,3.467675,-11.379634,2.720841,4,stop_loss,99.370737,-62.265759,-161.636496,7.982683,10.991340,18.974023,-62.265759,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.72, wick=0.43, close_location=1.00, reversal_progress_atr=0.59, vol=1.46, atr_bps=41.3"
TRD-SIG-BT-00000010,SIG-BT-00000010,2023-04,BTCUSDT,mean_revert_v1,bullish,long,1680554700000,1680554700000,0,27784.955880,27641.324296,27646.853667,28084.438886,0.054531,-7.832404,1.208985,1.665095,2.874080,-10.706484,2.168561,1,stop_loss,94.786029,-70.662994,-165.449023,7.979322,10.989659,18.968982,-70.662994,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.17, wick=0.60, close_location=0.86, reversal_progress_atr=0.29, vol=1.21, atr_bps=49.7"
TRD-SIG-BT-00000011,SIG-BT-00000011,2023-04,BTCUSDT,mean_revert_v1,neutral,long,1680777000000,1680777000000,0,27892.477380,27818.301667,27823.866441,28069.807336,0.109528,-8.124320,2.440757,3.358884,5.799641,-13.923960,2.584573,1,stop_loss,50.576266,-45.577490,-96.153756,7.989363,10.994680,18.984043,-45.577490,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-2.58, wick=0.50, close_location=0.98, reversal_progress_atr=0.47, vol=1.40, atr_bps=24.6"
TRD-SIG-BT-00000012,SIG-BT-00000012,2023-04,BTCUSDT,mean_revert_v1,neutral,long,1680855300000,1680857100000,1800000,27864.371760,27800.319469,27805.880645,28057.326802,0.128121,-8.206438,2.852724,3.925368,6.778092,-14.984531,3.298878,3,stop_loss,56.247943,-41.973372,-98.221315,7.990805,10.995402,18.986207,-41.973372,extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1_confirmed ext_atr=-3.30, wick=0.48, close_location=0.95, reversal_progress_atr=0.63, vol=1.67, atr_bps=21.0"
