trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2020-01,BTCUSDT,mean_revert_v1,neutral,short,1578029040000,1578029100000,60000,7163.926928,7179.345455,7177.909873,7140.466508,0.536368,-8.270000,3.077307,4.228403,7.305710,-15.575710,1.677788,2,stop_loss,19.747989,-40.535364,-60.283353,8.008609,11.004304,19.012913,-40.535364,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=1.68, wick=0.65, close_location=0.95, vol=1.14, atr_bps=19.5"
TRD-SIG-BT-00000002,SIG-BT-00000002,2020-01,BTCUSDT,mean_revert_v1,bullish,short,1578060480000,1578060540000,60000,7258.158078,7275.016493,7273.561780,7225.832916,0.485379,-8.182724,2.821640,3.876891,6.698531,-14.881255,2.098532,2,stop_loss,31.536316,-42.240785,-73.777101,8.009291,11.004645,19.013935,-42.240785,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=2.10, wick=0.70, close_location=0.75, vol=1.15, atr_bps=21.2"
TRD-SIG-BT-00000003,SIG-BT-00000003,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1578604440000,1578606180000,1740000,7829.483790,7820.683824,7852.288099,7755.519448,0.326882,2.876549,2.046302,1.535015,3.581317,-0.704768,3.243437,30,time_exit,81.468989,-2.753734,-84.222723,7.995504,5.997753,13.993257,-2.753734,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=3.24, wick=0.67, close_location=0.75, vol=1.36, atr_bps=29.1"
TRD-SIG-BT-00000004,SIG-BT-00000004,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1578636180000,1578636360000,180000,7743.460998,7753.957328,7752.406847,7726.798915,0.833153,-8.745045,5.164686,7.098382,12.263068,-21.008113,1.862549,4,stop_loss,8.517617,-32.563222,-41.080839,8.005422,11.002711,19.008133,-32.563222,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=1.86, wick=0.73, close_location=0.98, vol=1.56, atr_bps=11.6"
TRD-SIG-BT-00000005,SIG-BT-00000005,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1578647760000,1578648300000,540000,7721.455400,7730.457399,7728.911617,7700.971279,0.995377,-8.960381,6.152190,8.456125,14.608315,-23.568696,2.747254,10,stop_loss,13.528834,-30.665418,-44.194251,8.004663,11.002331,19.006995,-30.665418,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=2.75, wick=0.46, close_location=0.93, vol=1.98, atr_bps=9.7"
TRD-SIG-BT-00000006,SIG-BT-00000006,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1579859520000,1579859700000,180000,8273.404988,8282.343604,8280.687466,8248.310453,1.014269,-9.066161,6.716793,9.232417,15.949210,-25.015372,3.445878,4,stop_loss,17.331569,-29.810517,-47.142086,8.004322,11.002161,19.006482,-29.810517,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=3.45, wick=0.46, close_location=0.82, vol=1.07, atr_bps=8.8"
TRD-SIG-BT-00000007,SIG-BT-00000007,2020-01,BTCUSDT,mean_revert_v1,bearish,short,1579917180000,1579917360000,180000,8277.634142,8288.054942,8286.397662,8255.160132,0.838575,-8.738622,5.556629,7.637306,13.193936,-21.932558,2.564496,4,stop_loss,14.150282,-31.596657,-45.746939,8.005036,11.002517,19.007553,-31.596657,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=2.56, wick=0.46, close_location=0.61, vol=2.63, atr_bps=10.6"
TRD-SIG-BT-00000008,SIG-BT-00000008,2020-02,BTCUSDT,mean_revert_v1,bearish,short,1582725360000,1582725360000,0,9109.477740,9077.694802,9126.594383,9075.879626,0.427419,13.584617,3.109414,2.333419,5.442833,8.141783,1.962892,1,take_profit,23.882591,20.910900,-2.971691,7.986044,5.993024,13.979068,20.910900,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=1.96, wick=0.71, close_location=0.97, vol=1.05, atr_bps=18.8"
TRD-SIG-BT-00000009,SIG-BT-00000009,2020-02,BTCUSDT,mean_revert_v1,bearish,short,1582726140000,1582726740000,600000,9129.043826,9053.845733,9157.665704,9052.035326,0.256034,19.253292,1.862177,1.398559,3.260737,15.992556,2.690547,11,take_profit,71.355494,68.421785,-2.933709,7.967051,5.983529,13.950580,68.421785,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=2.69, wick=0.59, close_location=0.59, vol=1.29, atr_bps=31.3"
TRD-SIG-BT-00000010,SIG-BT-00000010,2020-02,BTCUSDT,mean_revert_v1,bearish,short,1582729680000,1582729740000,60000,9041.721294,9019.680968,9057.404895,9017.877392,0.468781,10.332083,3.386736,2.541086,5.927821,4.404262,1.520308,2,take_profit,13.370976,10.390875,-2.980101,7.990249,5.995126,13.985375,10.390875,extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,"mean_revert_v1 ext_atr=1.52, wick=0.50, close_location=0.95, vol=2.31, atr_bps=17.3"
