month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,1,0,1,0.000000,-5.945556,3.780602,5.196246,8.976848,-14.922403,0.000000,0.000000,-14.922403,-14.922403,1,2.564496,14.150282,-31.596657,-45.746939,19.007553,0,1,0,0
2020-02,2,0,2,0.000000,-11.486016,6.120453,8.419643,14.540097,-26.026113,0.000000,0.000000,-13.013056,-13.013056,2,2.199471,15.655327,-34.022866,-49.678192,18.990980,0,2,0,0
2020-03,1,0,1,0.000000,-5.922300,3.854593,5.302137,9.156730,-15.079030,0.000000,0.000000,-15.079030,-15.079030,1,3.826875,26.362940,-31.276496,-57.639436,18.992629,0,1,0,0
2020-04,1,1,0,100.000000,8.969219,2.755862,2.066000,4.821861,4.147358,inf,4.147358,0.000000,4.147358,0,4.251696,48.099343,12.055072,-36.044271,14.015644,0,0,1,0
2022-05,9,1,8,11.111111,-30.483965,13.008895,16.813958,29.822853,-60.306818,0.277441,8.684327,-8.623893,-6.700758,5,3.168243,81.495279,-41.645581,-123.140860,18.436188,1,8,0,0
2023-03,13,1,12,7.692308,-52.945996,30.378602,40.599826,70.978428,-123.924424,0.187126,8.861713,-11.065511,-9.532648,7,3.201708,53.706869,-35.607947,-89.314816,18.606682,0,12,1,0
2023-04,5,1,4,20.000000,-11.462062,13.846325,17.050249,30.896573,-42.358635,0.470919,4.641024,-11.749915,-8.471727,3,2.644071,23.737664,-26.140530,-49.878194,18.001229,1,4,0,0
2023-05,3,1,2,33.333333,4.783807,7.606196,8.469659,16.075855,-11.292047,1.453927,9.758220,-10.525134,-3.764016,2,3.894996,50.126250,-18.030514,-68.156764,17.333752,1,2,0,0
2023-08,3,1,2,33.333333,8.028876,9.653858,11.049327,20.703184,-12.674308,1.732899,12.736643,-12.705475,-4.224769,2,3.071925,22.081487,-12.959963,-35.041450,17.318963,1,2,0,0
2023-10,2,0,2,0.000000,-10.872608,5.958286,8.196448,14.154733,-25.027341,0.000000,0.000000,-12.513671,-12.513671,2,3.070918,25.317776,-33.893856,-59.211632,18.991058,0,2,0,0
