key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,12169,4251,7918,34.933027,-5000.000000,-838.490595,1924.539794,2236.969611,-0.410880,19.363835,-20.794044,4.761114
passed:confidence_ok,12169,4251,7918,34.933027,-5000.000000,-838.490595,1924.539794,2236.969611,-0.410880,19.363835,-20.794044,4.761114
passed:confirmation_bearish,6639,2395,4244,36.074710,-1786.824604,-157.701201,763.438510,865.684893,-0.269141,22.875557,-20.143006,4.554150
passed:confirmation_bullish,5530,1856,3674,33.562387,-3213.175396,-680.789394,1161.101284,1371.284718,-0.581044,15.147863,-21.575643,5.009584
passed:direction_enabled,12169,4251,7918,34.933027,-5000.000000,-838.490595,1924.539794,2236.969611,-0.410880,19.363835,-20.794044,4.761114
passed:ema_ribbon_long,5530,1856,3674,33.562387,-3213.175396,-680.789394,1161.101284,1371.284718,-0.581044,15.147863,-21.575643,5.009584
passed:ema_ribbon_short,6639,2395,4244,36.074710,-1786.824604,-157.701201,763.438510,865.684893,-0.269141,22.875557,-20.143006,4.554150
passed:expected_net_edge_ok,12169,4251,7918,34.933027,-5000.000000,-838.490595,1924.539794,2236.969611,-0.410880,19.363835,-20.794044,4.761114
passed:expected_reward_ok,12169,4251,7918,34.933027,-5000.000000,-838.490595,1924.539794,2236.969611,-0.410880,19.363835,-20.794044,4.761114
passed:near_vwap_or_ema21,12169,4251,7918,34.933027,-5000.000000,-838.490595,1924.539794,2236.969611,-0.410880,19.363835,-20.794044,4.761114
passed:screening_bearish,6639,2395,4244,36.074710,-1786.824604,-157.701201,763.438510,865.684893,-0.269141,22.875557,-20.143006,4.554150
passed:screening_bullish,5530,1856,3674,33.562387,-3213.175396,-680.789394,1161.101284,1371.284718,-0.581044,15.147863,-21.575643,5.009584
passed:volume_ratio_ok,12169,4251,7918,34.933027,-5000.000000,-838.490595,1924.539794,2236.969611,-0.410880,19.363835,-20.794044,4.761114
