month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,95,39,56,41.052632,-59.324862,513.131437,575.492422,1088.623859,-1147.948721,0.914949,7.014870,-25.384440,-12.083671,6,1.600000,15.848008,-17.147116,-32.995124,16.947249,39,56,0,0
2020-02,49,12,37,24.489796,-215.634157,215.066412,263.838177,478.904589,-694.538746,0.408562,4.961064,-20.380311,-14.174260,10,1.600000,13.933133,-25.821737,-39.754870,17.771117,12,37,0,0
2020-03,223,91,132,40.807175,-24.997421,498.435774,558.475956,1056.911730,-1081.909152,0.973322,6.124377,-12.418390,-4.851611,7,1.600000,39.209721,-15.675302,-54.885023,16.958910,91,132,0,0
2020-04,72,29,43,40.277778,-26.410659,163.213750,185.531305,348.745055,-375.155714,0.883604,3.159844,-10.855609,-5.210496,6,1.600000,16.317988,-16.897526,-33.215514,16.986224,29,43,0,0
2020-05,88,20,68,22.727273,-171.383239,153.694919,190.722418,344.417337,-515.800576,0.370281,2.142190,-8.215359,-5.861370,19,1.600000,15.284486,-27.037682,-42.322168,17.858128,20,68,0,0
2020-06,8,2,6,25.000000,-11.344830,12.818864,15.447708,28.266572,-39.611402,0.428961,1.203441,-7.003047,-4.951425,3,1.600000,11.047105,-25.992703,-37.039808,17.745051,2,6,0,0
2020-07,42,10,32,23.809524,-56.538728,55.126438,68.581990,123.708427,-180.247155,0.406629,1.845938,-6.209579,-4.291599,9,1.600000,14.305814,-24.812943,-39.118757,17.805319,10,32,0,0
2020-08,33,12,21,36.363636,-13.111842,39.697741,46.295677,85.993418,-99.105260,0.761661,1.554596,-5.607639,-3.003190,7,1.600000,14.073065,-16.882676,-30.955741,17.181998,12,21,0,0
2020-09,7,2,5,28.571429,-6.071660,9.021673,10.877952,19.899625,-25.971285,0.508141,0.993875,-5.591807,-3.710184,3,1.600000,8.419106,-22.333499,-30.752605,17.568570,2,5,0,0
2020-10,32,8,24,25.000000,-29.964924,34.538602,42.257216,76.795818,-106.760743,0.444259,1.157093,-4.834062,-3.336273,7,1.600000,11.630906,-24.637457,-36.268363,17.745865,8,24,0,0
2020-11,150,56,94,37.333333,-37.273562,112.670088,129.008420,241.678508,-278.952070,0.759656,0.806198,-3.447863,-1.859680,7,1.600000,13.173932,-19.732937,-32.906869,17.131773,56,94,0,0
2020-12,208,69,139,33.173077,-47.871716,82.035907,96.407241,178.443148,-226.314864,0.624510,0.487346,-1.870085,-1.088052,23,1.600000,14.930051,-21.804578,-36.734630,17.338667,69,139,0,0
2021-01,230,75,155,32.608696,-26.292256,36.797269,43.252325,80.049594,-106.341850,0.633918,0.332164,-0.846801,-0.462356,10,1.600000,23.545462,-23.274224,-46.819687,17.366020,75,155,0,0
2021-02,257,99,158,38.521401,-5.648406,26.167401,29.337846,55.505246,-61.153652,0.854687,0.147457,-0.479442,-0.237952,12,1.600000,18.285813,-20.033352,-38.319165,17.072153,99,158,0,0
2021-03,229,79,150,34.497817,-5.189026,12.260621,14.099076,26.359697,-31.548723,0.714750,0.066623,-0.245413,-0.137767,11,1.600000,14.140969,-21.517380,-35.658349,17.272562,79,150,0,0
2021-04,72,24,48,33.333333,-1.258515,2.533218,2.950405,5.483623,-6.742138,0.634713,0.028852,-0.154887,-0.093641,7,1.600000,10.576553,-21.525685,-32.102238,17.330816,24,48,0,0
2021-05,111,38,73,34.234234,-1.126736,2.220114,2.550879,4.770993,-5.897729,0.701022,0.032480,-0.097698,-0.053133,14,1.600000,19.815227,-22.821021,-42.636247,17.284967,38,73,0,0
2021-06,198,69,129,34.848485,-1.309790,2.871432,3.338683,6.210115,-7.519904,0.694035,0.018280,-0.068071,-0.037979,12,1.600000,14.520628,-20.711886,-35.232513,17.255502,69,129,0,0
2021-07,103,39,64,37.864078,-0.251741,0.949348,1.074154,2.023502,-2.275243,0.808488,0.010628,-0.042027,-0.022090,7,1.600000,14.690055,-20.380352,-35.070407,17.104831,39,64,0,0
2021-08,90,35,55,38.888889,-0.136787,0.667343,0.747081,1.414423,-1.551210,0.838688,0.006662,-0.032443,-0.017236,7,1.600000,11.685948,-19.506085,-31.192033,17.054084,35,55,0,0
2021-09,45,18,27,40.000000,-0.043504,0.274550,0.307414,0.581964,-0.625468,0.869956,0.005253,-0.026667,-0.013899,6,1.600000,10.620874,-18.698935,-29.319809,16.998980,18,27,0,0
2021-10,113,47,66,41.592920,-0.038083,0.506978,0.566561,1.073538,-1.111622,0.941155,0.005174,-0.020528,-0.009837,9,1.600000,13.866717,-16.988331,-30.855048,16.920313,47,66,0,0
2021-11,29,9,20,31.034483,-0.068941,0.107937,0.127858,0.235796,-0.304737,0.560122,0.003346,-0.016742,-0.010508,7,1.600000,11.110526,-22.534740,-33.645267,17.445222,9,20,0,0
2021-12,26,10,16,38.461538,-0.022776,0.090946,0.102478,0.193424,-0.216199,0.800809,0.002828,-0.015280,-0.008315,5,1.600000,10.818130,-19.784800,-30.602930,17.075297,10,16,0,0
2022-01,56,25,31,44.642857,0.008580,0.167748,0.183928,0.351676,-0.343096,1.043776,0.002946,-0.013443,-0.006127,7,1.600000,12.684303,-16.624623,-29.308926,16.767943,25,31,0,0
2022-02,78,34,44,43.589744,0.003842,0.177670,0.198141,0.375811,-0.371968,1.016609,0.003112,-0.010859,-0.004769,6,1.600000,15.450085,-14.995965,-30.446049,16.821608,34,44,0,0
2022-03,86,39,47,45.348837,0.018388,0.166634,0.180397,0.347030,-0.328643,1.091367,0.002131,-0.008760,-0.003821,7,1.600000,13.994959,-16.535354,-30.530314,16.732677,39,47,0,0
2022-04,15,7,8,46.666667,0.003499,0.027382,0.029302,0.056684,-0.053185,1.116291,0.001456,-0.007922,-0.003546,4,1.600000,11.024447,-16.744449,-27.768896,16.666620,7,8,0,0
