signal_id,stage,entry_geometry_mode,timestamp,side,regime,reason,equity,peak_equity,drawdown_pct,daily_realized_pnl,expected_reward_bps,expected_cost_bps,expected_net_edge_bps
SIG-BT-00000001,initial_risk,reanchor_to_actual_entry,1577988540000,short,bearish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,17.294752,19.000000,-1.705248
SIG-BT-00000002,initial_risk,reanchor_to_actual_entry,1577988660000,short,bearish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,16.684237,19.000000,-2.315763
SIG-BT-00000003,initial_risk,reanchor_to_actual_entry,1577988900000,short,bearish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,14.163933,19.000000,-4.836067
SIG-BT-00000004,initial_risk,reanchor_to_actual_entry,1578044520000,long,bullish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,17.538285,19.000000,-1.461715
SIG-BT-00000005,initial_risk,reanchor_to_actual_entry,1578044640000,long,bullish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,17.073398,19.000000,-1.926602
SIG-BT-00000006,initial_risk,reanchor_to_actual_entry,1578050340000,long,bullish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,16.019650,19.000000,-2.980350
SIG-BT-00000007,initial_risk,reanchor_to_actual_entry,1578050700000,long,bullish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,15.499172,19.000000,-3.500828
SIG-BT-00000008,initial_risk,reanchor_to_actual_entry,1578053100000,long,bullish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,15.060679,19.000000,-3.939321
SIG-BT-00000009,initial_risk,reanchor_to_actual_entry,1578053220000,long,bullish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,14.588673,19.000000,-4.411327
SIG-BT-00000010,initial_risk,reanchor_to_actual_entry,1578053280000,long,bullish,expected_net_edge_not_positive,5000.000000,5000.000000,0.000000,0.000000,14.395866,19.000000,-4.604134
SIG-BT-00000014,initial_risk,reanchor_to_actual_entry,1578073620000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,29.473435,17.084885,19.000000,-1.915115
SIG-BT-00000015,initial_risk,reanchor_to_actual_entry,1578073800000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,29.473435,18.312222,19.000000,-0.687778
SIG-BT-00000016,initial_risk,reanchor_to_actual_entry,1578080820000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,29.473435,17.293031,19.000000,-1.706969
SIG-BT-00000017,initial_risk,reanchor_to_actual_entry,1578082020000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,29.473435,17.493596,19.000000,-1.506404
SIG-BT-00000018,initial_risk,reanchor_to_actual_entry,1578094380000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,29.473435,14.340792,19.000000,-4.659208
SIG-BT-00000019,initial_risk,reanchor_to_actual_entry,1578094620000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,29.473435,15.298305,19.000000,-3.701695
SIG-BT-00000020,initial_risk,reanchor_to_actual_entry,1578094980000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,29.473435,14.051421,19.000000,-4.948579
SIG-BT-00000021,initial_risk,reanchor_to_actual_entry,1578167460000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,0.000000,18.098339,19.000000,-0.901661
SIG-BT-00000022,initial_risk,reanchor_to_actual_entry,1578183780000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,0.000000,15.676427,19.000000,-3.323573
SIG-BT-00000023,initial_risk,reanchor_to_actual_entry,1578185640000,long,bullish,expected_net_edge_not_positive,5029.473435,5029.473435,0.000000,0.000000,14.057183,19.000000,-4.942817
SIG-BT-00000034,initial_risk,reanchor_to_actual_entry,1578363180000,long,bullish,expected_net_edge_not_positive,4855.965689,5040.510725,3.661237,-60.558740,17.255453,19.000000,-1.744547
SIG-BT-00000035,initial_risk,reanchor_to_actual_entry,1578363240000,long,bullish,expected_net_edge_not_positive,4855.965689,5040.510725,3.661237,-60.558740,16.765232,19.000000,-2.234768
SIG-BT-00000036,initial_risk,reanchor_to_actual_entry,1578397380000,long,bullish,expected_net_edge_not_positive,4855.965689,5040.510725,3.661237,-60.558740,15.484024,19.000000,-3.515976
SIG-BT-00000039,initial_risk,reanchor_to_actual_entry,1578420720000,long,bullish,expected_net_edge_not_positive,4796.399291,5040.510725,4.842990,-120.125138,17.495576,19.000000,-1.504424
SIG-BT-00000045,initial_risk,reanchor_to_actual_entry,1578428700000,long,bullish,expected_net_edge_not_positive,4726.800579,5040.510725,6.223777,-189.723850,18.392365,19.000000,-0.607635
SIG-BT-00000048,initial_risk,reanchor_to_actual_entry,1578438180000,long,bullish,expected_net_edge_not_positive,4699.430524,5040.510725,6.766779,-217.093905,18.643824,19.000000,-0.356176
SIG-BT-00000056,initial_risk,reanchor_to_actual_entry,1578464100000,long,bullish,expected_net_edge_not_positive,4698.454417,5040.510725,6.786144,-5.029543,16.208548,19.000000,-2.791452
SIG-BT-00000057,initial_risk,reanchor_to_actual_entry,1578479640000,long,bullish,expected_net_edge_not_positive,4698.454417,5040.510725,6.786144,-5.029543,16.281033,19.000000,-2.718967
SIG-BT-00000059,initial_risk,reanchor_to_actual_entry,1578644760000,short,bearish,expected_net_edge_not_positive,4675.838460,5040.510725,7.234828,0.000000,16.657434,19.000000,-2.342566
SIG-BT-00000060,initial_risk,reanchor_to_actual_entry,1578645840000,short,bearish,expected_net_edge_not_positive,4675.838460,5040.510725,7.234828,0.000000,14.443456,19.000000,-4.556544
SIG-BT-00000061,initial_risk,reanchor_to_actual_entry,1578646020000,short,bearish,expected_net_edge_not_positive,4675.838460,5040.510725,7.234828,0.000000,14.940577,19.000000,-4.059423
SIG-BT-00000062,initial_risk,reanchor_to_actual_entry,1578646080000,short,bearish,expected_net_edge_not_positive,4675.838460,5040.510725,7.234828,0.000000,14.969694,19.000000,-4.030306
SIG-BT-00000063,initial_risk,reanchor_to_actual_entry,1578651600000,short,bearish,expected_net_edge_not_positive,4675.838460,5040.510725,7.234828,0.000000,17.679043,19.000000,-1.320957
SIG-BT-00000070,initial_risk,reanchor_to_actual_entry,1578690540000,long,bullish,expected_net_edge_not_positive,4565.502030,5040.510725,9.423821,-110.336430,18.090774,19.000000,-0.909226
SIG-BT-00000074,initial_risk,reanchor_to_actual_entry,1578696840000,long,bullish,expected_net_edge_not_positive,4513.201446,5040.510725,10.461426,-162.637013,17.246222,19.000000,-1.753778
SIG-BT-00000075,initial_risk,reanchor_to_actual_entry,1578697260000,long,bullish,expected_net_edge_not_positive,4513.201446,5040.510725,10.461426,-162.637013,18.242887,19.000000,-0.757113
SIG-BT-00000076,initial_risk,reanchor_to_actual_entry,1578697560000,long,bullish,expected_net_edge_not_positive,4513.201446,5040.510725,10.461426,-162.637013,15.119403,19.000000,-3.880597
SIG-BT-00000077,initial_risk,reanchor_to_actual_entry,1578697620000,long,bullish,expected_net_edge_not_positive,4513.201446,5040.510725,10.461426,-162.637013,14.856541,19.000000,-4.143459
SIG-BT-00000078,initial_risk,reanchor_to_actual_entry,1578697740000,long,bullish,expected_net_edge_not_positive,4513.201446,5040.510725,10.461426,-162.637013,14.024045,19.000000,-4.975955
SIG-BT-00000079,initial_risk,reanchor_to_actual_entry,1578699360000,long,bullish,expected_net_edge_not_positive,4513.201446,5040.510725,10.461426,-162.637013,15.583742,19.000000,-3.416258
SIG-BT-00000081,initial_risk,reanchor_to_actual_entry,1578726060000,long,bullish,expected_net_edge_not_positive,4489.136259,5040.510725,10.938861,-24.065187,14.875795,19.000000,-4.124205
SIG-BT-00000082,initial_risk,reanchor_to_actual_entry,1578735420000,long,bullish,expected_net_edge_not_positive,4489.136259,5040.510725,10.938861,-24.065187,14.095202,19.000000,-4.904798
SIG-BT-00000083,initial_risk,reanchor_to_actual_entry,1578751740000,long,bullish,expected_net_edge_not_positive,4489.136259,5040.510725,10.938861,-24.065187,14.158689,19.000000,-4.841311
