trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000011,SIG-BT-00000011,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578067620000,1578067620000,0,7309.701648,7324.143726,7299.759648,7325.608848,1.257292,18.157914,7.359609,5.517892,12.877500,5.280414,1.600000,1,take_profit,8.761763,5.745555,-3.016208,8.007903,6.003952,14.011855,5.745555,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=1.00, reclaim_distance_atr=0.13, volume_ratio=0.82, atr_bps=13.6"
TRD-SIG-BT-00000012,SIG-BT-00000012,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578068460000,1578069000000,540000,7344.408588,7376.777465,7323.255758,7378.253115,0.591562,19.148183,3.483395,2.610632,6.094028,13.054156,1.600000,10,take_profit,33.082032,30.046370,-3.035662,8.017629,6.008816,14.026446,30.046370,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.46, reclaim_distance_atr=0.00, volume_ratio=1.24, atr_bps=28.8"
TRD-SIG-BT-00000013,SIG-BT-00000013,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578069420000,1578070620000,1200000,7355.530812,7380.541442,7338.976416,7382.017845,0.757855,18.954438,4.467124,3.348449,7.815573,11.138865,1.600000,21,take_profit,23.009683,19.982078,-3.027605,8.013601,6.006802,14.020403,19.982078,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.52, reclaim_distance_atr=0.00, volume_ratio=0.83, atr_bps=22.5"
TRD-SIG-BT-00000024,SIG-BT-00000024,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578187740000,1578187740000,0,7442.398182,7467.330843,7425.881666,7468.824608,0.761279,18.980721,4.540188,3.403244,7.943432,11.037290,1.600000,1,take_profit,22.507944,19.480740,-3.027204,8.013400,6.006702,14.020102,19.480740,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.80, reclaim_distance_atr=0.00, volume_ratio=1.01, atr_bps=22.2"
TRD-SIG-BT-00000025,SIG-BT-00000025,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578188580000,1578189120000,540000,7462.072116,7443.978797,7445.467891,7488.638876,0.758920,-13.731380,4.524999,6.226680,10.751679,-24.483059,1.600000,10,stop_loss,22.602390,-43.232494,-65.834884,7.990301,10.995150,18.985451,-43.232494,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.31, reclaim_distance_atr=0.28, volume_ratio=2.14, atr_bps=22.3"
TRD-SIG-BT-00000026,SIG-BT-00000026,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578189660000,1578189960000,300000,7471.524006,7458.467094,7459.959086,7490.027879,1.084320,-14.157865,6.475552,8.908839,15.384392,-29.542257,1.600000,6,stop_loss,11.765861,-36.465082,-48.230943,7.993010,10.996504,18.989514,-36.465082,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.85, reclaim_distance_atr=0.06, volume_ratio=1.16, atr_bps=15.5"
TRD-SIG-BT-00000027,SIG-BT-00000027,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578190140000,1578190200000,60000,7470.583818,7458.163127,7459.655058,7488.069835,1.140680,-14.168029,6.811567,9.370862,16.182429,-30.350458,1.600000,2,stop_loss,10.406493,-35.616156,-46.022649,7.993350,10.996674,18.990024,-35.616156,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.90, reclaim_distance_atr=0.00, volume_ratio=1.18, atr_bps=14.6"
TRD-SIG-BT-00000028,SIG-BT-00000028,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578278760000,1578278760000,0,7509.411582,7498.918102,7500.418186,7523.801016,1.377715,-14.457025,8.270881,11.377521,19.648401,-34.105427,1.600000,1,stop_loss,6.161866,-32.965386,-39.127252,7.994410,10.997205,18.991615,-32.965386,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.98, reclaim_distance_atr=0.00, volume_ratio=1.07, atr_bps=12.0"
TRD-SIG-BT-00000029,SIG-BT-00000029,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578279900000,1578279900000,0,7553.760450,7535.405129,7536.912511,7580.717152,0.730361,-13.406007,4.408214,6.065986,10.474200,-23.880207,1.600000,1,stop_loss,22.686467,-43.285000,-65.971467,7.990280,10.995139,18.985419,-43.285000,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.82, reclaim_distance_atr=0.00, volume_ratio=1.21, atr_bps=22.3"
TRD-SIG-BT-00000030,SIG-BT-00000030,2020-01,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578281640000,1578283200000,1560000,7527.755250,7542.998677,7517.285045,7544.507578,1.169545,17.827869,7.050368,5.285994,12.336363,5.491507,1.600000,27,take_profit,9.254082,6.237481,-3.016602,8.008100,6.004051,14.012151,6.237481,screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.46, reclaim_distance_atr=0.00, volume_ratio=1.16, atr_bps=13.9"
