trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578067620000,1578067620000,7309.701648,7324.143726,7299.759648,7325.608848,1.25729233,18.157914,7.359609,5.517892,5.280414,1.600000,1,take_profit,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=1.00, reclaim_distance_atr=0.13, volume_ratio=0.82, atr_bps=13.6",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,8.761763,5.745555
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578068460000,1578069000000,7344.408588,7376.777465,7323.255758,7378.253115,0.59156157,19.148183,3.483395,2.610632,13.054156,1.600000,10,take_profit,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.46, reclaim_distance_atr=0.00, volume_ratio=1.24, atr_bps=28.8",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,33.082032,30.046370
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578069420000,1578070620000,7355.530812,7380.541442,7338.976416,7382.017845,0.75785529,18.954438,4.467124,3.348449,11.138865,1.600000,21,take_profit,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.52, reclaim_distance_atr=0.00, volume_ratio=0.83, atr_bps=22.5",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,23.009683,19.982078
TRD-SIG-BT-00000024,SIG-BT-00000024,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578187740000,1578187740000,7442.398182,7467.330843,7425.881666,7468.824608,0.76127941,18.980721,4.540188,3.403244,11.037290,1.600000,1,take_profit,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.80, reclaim_distance_atr=0.00, volume_ratio=1.01, atr_bps=22.2",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,22.507944,19.480740
TRD-SIG-BT-00000025,SIG-BT-00000025,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578188580000,1578189120000,7462.072116,7443.978797,7445.467891,7488.638876,0.75891990,-13.731380,4.524999,6.226680,-24.483059,1.600000,10,stop_loss,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.31, reclaim_distance_atr=0.28, volume_ratio=2.14, atr_bps=22.3",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,22.602390,-43.232494
TRD-SIG-BT-00000026,SIG-BT-00000026,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578189660000,1578189960000,7471.524006,7458.467094,7459.959086,7490.027879,1.08431954,-14.157865,6.475552,8.908839,-29.542257,1.600000,6,stop_loss,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.85, reclaim_distance_atr=0.06, volume_ratio=1.16, atr_bps=15.5",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,11.765861,-36.465082
TRD-SIG-BT-00000027,SIG-BT-00000027,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578190140000,1578190200000,7470.583818,7458.163127,7459.655058,7488.069835,1.14067955,-14.168029,6.811567,9.370862,-30.350458,1.600000,2,stop_loss,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.90, reclaim_distance_atr=0.00, volume_ratio=1.18, atr_bps=14.6",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,10.406493,-35.616156
TRD-SIG-BT-00000028,SIG-BT-00000028,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578278760000,1578278760000,7509.411582,7498.918102,7500.418186,7523.801016,1.37771507,-14.457025,8.270881,11.377521,-34.105427,1.600000,1,stop_loss,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.98, reclaim_distance_atr=0.00, volume_ratio=1.07, atr_bps=12.0",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,6.161866,-32.965386
TRD-SIG-BT-00000029,SIG-BT-00000029,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578279900000,1578279900000,7553.760450,7535.405129,7536.912511,7580.717152,0.73036079,-13.406007,4.408214,6.065986,-23.880207,1.600000,1,stop_loss,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.82, reclaim_distance_atr=0.00, volume_ratio=1.21, atr_bps=22.3",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,22.686467,-43.285000
TRD-SIG-BT-00000030,SIG-BT-00000030,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578281640000,1578283200000,7527.755250,7542.998677,7517.285045,7544.507578,1.16954472,17.827869,7.050368,5.285994,5.491507,1.600000,27,take_profit,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.46, reclaim_distance_atr=0.00, volume_ratio=1.16, atr_bps=13.9",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,9.254082,6.237481
TRD-SIG-BT-00000031,SIG-BT-00000031,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578352740000,1578354060000,7751.089908,7785.753862,7728.451523,7787.311324,0.54151839,18.771169,3.365395,2.522170,12.883604,1.600000,23,take_profit,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.73, reclaim_distance_atr=0.00, volume_ratio=1.19, atr_bps=29.2",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,33.730740,30.694559
TRD-SIG-BT-00000032,SIG-BT-00000032,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578360540000,1578360600000,7908.661416,7895.248733,7896.828098,7927.594724,1.03870373,-13.931804,6.566232,9.033445,-29.531481,1.600000,2,stop_loss,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.68, reclaim_distance_atr=0.23, volume_ratio=1.07, atr_bps=15.0",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,10.939965,-35.949310
TRD-SIG-BT-00000033,SIG-BT-00000033,BTCUSDT,screened_vwap_scalp_v2,bullish,long,1578360780000,1578360960000,7902.020088,7889.669621,7891.247871,7919.255636,1.13416597,-14.007479,7.164159,9.855621,-31.027259,1.600000,4,stop_loss,"bullish regime, bullish entry trigger, close above VWAP/EMA21, body_ratio=0.85, reclaim_distance_atr=0.00, volume_ratio=1.12, atr_bps=13.6",screening_bullish|confirmation_bullish_or_allowed_neutral|ema_ribbon_long|atr_bps_in_range|near_vwap_or_ema21|volume_ratio_ok|price_action_trigger_ok|trigger_body_ratio_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,8.811572,-34.620128
