key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:confidence_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:confirmation_bearish_or_allowed_neutral,13,3,10,23.076923,-123.509096,-37.621573,39.175394,46.712130,-9.500700,33.670375,-30.914256,5.307692
passed:confirmation_bullish_or_allowed_neutral,22,6,16,27.272727,-173.840196,-30.258804,67.034644,76.546748,-7.901827,23.115322,-20.777181,5.318182
passed:direction_enabled,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:ema_ribbon_long,22,6,16,27.272727,-173.840196,-30.258804,67.034644,76.546748,-7.901827,23.115322,-20.777181,5.318182
passed:ema_ribbon_short,13,3,10,23.076923,-123.509096,-37.621573,39.175394,46.712130,-9.500700,33.670375,-30.914256,5.307692
passed:expected_net_edge_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:expected_reward_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:momentum_trigger_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:near_vwap_or_ema21,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:screening_bearish,13,3,10,23.076923,-123.509096,-37.621573,39.175394,46.712130,-9.500700,33.670375,-30.914256,5.307692
passed:screening_bullish,22,6,16,27.272727,-173.840196,-30.258804,67.034644,76.546748,-7.901827,23.115322,-20.777181,5.318182
passed:trigger_body_atr_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:trigger_body_ratio_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:trigger_close_location_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
passed:volume_ratio_ok,35,9,26,25.714286,-297.349292,-67.880376,106.210038,123.258878,-8.495694,27.035770,-24.542380,5.314286
