month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2020-01,2,0,2,0.000000,-16.314902,5.357261,7.371943,12.729204,-29.044106,0.000000,0.000000,-14.522053,-14.522053,2,1.800000,27.771221,-43.631360,-71.402580,18.985211,0,2,0,0
2020-03,4,2,2,50.000000,15.036548,8.125656,6.565610,14.691266,0.345282,2.464518,7.287720,-7.115079,0.086320,1,1.800000,62.869630,-22.373858,-85.243487,15.254272,2,1,1,0
2020-04,1,0,1,0.000000,-8.396272,3.754674,5.159737,8.914411,-17.310683,0.000000,0.000000,-17.310683,-17.310683,1,1.800000,15.624656,-36.916510,-52.541166,19.010743,0,1,0,0
2020-07,1,1,0,100.000000,12.789681,2.338787,1.752812,4.091599,8.698082,inf,8.698082,0.000000,8.698082,0,1.800000,32.853154,29.817675,-3.035479,14.026308,1,0,0,0
2020-12,2,0,2,0.000000,-16.798868,7.754640,10.668509,18.423148,-35.222017,0.000000,0.000000,-17.611008,-17.611008,2,1.800000,14.574745,-36.305848,-50.880593,18.989610,0,2,0,0
2021-01,2,0,2,0.000000,-15.839733,4.315155,5.938881,10.254036,-26.093769,0.000000,0.000000,-13.046885,-13.046885,2,1.800000,36.358086,-48.398024,-84.756110,18.982350,0,2,0,0
2021-02,4,2,2,50.000000,8.479255,12.879060,13.529184,26.408244,-17.928989,1.522013,6.506714,-15.471208,-4.482247,2,1.800000,20.415146,-11.797018,-32.212164,16.502824,2,2,0,0
2021-05,1,0,1,0.000000,3.545757,4.261008,3.195402,7.456410,-3.910653,0.000000,0.000000,-3.910653,-3.910653,1,1.800000,11.763508,-7.344657,-19.108165,14.003996,0,0,1,0
2021-07,1,0,1,0.000000,-8.070746,3.008411,4.139390,7.147801,-15.218547,0.000000,0.000000,-15.218547,-15.218547,1,1.800000,21.996858,-40.425946,-62.422804,18.987136,0,1,0,0
2021-08,1,0,1,0.000000,5.325428,3.790445,2.842302,6.632747,-1.307319,0.000000,0.000000,-1.307319,-1.307319,1,1.800000,14.735074,-2.760740,-17.495815,14.006748,0,0,1,0
2021-10,1,0,1,0.000000,-7.872612,2.315093,3.186007,5.501100,-13.373713,0.000000,0.000000,-13.373713,-13.373713,1,1.800000,32.310616,-46.151228,-78.461844,18.983699,0,1,0,0
2022-05,2,1,1,50.000000,4.434776,5.424230,4.931432,10.355662,-5.920886,1.581913,4.983414,-10.904300,-2.960443,1,1.800000,37.857430,-26.667767,-64.525197,16.506097,1,1,0,0
2022-06,2,0,2,0.000000,-16.109374,6.397674,8.791163,15.188836,-31.298210,0.000000,0.000000,-15.649105,-15.649105,2,1.800000,19.908346,-39.298242,-59.206587,19.012171,0,2,0,0
2022-07,1,0,1,0.000000,-8.222490,4.012987,5.514979,9.527967,-17.750457,0.000000,0.000000,-17.750457,-17.750457,1,1.800000,12.924183,-35.415047,-48.339230,19.009843,0,1,0,0
2022-09,3,0,3,0.000000,-24.364760,11.460172,15.749209,27.209381,-51.574141,0.000000,0.000000,-17.191380,-17.191380,3,1.800000,14.051989,-36.042107,-50.094096,19.010219,0,3,0,0
2023-06,2,1,1,50.000000,3.844475,7.190933,7.999766,15.190700,-11.346225,1.471368,6.711285,-18.057509,-5.673112,1,1.800000,16.188085,-8.422500,-24.610585,16.504850,1,1,0,0
2023-10,1,0,1,0.000000,-7.966215,3.476891,4.783513,8.260404,-16.226619,0.000000,0.000000,-16.226619,-16.226619,1,1.800000,16.368790,-37.301743,-53.670533,18.989012,0,1,0,0
2024-03,1,0,1,0.000000,-7.718087,2.581818,3.552701,6.134520,-13.852607,0.000000,0.000000,-13.852607,-13.852607,1,1.800000,26.403825,-42.872303,-69.276128,18.985667,0,1,0,0
2024-05,1,0,1,0.000000,-7.756732,2.819481,3.879501,6.698982,-14.455714,0.000000,0.000000,-14.455714,-14.455714,1,1.800000,22.979786,-40.971581,-63.951367,18.986808,0,1,0,0
2024-09,1,1,0,100.000000,12.120511,2.134535,1.599690,3.734225,8.386285,inf,8.386285,0.000000,8.386285,0,1.800000,34.539242,31.502414,-3.036828,14.027320,1,0,0,0
2024-12,1,1,0,100.000000,11.973987,2.811126,2.107147,4.918273,7.055714,inf,7.055714,0.000000,7.055714,0,1.800000,23.141379,20.113669,-3.027710,14.020482,1,0,0,0
